controller,grid,scenario,n_runs,completed_trips_mean,completed_trips_std,completion_rate_pct_mean,completion_rate_pct_std,avg_travel_time_mean,avg_travel_time_std,avg_waiting_time_mean,avg_waiting_time_std,avg_time_loss_mean,avg_time_loss_std,mean_queue_length_mean,mean_queue_length_std,max_queue_length_mean,max_queue_length_std,teleports_started_mean,teleports_started_std,peak_process_tree_ram_mb_mean,peak_process_tree_ram_mb_std,simulation_loop_runtime_s_mean,simulation_loop_runtime_s_std,total_wall_runtime_s_mean,total_wall_runtime_s_std
actuated,2x2,dynamic,5,1132.8,2.3874672772626644,94.4,0.19895560643855537,94.46919822502656,0.7967193125420401,10.688075869920489,0.4731656454927522,28.48927993228926,0.6482893337836163,1.36125,0.07882388019823804,10.4,0.5477225575051661,0.0,0.0,92.665625,0.08457730376702724,8.604699349985458,0.03907465462599082,9.647996391612105,0.03825692534597122
actuated,2x2,high,5,395.2,31.47538720969132,13.173333333333334,1.0491795736563772,288.16557624456914,13.671304642415855,177.35849482750325,12.796182643125356,215.33012545137007,12.644437042084203,73.68166666666667,0.9412761655487943,100.0,0.0,105.6,8.080841540334768,108.765625,0.28641098093474,9.848022383567876,0.022577805917581715,10.896542641613632,0.02213245413014585
actuated,2x2,low,5,572.2,1.3038404810405297,95.36666666666667,0.21730674684008738,81.58813897851513,0.6090439707180839,4.813893185753362,0.3327313840485612,17.879014935200672,0.4229928147593767,0.35597222222222225,0.020480813816054797,4.8,1.7888543819998317,0.0,0.0,89.971875,0.32875683215334095,8.489521266426891,0.044707790651794956,9.536240783170797,0.04752770748418256
actuated,2x2,medium,5,1416.4,4.827007354458868,94.42666666666666,0.3218004902972556,96.62223783890214,0.7276115054650847,14.853285967970324,0.49174358089626274,33.95222703472993,0.686185205184871,2.1277777777777778,0.06369800893742743,13.6,0.8944271909999159,0.0,0.0,92.8,0.3261473138207641,8.550296941795386,0.07861970916987708,9.595260933157988,0.0756600297951246
actuated,3x3,medium,5,1687.2,3.1144823004794873,93.73333333333333,0.17302679447108116,107.20440343208612,1.469252224502566,14.282768525020504,1.0412366464934097,35.009351003794826,1.432641099035448,1.3241975308641976,0.0880126565284259,14.2,2.3874672772626644,0.0,0.0,95.89375,0.05568290525376707,10.045723558403552,0.014153554622776343,11.101537191541865,0.014370656322632756
actuated,4x4,medium,5,1862.4,4.929503017546495,93.12,0.24647515087732674,116.33993603845354,1.1661540657811273,12.851460417364903,0.5422392480254192,34.21848365034253,1.0175839556020185,0.7667013888888888,0.03220507168993748,9.6,2.073644135332772,0.0,0.0,98.1375,0.06480137922914912,11.800581449805758,0.022767504009507483,12.872869416791946,0.024650906509537548
actuated,5x5,medium,5,1453.4,3.4351128074635335,92.80970625798213,0.2193558625455653,125.43284183504855,0.8091297189673519,12.072503502523736,0.5644576069055566,33.999082496785846,0.8708349715797387,0.38493333333333335,0.01756374633115569,5.6,0.8944271909999159,0.0,0.0,99.81875,0.31144352668260744,11.86062830821611,0.12662751521944973,12.929614616604521,0.12770550507470863
original_fixed,2x2,dynamic,5,1116.2,2.280350850198276,93.01666666666667,0.19002923751652154,116.10334038791238,1.1869024935775494,28.950456690278255,0.7769031174940705,50.180760390061636,1.1385608733181596,4.333611111111111,0.10315083383863145,17.2,1.6431676725154984,0.0,0.0,92.48125,0.03890593624371479,8.603431233181619,0.017309330887486145,9.644173299754039,0.016501502410326063
original_fixed,2x2,high,5,403.2,42.59342672291113,13.44,1.4197808907637037,273.53861982853704,10.393484890595179,162.00261558774775,9.749774389474782,200.8920888794532,10.211593443287105,74.09236111111112,1.5289046507030335,100.0,0.0,103.0,10.222524150130436,108.228125,0.4752928784575885,9.74052294162102,0.023680447114027347,10.789079975010827,0.025749922383211277
original_fixed,2x2,low,5,569.6,2.073644135332772,94.93333333333334,0.3456073558887928,97.42820731017189,0.6081340440166405,19.573815579827283,0.5841286690284399,33.802781915646094,0.6113881127701215,1.6266666666666667,0.031946708856940544,8.8,0.4472135954999579,0.0,0.0,88.759375,0.47271758383045154,8.332201566989534,0.035081033178520925,9.380902466806583,0.034431721224380145
