controller,grid,scenario,seed,simulation_duration_s,loaded_vehicles,departed_vehicles,completed_trips,completion_rate_pct,completion_of_departed_pct,avg_travel_time,avg_waiting_time,avg_time_loss,mean_queue_length,max_queue_length,mean_step_waiting_time,mean_vehicle_count,teleports_started,teleports_ended,active_at_end,min_expected_at_end,tls_count,active_program,peak_process_tree_ram_mb,simulation_loop_runtime_s,total_wall_runtime_s,tripinfo_arrival_match,step_file,tripinfo_file,status
webster_fixed,2x2,dynamic,11,1800,1200,1199,1129,94.08333333333333,94.16180150125103,100.77413640389726,13.968999114260408,34.892922940655446,1.8840277777777779,10,10.040277777777778,8.063888888888888,0,0,70,71,4,a,98.0625,8.616709957947023,9.702608249965124,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed11_tripinfo.xml,PASS
webster_fixed,2x2,dynamic,12,1800,1200,1200,1125,93.75,93.75,101.59022222222222,13.977777777777778,35.788853333333336,1.9013888888888888,10,9.822222222222223,8.19513888888889,0,0,75,75,4,a,98.9375,8.616922999965027,9.684867708943784,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed12_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed12_tripinfo.xml,PASS
webster_fixed,2x2,dynamic,13,1800,1200,1200,1127,93.91666666666667,93.91666666666667,107.07630878438331,15.709849157054126,40.76062999112688,2.2569444444444446,13,12.090277777777779,9.097222222222221,0,0,73,73,4,a,99.125,8.616760042030364,9.6974513749592,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed13_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed13_tripinfo.xml,PASS
webster_fixed,2x2,dynamic,14,1800,1200,1200,1127,93.91666666666667,93.91666666666667,102.2360248447205,14.233362910381544,36.100425909494234,1.9958333333333333,10,10.542361111111111,8.342361111111112,0,0,73,73,4,a,99.375,8.620390249998309,9.707505958969705,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed14_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed14_tripinfo.xml,PASS
webster_fixed,2x2,dynamic,15,1800,1200,1200,1129,94.08333333333333,94.08333333333333,102.53941541186892,14.799822852081489,36.79205491585474,1.9861111111111112,10,10.50763888888889,8.32013888888889,0,0,71,71,4,a,99.390625,8.529287833021954,9.616277000051923,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed15_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/webster_fixed_dynamic_seed15_tripinfo.xml,PASS
actuated,2x2,high,11,1800,3000,1578,365,12.166666666666668,23.130544993662863,297.8301369863014,186.56438356164384,222.77117808219177,73.42152777777778,100,10005.961805555555,80.62430555555555,105,51,1181,2635,4,0,109.234375,9.87658941699192,10.928089207969606,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed11_tripinfo.xml,PASS
actuated,2x2,high,12,1800,3000,1620,408,13.600000000000001,25.185185185185183,305.63235294117646,192.1078431372549,233.03357843137255,72.9625,100,9346.314583333333,80.80694444444444,111,60,1184,2592,4,0,108.75,9.830725749954581,10.884068457991816,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed12_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed12_tripinfo.xml,PASS
actuated,2x2,high,13,1800,3000,1571,360,12.0,22.915340547422026,287.35833333333335,178.53055555555557,212.48586111111112,75.32847222222222,100,10979.106944444444,82.45486111111111,116,70,1187,2640,4,0,108.75,9.82259529188741,10.871714625041932,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed13_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed13_tripinfo.xml,PASS
actuated,2x2,high,14,1800,3000,1630,410,13.666666666666666,25.153374233128833,276.00243902439024,169.01463414634145,206.82626829268293,73.45833333333333,100,8804.952777777778,81.50347222222223,96,49,1187,2590,4,0,108.625,9.864509167033248,10.908790542045608,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed14_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed14_tripinfo.xml,PASS
actuated,2x2,high,15,1800,3000,1656,433,14.433333333333334,26.147342995169083,274.00461893764435,160.57505773672057,201.5337413394919,73.2375,100,8966.714583333332,81.81527777777778,100,54,1194,2567,4,0,108.46875,9.845692291972227,10.8900503750192,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed15_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_high_seed15_tripinfo.xml,PASS
original_fixed,2x2,high,11,1800,3000,1575,356,11.866666666666667,22.6031746031746,271.80056179775283,164.9691011235955,199.48960674157303,74.89652777777778,100,8619.30625,83.07291666666667,97,52,1187,2644,4,0,107.765625,9.768513249931857,10.818240332999267,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed11_tripinfo.xml,PASS
original_fixed,2x2,high,12,1800,3000,1627,415,13.833333333333334,25.507068223724648,290.34698795180725,176.3132530120482,215.32060240963855,74.79513888888889,100,10045.810416666667,83.07222222222222,111,70,1189,2585,4,0,108.484375,9.761387416976504,10.812314792070538,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed12_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed12_tripinfo.xml,PASS
original_fixed,2x2,high,13,1800,3000,1645,421,14.033333333333333,25.592705167173253,262.0166270783848,149.6603325415677,187.77643705463183,74.18611111111112,100,10282.946527777778,82.5125,114,63,1193,2579,4,0,107.671875,9.72313004208263,10.770820000092499,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed13_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed13_tripinfo.xml,PASS
original_fixed,2x2,high,14,1800,3000,1671,459,15.299999999999999,27.468581687612208,273.70152505446623,158.5032679738562,205.1162091503268,71.43194444444444,100,9880.022222222222,81.01527777777778,89,49,1184,2541,4,0,108.71875,9.735441708005965,10.785165666951798,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed14_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed14_tripinfo.xml,PASS
original_fixed,2x2,high,15,1800,3000,1582,365,12.166666666666668,23.072060682680153,269.827397260274,160.56712328767122,196.75758904109588,75.15208333333334,100,9974.7625,82.89444444444445,104,62,1190,2635,4,0,108.5,9.714142291108146,10.758859082940035,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed15_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_high_seed15_tripinfo.xml,PASS
