algorithm,grid,scenario,episode,step,avg_reward,epsilon,reward_B1,reward_B2,reward_B3,reward_B4,reward_B5,reward_C1,reward_C2,reward_C3,reward_C4,reward_C5,reward_D1,reward_D2,reward_D3,reward_D4,reward_D5,reward_E1,reward_E2,reward_E3,reward_E4,reward_E5,reward_F1,reward_F2,reward_F3,reward_F4,reward_F5
dqn,5x5,medium,11,3960,-71.192,0.8925414285714286,-61.59999999999994,-58.79999999999994,-70.20000000000002,-69.39999999999995,-61.8,-68.99999999999997,-68.49999999999999,-65.59999999999992,-73.10000000000005,-64.89999999999996,-73.39999999999998,-71.00000000000003,-87.30000000000001,-74.19999999999997,-80.69999999999997,-67.19999999999999,-76.30000000000003,-81.80000000000011,-73.50000000000004,-80.99999999999996,-59.800000000000026,-76.4,-66.60000000000001,-78.70000000000006,-69.00000000000001
dqn,5x5,medium,12,4320,-68.71999999999998,0.88277,-73.69999999999997,-59.2,-70.09999999999995,-65.59999999999992,-61.099999999999945,-71.10000000000002,-73.3,-80.29999999999998,-72.6000000000001,-66.79999999999991,-73.59999999999998,-66.1,-76.20000000000002,-79.3,-65.39999999999992,-64.49999999999996,-74.19999999999997,-62.29999999999995,-79.49999999999997,-76.49999999999997,-57.69999999999994,-66.80000000000001,-66.79999999999997,-61.79999999999994,-53.49999999999994
dqn,5x5,medium,13,4680,-70.73999999999997,0.8729985714285714,-63.59999999999996,-57.19999999999997,-71.5,-62.399999999999935,-59.999999999999964,-54.29999999999993,-95.70000000000003,-72.39999999999999,-73.60000000000005,-78.80000000000003,-63.29999999999996,-69.29999999999993,-78.70000000000005,-68.69999999999996,-69.49999999999997,-62.799999999999976,-98.80000000000003,-80.50000000000001,-82.7,-88.70000000000005,-57.19999999999992,-56.89999999999991,-70.70000000000002,-77.49999999999993,-53.69999999999992
dqn,5x5,medium,14,5040,-69.196,0.8632271428571429,-64.19999999999996,-55.89999999999997,-64.99999999999997,-69.89999999999992,-61.59999999999992,-54.19999999999997,-66.99999999999997,-81.7000000000001,-68.69999999999995,-71.29999999999995,-68.40000000000005,-72.20000000000007,-82.09999999999998,-90.60000000000002,-69.40000000000003,-72.39999999999998,-77.00000000000004,-65.79999999999997,-72.90000000000002,-66.10000000000004,-52.69999999999994,-73.00000000000011,-64.50000000000003,-74.4,-68.89999999999998
dqn,5x5,medium,15,5400,-73.49199999999999,0.8534557142857143,-60.59999999999998,-57.49999999999995,-60.50000000000003,-65.39999999999992,-66.8999999999999,-64.39999999999996,-97.39999999999995,-87.0,-76.80000000000008,-70.30000000000001,-63.50000000000003,-79.49999999999993,-94.89999999999998,-109.50000000000006,-90.30000000000008,-79.60000000000011,-62.69999999999994,-71.49999999999996,-73.69999999999999,-87.00000000000007,-64.69999999999999,-75.39999999999999,-59.59999999999994,-58.49999999999997,-60.09999999999999
dqn,5x5,medium,16,5760,-66.51599999999998,0.8436842857142858,-58.300000000000026,-53.699999999999996,-65.09999999999994,-66.99999999999999,-59.0,-66.50000000000004,-74.79999999999998,-67.69999999999995,-66.69999999999995,-57.99999999999994,-70.69999999999996,-67.7,-64.89999999999996,-83.40000000000006,-66.19999999999995,-69.09999999999997,-71.0,-64.3,-74.69999999999995,-70.79999999999995,-60.49999999999994,-65.39999999999993,-63.99999999999996,-66.50000000000001,-66.89999999999993
dqn,5x5,medium,17,6120,-69.89199999999998,0.8339128571428571,-64.39999999999995,-67.49999999999999,-64.09999999999995,-61.79999999999999,-59.599999999999895,-67.60000000000007,-75.99999999999993,-70.60000000000001,-67.9,-70.60000000000001,-84.19999999999999,-83.40000000000003,-83.79999999999995,-68.99999999999994,-74.19999999999997,-72.09999999999992,-78.60000000000001,-79.00000000000003,-72.49999999999994,-78.10000000000007,-55.399999999999984,-61.39999999999993,-59.90000000000001,-69.1,-56.49999999999994
dqn,5x5,medium,18,6480,-68.08399999999997,0.8241414285714286,-59.19999999999996,-66.49999999999997,-58.89999999999999,-58.29999999999998,-49.099999999999945,-66.79999999999997,-78.39999999999999,-73.2,-67.69999999999997,-59.399999999999984,-72.10000000000007,-73.29999999999997,-82.40000000000006,-69.80000000000007,-77.39999999999998,-73.49999999999996,-64.09999999999988,-69.3,-78.20000000000006,-83.8,-51.199999999999974,-69.49999999999994,-65.39999999999999,-64.59999999999995,-70.00000000000007
dqn,5x5,medium,19,6840,-67.35999999999999,0.81437,-66.2,-62.99999999999991,-65.09999999999998,-57.59999999999994,-56.999999999999986,-58.29999999999997,-69.90000000000003,-72.10000000000007,-82.79999999999998,-68.39999999999995,-58.79999999999998,-71.09999999999997,-68.79999999999997,-79.1,-73.19999999999997,-62.69999999999998,-65.3999999999999,-69.29999999999995,-68.40000000000005,-71.2,-56.39999999999997,-52.09999999999997,-87.00000000000006,-64.39999999999992,-75.69999999999996
dqn,5x5,medium,20,7200,-65.52799999999998,0.8045985714285715,-50.49999999999995,-58.19999999999996,-54.69999999999999,-62.19999999999995,-51.799999999999926,-60.39999999999994,-68.20000000000003,-73.50000000000003,-77.50000000000001,-64.29999999999998,-66.39999999999998,-72.39999999999998,-71.8,-82.19999999999997,-67.50000000000001,-61.699999999999925,-70.09999999999994,-66.7,-59.79999999999992,-63.39999999999997,-56.59999999999994,-74.09999999999997,-69.80000000000005,-68.1,-66.30000000000001
dqn,5x5,medium,21,7560,-66.46799999999996,0.7948271428571428,-61.999999999999936,-60.89999999999999,-59.399999999999956,-55.39999999999997,-66.1,-66.19999999999995,-71.79999999999998,-82.99999999999993,-69.49999999999997,-55.19999999999992,-81.00000000000001,-66.39999999999998,-74.19999999999999,-71.7,-60.49999999999992,-65.39999999999998,-58.19999999999996,-66.19999999999996,-62.899999999999906,-89.09999999999997,-56.29999999999998,-62.49999999999991,-65.8,-62.79999999999991,-69.19999999999997
dqn,5x5,medium,22,7920,-68.50399999999998,0.7850557142857143,-59.00000000000003,-70.49999999999996,-61.899999999999906,-74.59999999999998,-56.799999999999955,-58.9,-74.80000000000005,-73.2,-73.19999999999999,-82.20000000000005,-67.29999999999993,-75.49999999999997,-65.99999999999997,-70.29999999999998,-59.79999999999995,-63.299999999999976,-79.99999999999993,-64.69999999999996,-74.79999999999998,-81.39999999999996,-54.79999999999991,-94.70000000000005,-52.79999999999996,-55.19999999999995,-66.9
dqn,5x5,medium,23,8280,-66.82799999999999,0.7752842857142858,-60.599999999999994,-58.89999999999992,-55.099999999999994,-75.80000000000001,-49.899999999999956,-61.00000000000001,-83.50000000000001,-67.10000000000002,-62.999999999999986,-64.1,-65.39999999999999,-69.60000000000002,-90.60000000000007,-81.40000000000002,-69.1,-56.700000000000045,-70.19999999999995,-75.29999999999995,-61.299999999999905,-75.90000000000005,-63.99999999999998,-57.499999999999936,-56.79999999999994,-73.39999999999999,-64.49999999999996
dqn,5x5,medium,24,8640,-65.65199999999996,0.7655128571428571,-55.09999999999995,-52.899999999999935,-68.6,-67.99999999999994,-67.89999999999998,-56.79999999999991,-64.59999999999994,-66.19999999999995,-66.59999999999992,-57.399999999999906,-82.39999999999999,-63.7,-76.2,-80.79999999999998,-70.39999999999996,-61.39999999999998,-69.39999999999996,-63.69999999999995,-78.00000000000003,-76.39999999999999,-53.19999999999993,-55.399999999999984,-61.999999999999964,-62.999999999999915,-61.19999999999997
dqn,5x5,medium,25,9000,-65.336,0.7557414285714286,-65.99999999999996,-60.09999999999992,-51.29999999999994,-66.80000000000003,-61.099999999999966,-52.799999999999926,-75.00000000000007,-72.80000000000001,-63.59999999999994,-71.30000000000001,-59.599999999999945,-61.00000000000001,-71.80000000000008,-61.69999999999995,-69.09999999999998,-70.39999999999999,-72.80000000000005,-75.90000000000008,-59.99999999999995,-75.60000000000002,-52.09999999999993,-57.09999999999995,-61.799999999999955,-68.59999999999997,-75.10000000000005
dqn,5x5,medium,26,9360,-64.27199999999996,0.74597,-54.39999999999991,-58.99999999999996,-60.39999999999997,-71.89999999999996,-57.19999999999993,-64.80000000000001,-71.29999999999995,-65.09999999999997,-59.69999999999993,-58.99999999999998,-78.10000000000004,-73.79999999999994,-66.49999999999991,-89.30000000000001,-56.799999999999955,-61.39999999999997,-82.89999999999998,-60.09999999999992,-66.89999999999999,-67.09999999999997,-49.99999999999995,-65.39999999999998,-56.399999999999956,-56.599999999999945,-52.69999999999994
dqn,5x5,medium,27,9720,-64.92799999999997,0.7361985714285715,-53.0,-58.89999999999995,-57.999999999999915,-60.399999999999906,-47.299999999999955,-57.7,-82.80000000000003,-66.10000000000002,-69.10000000000001,-64.09999999999991,-61.499999999999936,-62.39999999999999,-73.39999999999999,-72.59999999999998,-60.39999999999993,-67.3,-74.90000000000008,-72.00000000000007,-67.80000000000007,-79.29999999999995,-53.69999999999996,-69.39999999999995,-63.39999999999992,-69.19999999999996,-58.49999999999996
dqn,5x5,medium,28,10080,-62.89199999999997,0.7264271428571429,-59.79999999999999,-59.49999999999994,-55.099999999999966,-61.39999999999994,-60.09999999999994,-68.90000000000005,-60.19999999999998,-65.69999999999997,-65.09999999999997,-58.79999999999995,-62.90000000000001,-69.69999999999997,-75.10000000000004,-64.8999999999999,-73.1999999999999,-53.59999999999997,-64.19999999999992,-64.60000000000002,-70.39999999999993,-73.90000000000002,-55.399999999999956,-58.89999999999997,-56.799999999999976,-62.19999999999996,-51.899999999999984
dqn,5x5,medium,29,10440,-64.62399999999997,0.7166557142857144,-60.4,-54.59999999999992,-64.59999999999995,-60.79999999999994,-58.59999999999994,-64.39999999999998,-73.60000000000001,-72.49999999999996,-66.60000000000001,-64.29999999999997,-68.00000000000003,-59.39999999999995,-65.99999999999994,-62.89999999999999,-66.89999999999996,-72.19999999999995,-57.29999999999997,-68.99999999999997,-86.29999999999993,-67.80000000000001,-53.99999999999996,-69.1,-54.899999999999956,-61.09999999999998,-60.299999999999976
dqn,5x5,medium,30,10800,-64.72399999999996,0.7068842857142857,-56.20000000000001,-61.29999999999992,-51.89999999999995,-66.09999999999994,-63.79999999999993,-58.09999999999991,-75.70000000000005,-63.800000000000004,-69.9,-69.59999999999997,-69.69999999999992,-71.99999999999994,-69.90000000000003,-65.29999999999994,-69.59999999999995,-62.39999999999994,-79.09999999999994,-67.19999999999997,-56.49999999999999,-69.99999999999994,-52.89999999999996,-67.79999999999998,-60.899999999999935,-52.39999999999995,-65.99999999999996
dqn,5x5,medium,31,11160,-62.17599999999999,0.6971128571428572,-52.49999999999997,-50.79999999999993,-59.00000000000001,-59.20000000000001,-59.49999999999998,-59.09999999999999,-65.39999999999998,-72.50000000000006,-57.99999999999991,-70.89999999999992,-69.00000000000003,-67.59999999999997,-69.10000000000008,-77.80000000000008,-65.19999999999997,-68.40000000000002,-72.89999999999995,-66.0,-62.899999999999935,-61.99999999999996,-47.59999999999996,-54.49999999999992,-50.19999999999999,-59.999999999999986,-54.29999999999996
dqn,5x5,medium,32,11520,-62.03199999999996,0.6873414285714285,-56.00000000000001,-52.799999999999976,-66.3,-62.799999999999955,-61.79999999999993,-57.29999999999992,-56.19999999999999,-61.300000000000004,-65.69999999999999,-67.99999999999991,-63.099999999999994,-67.09999999999992,-71.10000000000002,-50.19999999999998,-75.59999999999998,-53.59999999999996,-65.79999999999997,-70.09999999999998,-70.59999999999991,-67.79999999999997,-56.39999999999996,-59.29999999999997,-57.69999999999997,-66.89999999999995,-47.300000000000004
dqn,5x5,medium,33,11880,-63.32799999999998,0.67757,-47.09999999999997,-61.199999999999946,-60.299999999999976,-61.699999999999974,-55.599999999999916,-55.69999999999999,-60.9,-74.09999999999998,-75.50000000000017,-54.79999999999992,-60.19999999999994,-71.50000000000007,-71.49999999999996,-75.29999999999998,-57.89999999999995,-56.60000000000001,-58.89999999999998,-65.09999999999995,-64.29999999999997,-80.2,-61.1999999999999,-83.29999999999997,-58.19999999999994,-62.39999999999996,-49.69999999999998
dqn,5x5,medium,34,12240,-62.07199999999998,0.6677985714285715,-59.49999999999997,-62.89999999999993,-68.5,-54.29999999999999,-46.59999999999991,-58.89999999999993,-70.49999999999999,-65.39999999999995,-65.49999999999999,-55.49999999999993,-51.69999999999998,-78.69999999999996,-66.49999999999999,-75.3,-58.1,-52.09999999999998,-73.2,-73.90000000000002,-72.49999999999999,-62.79999999999994,-46.09999999999996,-54.49999999999993,-61.69999999999999,-58.39999999999996,-58.69999999999995
dqn,5x5,medium,35,12600,-62.30399999999997,0.6580271428571429,-50.49999999999994,-55.09999999999993,-49.39999999999993,-48.59999999999996,-60.399999999999956,-58.79999999999994,-60.30000000000001,-74.50000000000004,-65.79999999999991,-68.79999999999997,-61.49999999999997,-80.80000000000004,-66.09999999999994,-60.19999999999995,-68.00000000000004,-66.19999999999999,-63.29999999999997,-59.99999999999996,-62.4999999999999,-87.70000000000003,-56.39999999999993,-57.79999999999992,-58.199999999999974,-54.39999999999994,-62.29999999999995
dqn,5x5,medium,36,12960,-59.82799999999997,0.6482557142857144,-47.299999999999955,-56.19999999999994,-49.59999999999996,-55.99999999999998,-53.99999999999994,-57.19999999999997,-70.30000000000003,-71.79999999999997,-64.09999999999988,-60.0999999999999,-54.09999999999994,-68.09999999999995,-69.9,-71.30000000000001,-63.79999999999997,-56.29999999999994,-59.09999999999991,-67.89999999999996,-68.6,-57.09999999999996,-54.99999999999995,-51.19999999999998,-55.499999999999986,-61.19999999999996,-50.00000000000001
dqn,5x5,medium,37,13320,-60.559999999999974,0.6384842857142857,-65.0,-59.89999999999994,-48.89999999999996,-65.89999999999996,-46.49999999999995,-51.599999999999945,-72.49999999999993,-71.00000000000001,-67.30000000000004,-47.49999999999993,-64.89999999999999,-83.10000000000001,-67.50000000000001,-62.99999999999996,-58.099999999999966,-60.89999999999997,-64.19999999999996,-52.299999999999955,-58.89999999999996,-65.09999999999997,-48.99999999999993,-53.99999999999998,-61.099999999999945,-59.59999999999996,-56.20000000000002
dqn,5x5,medium,38,13680,-63.419999999999966,0.6287128571428572,-42.599999999999966,-56.30000000000001,-70.89999999999995,-74.99999999999997,-52.199999999999925,-58.09999999999994,-85.20000000000002,-65.49999999999999,-65.79999999999997,-71.49999999999996,-57.09999999999995,-73.49999999999996,-69.69999999999992,-62.599999999999945,-61.79999999999997,-63.000000000000014,-67.50000000000001,-55.59999999999996,-63.19999999999997,-89.69999999999999,-41.39999999999994,-52.09999999999995,-61.299999999999955,-60.59999999999999,-63.3
dqn,5x5,medium,39,14040,-62.88799999999998,0.6189414285714285,-51.399999999999956,-64.29999999999994,-60.099999999999966,-68.39999999999996,-51.39999999999992,-56.39999999999998,-64.49999999999997,-57.59999999999995,-71.10000000000002,-70.89999999999995,-77.90000000000002,-65.09999999999994,-72.00000000000001,-75.59999999999997,-66.30000000000003,-56.49999999999997,-49.499999999999986,-64.49999999999994,-71.19999999999996,-80.10000000000004,-48.39999999999994,-55.19999999999994,-63.599999999999966,-53.29999999999997,-56.89999999999998
dqn,5x5,medium,40,14400,-61.65199999999997,0.60917,-52.900000000000006,-56.999999999999964,-61.89999999999995,-58.899999999999956,-56.69999999999993,-61.09999999999996,-68.79999999999998,-68.70000000000005,-61.99999999999996,-58.19999999999999,-66.89999999999996,-53.59999999999999,-72.1,-81.10000000000004,-65.69999999999996,-68.60000000000001,-76.59999999999997,-56.1999999999999,-57.39999999999999,-74.69999999999996,-41.59999999999998,-51.99999999999994,-60.30000000000001,-59.39999999999998,-48.89999999999998
dqn,5x5,medium,41,14760,-58.93999999999996,0.5993985714285714,-51.699999999999946,-57.199999999999974,-58.59999999999999,-60.99999999999997,-53.89999999999995,-54.19999999999998,-56.39999999999995,-62.79999999999997,-63.49999999999994,-64.09999999999992,-55.09999999999995,-58.49999999999995,-61.599999999999966,-61.89999999999997,-58.99999999999993,-57.89999999999999,-66.19999999999995,-63.29999999999996,-65.69999999999992,-73.09999999999998,-49.79999999999997,-52.89999999999998,-50.89999999999992,-60.09999999999998,-54.09999999999999
dqn,5x5,medium,42,15120,-60.81599999999997,0.5896271428571429,-56.59999999999999,-51.89999999999995,-59.49999999999997,-55.29999999999993,-63.89999999999993,-62.29999999999998,-57.79999999999997,-75.90000000000008,-60.499999999999915,-59.099999999999966,-59.89999999999999,-69.79999999999995,-70.80000000000004,-73.50000000000004,-69.19999999999995,-57.09999999999998,-56.09999999999999,-62.399999999999956,-65.59999999999997,-60.79999999999993,-46.299999999999955,-57.899999999999956,-56.99999999999993,-54.399999999999956,-56.799999999999926
dqn,5x5,medium,43,15480,-59.91199999999996,0.5798557142857144,-49.59999999999996,-61.39999999999995,-55.99999999999996,-51.69999999999993,-45.49999999999993,-61.099999999999994,-67.19999999999992,-59.79999999999999,-56.799999999999976,-56.399999999999935,-62.49999999999995,-73.19999999999995,-70.30000000000001,-72.89999999999999,-60.79999999999995,-60.699999999999996,-76.69999999999996,-63.99999999999998,-78.40000000000006,-59.09999999999997,-54.799999999999955,-50.899999999999984,-50.99999999999995,-50.199999999999974,-46.799999999999955
dqn,5x5,medium,44,15840,-59.51599999999995,0.5700842857142858,-46.399999999999984,-52.09999999999992,-64.29999999999994,-60.699999999999946,-52.49999999999998,-59.099999999999966,-60.399999999999956,-61.29999999999991,-62.999999999999936,-65.39999999999995,-60.99999999999991,-55.89999999999995,-79.1,-62.09999999999996,-60.699999999999946,-65.40000000000002,-61.29999999999993,-60.09999999999998,-60.29999999999994,-61.79999999999994,-50.599999999999916,-52.999999999999936,-56.69999999999999,-55.29999999999993,-59.39999999999998
dqn,5x5,medium,45,16200,-62.211999999999954,0.5603128571428572,-53.49999999999996,-61.899999999999935,-62.999999999999986,-60.99999999999994,-42.499999999999936,-54.59999999999993,-70.59999999999994,-65.79999999999993,-71.50000000000003,-64.99999999999996,-60.89999999999995,-74.29999999999988,-66.49999999999994,-66.19999999999996,-69.49999999999994,-55.699999999999996,-70.29999999999994,-64.5,-73.20000000000009,-73.60000000000002,-51.39999999999999,-46.39999999999995,-54.19999999999994,-61.5,-57.69999999999993
dqn,5x5,medium,46,16560,-57.11599999999996,0.5505414285714285,-49.39999999999999,-49.2999999999999,-54.69999999999995,-52.999999999999936,-42.499999999999936,-53.39999999999997,-70.70000000000002,-61.49999999999997,-59.89999999999995,-54.299999999999905,-66.09999999999998,-60.19999999999999,-64.99999999999996,-65.19999999999993,-60.2999999999999,-59.79999999999996,-69.4,-54.39999999999996,-61.19999999999993,-65.79999999999997,-41.69999999999996,-56.399999999999956,-49.49999999999996,-54.499999999999964,-49.699999999999996
dqn,5x5,medium,47,16920,-59.21199999999996,0.54077,-54.899999999999984,-59.69999999999998,-62.59999999999996,-64.89999999999995,-49.29999999999991,-56.899999999999935,-56.29999999999993,-66.79999999999994,-61.19999999999992,-62.89999999999996,-61.39999999999998,-55.399999999999935,-80.10000000000002,-63.29999999999996,-52.99999999999991,-59.499999999999986,-61.69999999999996,-64.60000000000004,-61.49999999999997,-66.3,-50.59999999999995,-54.59999999999998,-49.3,-51.69999999999993,-51.800000000000004
dqn,5x5,medium,48,17280,-55.527999999999956,0.5309985714285714,-50.099999999999945,-46.99999999999996,-63.2,-64.19999999999992,-49.69999999999994,-49.59999999999995,-47.79999999999995,-61.699999999999946,-65.49999999999994,-52.29999999999994,-62.899999999999956,-55.99999999999996,-61.99999999999997,-65.30000000000001,-59.29999999999994,-61.69999999999996,-59.899999999999984,-48.69999999999996,-53.599999999999994,-56.0999999999999,-44.09999999999996,-49.39999999999998,-56.49999999999996,-53.599999999999945,-47.99999999999994
dqn,5x5,medium,49,17640,-57.55199999999995,0.5212271428571429,-53.49999999999997,-58.29999999999998,-49.49999999999999,-54.59999999999993,-51.199999999999925,-54.69999999999997,-70.29999999999997,-69.79999999999993,-61.49999999999997,-55.49999999999995,-55.49999999999989,-61.19999999999995,-69.00000000000004,-64.6,-53.09999999999995,-58.699999999999946,-57.999999999999936,-63.59999999999997,-56.99999999999997,-56.79999999999995,-48.19999999999994,-48.79999999999996,-62.199999999999996,-54.19999999999991,-48.99999999999999
dqn,5x5,medium,50,18000,-58.91999999999995,0.5114557142857143,-48.899999999999935,-59.99999999999996,-59.59999999999993,-59.89999999999998,-50.09999999999994,-52.89999999999998,-67.09999999999998,-59.699999999999925,-71.89999999999995,-60.39999999999997,-49.599999999999945,-52.09999999999997,-72.4,-65.99999999999991,-60.79999999999994,-54.09999999999997,-70.29999999999993,-57.099999999999945,-57.1,-58.99999999999997,-51.89999999999997,-57.39999999999999,-54.0,-60.29999999999994,-60.39999999999993
dqn,5x5,medium,51,18360,-57.21999999999996,0.5016842857142858,-49.49999999999998,-54.29999999999996,-55.79999999999997,-56.199999999999974,-45.89999999999996,-52.99999999999997,-57.29999999999995,-61.19999999999998,-60.599999999999895,-61.199999999999946,-57.69999999999999,-65.69999999999997,-65.19999999999995,-66.29999999999997,-68.69999999999996,-58.49999999999997,-58.49999999999994,-56.69999999999993,-64.59999999999998,-55.99999999999994,-43.39999999999994,-50.499999999999936,-55.19999999999996,-58.299999999999976,-50.199999999999996
dqn,5x5,medium,52,18720,-56.41599999999997,0.49191285714285715,-55.999999999999964,-47.29999999999994,-52.69999999999998,-60.29999999999997,-51.79999999999995,-56.09999999999996,-61.59999999999994,-60.59999999999995,-60.99999999999994,-51.699999999999946,-52.3,-54.99999999999997,-71.59999999999997,-60.299999999999976,-58.59999999999998,-60.79999999999999,-58.599999999999916,-59.699999999999996,-53.39999999999995,-55.89999999999996,-45.39999999999998,-54.399999999999935,-63.099999999999994,-56.099999999999994,-46.09999999999997
dqn,5x5,medium,53,19080,-56.879999999999974,0.4821414285714286,-42.999999999999964,-56.49999999999992,-59.69999999999996,-56.399999999999956,-49.399999999999984,-50.19999999999998,-54.49999999999997,-68.69999999999995,-61.19999999999994,-50.29999999999994,-49.499999999999936,-67.29999999999993,-58.99999999999999,-55.49999999999996,-67.49999999999999,-50.10000000000001,-66.0,-71.9,-63.39999999999999,-66.50000000000001,-42.69999999999996,-53.599999999999945,-50.099999999999994,-51.79999999999994,-57.199999999999946
dqn,5x5,medium,54,19440,-56.63999999999996,0.47237000000000007,-46.199999999999974,-52.99999999999996,-48.29999999999995,-61.99999999999998,-46.89999999999992,-51.39999999999994,-61.599999999999945,-68.69999999999996,-61.59999999999998,-45.999999999999936,-54.59999999999994,-57.999999999999964,-64.99999999999996,-63.99999999999997,-50.99999999999996,-50.89999999999996,-65.29999999999994,-64.1,-74.09999999999997,-58.399999999999956,-47.79999999999996,-52.39999999999989,-58.69999999999993,-62.799999999999976,-43.199999999999946
