controller,grid,scenario,seed,loaded_vehicles,departed_vehicles,completed_trips,completion_rate_pct,avg_travel_time,avg_waiting_time,avg_time_loss,mean_queue_length,max_queue_length,teleports_started,teleports_ended,mean_agent_predict_ms,p95_agent_predict_ms,mean_joint_decision_ms,p95_joint_decision_ms,peak_process_tree_ram_mb,model_size_total_mb,wall_runtime_s,status
ppo,2x2,high,11,3000,1460,225,7.5,357.52,238.06666666666666,264.5845777777778,74.05069444444445,100,130,82,0.07352119722222222,0.09104405,0.2974156055555556,0.32775835,341.078125,0.53125,3.6192297079833224,PASS
ppo,2x2,high,12,3000,1443,213,7.1,343.46478873239437,222.72769953051642,247.591220657277,74.69652777777777,100,134,84,0.07303485902777777,0.09025625,0.2953798861111111,0.3261795,344.34375,0.53125,3.6439076660899445,PASS
ppo,2x2,high,13,3000,1448,220,7.333333333333333,365.35,234.23636363636365,259.8404090909091,73.98333333333333,100,127,81,0.0727155951388889,0.0912521,0.2940975416666667,0.33131905,344.765625,0.53125,3.6872680420055985,PASS
ppo,2x2,high,14,3000,1461,236,7.866666666666666,388.1737288135593,268.81779661016947,293.388093220339,73.68958333333333,100,131,89,0.07293577777777778,0.0918351,0.29499305833333334,0.33305690000000004,344.890625,0.53125,3.647044042008929,PASS
ppo,2x2,high,15,3000,1450,223,7.433333333333334,337.695067264574,206.03139013452915,229.65587443946188,74.33958333333334,100,132,76,0.07300529375,0.09013959999999999,0.2952804388888889,0.3253232500000001,345.03125,0.53125,3.6827978750225157,PASS
