algorithm,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_C1,reward_C2
ppo,medium,59,21240,-207.77500000000003,-205.20000000000022,-136.49999999999991,-330.79999999999984,-158.60000000000008
ppo,medium,60,21600,-181.39999999999995,-160.29999999999995,-204.2999999999999,-227.60000000000002,-133.4
ppo,medium,61,21960,-176.87500000000003,-167.8,-187.99999999999991,-227.90000000000006,-123.80000000000008
ppo,medium,62,22320,-175.97500000000005,-190.19999999999996,-187.20000000000005,-198.2000000000001,-128.30000000000007
ppo,medium,63,22680,-188.47500000000005,-200.40000000000006,-167.1,-263.30000000000007,-123.10000000000004
ppo,medium,64,23040,-184.5500000000001,-164.6,-174.3000000000002,-234.2,-165.10000000000028
ppo,medium,65,23400,-180.92500000000007,-141.00000000000006,-207.4000000000001,-213.29999999999998,-162.0000000000001
ppo,medium,66,23760,-181.72500000000002,-187.39999999999995,-173.2,-197.00000000000026,-169.3
ppo,medium,67,24120,-188.84999999999997,-221.89999999999992,-174.3,-229.79999999999998,-129.39999999999998
ppo,medium,68,24480,-158.52499999999998,-166.19999999999996,-162.49999999999986,-164.60000000000002,-140.80000000000007
ppo,medium,69,24840,-194.39999999999998,-222.39999999999998,-214.99999999999986,-190.20000000000007,-150.00000000000006
ppo,medium,70,25200,-164.12500000000006,-151.10000000000005,-154.89999999999995,-210.5000000000001,-140.00000000000006
ppo,medium,71,25560,-177.30000000000013,-164.6000000000001,-154.90000000000003,-242.80000000000018,-146.9000000000002
ppo,medium,72,25920,-176.72500000000005,-138.70000000000007,-183.7,-234.4,-150.10000000000014
ppo,medium,73,26280,-164.475,-146.20000000000007,-147.80000000000004,-228.19999999999987,-135.69999999999996
ppo,medium,74,26640,-165.10000000000002,-147.80000000000004,-116.90000000000003,-232.0,-163.70000000000005
ppo,medium,75,27000,-174.52500000000012,-171.7000000000001,-192.00000000000006,-202.1000000000001,-132.30000000000015
ppo,medium,76,27360,-176.87499999999991,-146.89999999999998,-158.7,-273.89999999999964,-128.00000000000014
ppo,medium,77,27720,-175.30000000000015,-168.70000000000024,-185.10000000000016,-204.20000000000005,-143.20000000000016
ppo,medium,78,28080,-188.62500000000006,-182.80000000000007,-169.89999999999995,-249.60000000000016,-152.2000000000001
ppo,medium,79,28440,-164.14999999999998,-150.89999999999998,-187.4,-182.79999999999987,-135.5000000000001
ppo,medium,80,28800,-166.10000000000014,-167.8000000000001,-161.10000000000016,-205.3000000000001,-130.2000000000001
ppo,medium,81,29160,-164.2750000000001,-191.90000000000015,-152.3,-175.3000000000001,-137.60000000000008
ppo,medium,82,29520,-171.77500000000003,-152.40000000000003,-194.79999999999995,-201.09999999999994,-138.80000000000015
ppo,medium,83,29880,-157.90000000000003,-134.9,-176.79999999999995,-189.50000000000006,-130.4000000000001
ppo,medium,84,30240,-158.07500000000005,-169.20000000000005,-155.8000000000001,-179.4000000000001,-127.90000000000002
ppo,medium,85,30600,-164.22499999999997,-145.60000000000008,-196.5,-175.19999999999996,-139.59999999999985
ppo,medium,86,30960,-178.9750000000001,-188.90000000000023,-168.19999999999996,-182.60000000000008,-176.20000000000016
ppo,medium,87,31320,-155.12500000000003,-132.9999999999999,-149.1,-208.90000000000012,-129.50000000000014
ppo,medium,88,31680,-190.55000000000004,-169.49999999999994,-182.6,-236.50000000000017,-173.60000000000002
ppo,medium,89,32040,-194.2500000000001,-182.00000000000017,-184.8000000000001,-264.0000000000001,-146.20000000000005
ppo,medium,90,32400,-168.55000000000007,-145.20000000000002,-177.70000000000013,-211.30000000000004,-140.00000000000014
ppo,medium,91,32760,-162.4,-186.09999999999988,-147.09999999999994,-175.30000000000013,-141.10000000000005
ppo,medium,92,33120,-166.74999999999997,-166.4999999999999,-174.99999999999991,-198.9000000000001,-126.59999999999998
ppo,medium,93,33480,-189.775,-183.10000000000014,-181.2000000000001,-214.19999999999982,-180.60000000000002
ppo,medium,94,33840,-193.95000000000005,-166.59999999999997,-195.29999999999995,-262.30000000000024,-151.60000000000002
ppo,medium,95,34200,-176.4250000000001,-148.39999999999998,-191.70000000000013,-196.7000000000002,-168.90000000000006
ppo,medium,96,34560,-163.775,-149.50000000000006,-190.30000000000004,-161.4,-153.9
ppo,medium,97,34920,-176.14999999999995,-158.90000000000006,-199.7,-227.39999999999986,-118.59999999999995
ppo,medium,98,35280,-160.725,-143.00000000000006,-179.7999999999999,-185.1,-135.00000000000003
ppo,medium,99,35640,-184.95000000000002,-157.4999999999999,-177.20000000000002,-246.20000000000005,-158.90000000000006
ppo,medium,100,36000,-173.59999999999997,-152.60000000000002,-178.6,-209.5999999999999,-153.59999999999997
ppo,medium,101,36360,-163.40000000000015,-182.20000000000007,-153.0,-180.80000000000027,-137.6000000000002
ppo,medium,102,36720,-170.87500000000009,-169.8000000000001,-182.5000000000001,-216.0000000000001,-115.20000000000007
ppo,medium,103,37080,-173.5750000000001,-144.4000000000002,-195.50000000000003,-199.90000000000018,-154.50000000000006
ppo,medium,104,37440,-179.27500000000015,-143.10000000000002,-189.60000000000025,-245.00000000000017,-139.40000000000006
ppo,medium,105,37800,-177.35000000000002,-162.60000000000002,-186.29999999999993,-217.40000000000003,-143.10000000000008
ppo,medium,106,38160,-180.47500000000005,-149.20000000000005,-196.59999999999988,-235.90000000000026,-140.19999999999993
ppo,medium,107,38520,-171.27499999999998,-147.59999999999994,-190.10000000000005,-186.4,-160.9999999999999
ppo,medium,108,38880,-168.125,-157.40000000000003,-196.59999999999988,-176.5000000000001,-141.99999999999997
ppo,medium,109,39240,-167.3000000000001,-163.9000000000002,-171.6,-203.60000000000014,-130.10000000000002
ppo,medium,110,39600,-166.5750000000001,-160.90000000000012,-152.50000000000009,-203.0000000000001,-149.90000000000003
ppo,medium,111,39960,-176.65000000000018,-178.30000000000027,-193.5000000000003,-214.40000000000012,-120.39999999999993
ppo,medium,112,40320,-176.45000000000002,-178.50000000000003,-174.09999999999988,-198.2999999999999,-154.9000000000002
ppo,medium,113,40680,-167.1000000000001,-175.60000000000008,-158.10000000000014,-190.80000000000018,-143.9
ppo,medium,114,41040,-171.70000000000002,-138.59999999999994,-189.50000000000006,-185.70000000000007,-173.00000000000003
ppo,medium,115,41400,-170.62500000000006,-159.00000000000006,-178.5,-203.29999999999995,-141.70000000000024
ppo,medium,116,41760,-162.10000000000002,-137.30000000000013,-174.79999999999995,-206.89999999999998,-129.40000000000003
ppo,medium,117,42120,-165.80000000000004,-143.89999999999998,-164.60000000000005,-200.69999999999996,-154.00000000000023
ppo,medium,118,42480,-175.62499999999997,-156.6999999999999,-173.70000000000005,-175.20000000000002,-196.89999999999984
ppo,medium,119,42840,-169.27500000000006,-178.90000000000015,-188.20000000000005,-175.80000000000007,-134.19999999999996
ppo,medium,120,43200,-174.52500000000012,-164.60000000000014,-160.10000000000008,-205.3,-168.10000000000025
ppo,medium,121,43560,-167.02500000000003,-164.40000000000003,-172.49999999999994,-173.50000000000006,-157.70000000000007
ppo,medium,122,43920,-159.35000000000008,-141.89999999999998,-161.80000000000007,-189.1000000000001,-144.60000000000014
ppo,medium,123,44280,-179.20000000000007,-179.20000000000002,-164.20000000000013,-227.00000000000009,-146.40000000000012
ppo,medium,124,44640,-156.49999999999997,-155.4999999999999,-153.20000000000002,-189.10000000000005,-128.19999999999993
ppo,medium,125,45000,-185.32500000000002,-169.1000000000001,-169.99999999999997,-241.89999999999986,-160.30000000000004
ppo,medium,126,45360,-147.375,-132.59999999999985,-136.20000000000002,-180.7000000000002,-140.00000000000003
ppo,medium,127,45720,-190.2,-174.10000000000008,-187.99999999999994,-249.2,-149.5
ppo,medium,128,46080,-180.90000000000003,-156.3000000000001,-173.19999999999993,-224.90000000000003,-169.20000000000002
ppo,medium,129,46440,-166.175,-164.10000000000016,-152.69999999999993,-224.59999999999994,-123.30000000000008
ppo,medium,130,46800,-181.15,-164.89999999999995,-170.2,-226.80000000000004,-162.70000000000005
ppo,medium,131,47160,-173.4250000000001,-164.8000000000001,-204.8,-178.40000000000023,-145.70000000000002
ppo,medium,132,47520,-170.9000000000001,-164.40000000000015,-195.7,-170.20000000000022,-153.3
ppo,medium,133,47880,-164.92500000000013,-183.90000000000023,-129.60000000000002,-197.60000000000008,-148.60000000000022
ppo,medium,134,48240,-169.05000000000007,-167.69999999999993,-154.60000000000008,-221.30000000000007,-132.60000000000014
ppo,medium,135,48600,-164.95000000000007,-160.19999999999996,-177.80000000000004,-180.70000000000013,-141.10000000000016
ppo,medium,136,48960,-179.82500000000005,-180.3,-179.09999999999997,-215.0000000000001,-144.90000000000006
ppo,medium,137,49320,-181.9000000000001,-164.80000000000018,-235.99999999999997,-172.2999999999999,-154.5000000000002
ppo,medium,138,49680,-181.60000000000008,-187.0,-169.50000000000009,-232.50000000000006,-137.40000000000006
