algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_B3,reward_B4,reward_B5,reward_C1,reward_C2,reward_C3,reward_C4,reward_C5,reward_D1,reward_D2,reward_D3,reward_D4,reward_D5,reward_E1,reward_E2,reward_E3,reward_E4,reward_E5,reward_F1,reward_F2,reward_F3,reward_F4,reward_F5
ppo,5x5,medium,11,3960,-67.95999999999997,30,-62.19999999999995,-70.00000000000003,-73.70000000000002,-65.79999999999995,-63.299999999999955,-67.70000000000002,-71.99999999999997,-69.2999999999999,-75.09999999999998,-67.79999999999994,-64.79999999999993,-70.0999999999999,-70.99999999999993,-70.39999999999993,-68.29999999999994,-61.49999999999998,-64.39999999999995,-66.99999999999994,-73.80000000000004,-68.80000000000001,-64.39999999999996,-63.39999999999994,-65.79999999999991,-72.89999999999996,-65.49999999999994
ppo,5x5,medium,12,4320,-67.49599999999995,33,-59.59999999999994,-64.29999999999994,-69.60000000000007,-70.99999999999991,-58.09999999999994,-70.30000000000003,-78.90000000000005,-72.80000000000001,-76.2,-63.4999999999999,-67.49999999999996,-68.0999999999999,-67.69999999999996,-69.59999999999998,-67.29999999999994,-55.499999999999964,-68.39999999999996,-64.29999999999991,-71.29999999999995,-77.20000000000009,-67.29999999999994,-61.19999999999995,-65.79999999999993,-67.99999999999994,-63.89999999999992
ppo,5x5,medium,13,4680,-66.53999999999995,36,-66.9,-63.49999999999995,-60.59999999999991,-69.99999999999999,-66.39999999999998,-63.29999999999998,-79.0999999999999,-65.09999999999998,-60.69999999999995,-65.7,-72.69999999999999,-72.89999999999993,-67.59999999999994,-69.29999999999998,-72.19999999999993,-58.799999999999955,-68.89999999999998,-61.699999999999896,-68.79999999999997,-68.39999999999996,-61.79999999999992,-64.19999999999992,-64.59999999999992,-66.29999999999991,-63.99999999999995
ppo,5x5,medium,14,5040,-69.64799999999998,39,-63.29999999999994,-60.49999999999988,-67.09999999999992,-69.99999999999994,-59.89999999999993,-65.80000000000004,-79.20000000000002,-66.79999999999994,-74.69999999999996,-66.89999999999996,-73.00000000000003,-69.50000000000003,-72.00000000000001,-72.49999999999999,-72.39999999999993,-69.80000000000003,-81.59999999999995,-68.09999999999998,-81.80000000000007,-67.8,-66.89999999999999,-63.19999999999992,-66.29999999999993,-75.9,-66.19999999999996
ppo,5x5,medium,15,5400,-68.03199999999997,42,-61.399999999999935,-63.09999999999994,-69.39999999999998,-63.5999999999999,-60.59999999999989,-60.99999999999995,-75.29999999999995,-63.199999999999896,-69.69999999999999,-69.29999999999997,-67.69999999999995,-74.59999999999994,-70.99999999999999,-70.09999999999995,-90.0,-63.89999999999997,-66.3999999999999,-70.49999999999996,-69.49999999999996,-69.79999999999995,-68.40000000000003,-66.20000000000002,-59.199999999999946,-68.19999999999999,-68.70000000000003
ppo,5x5,medium,16,5760,-66.44799999999995,45,-62.799999999999955,-58.49999999999996,-64.29999999999993,-68.29999999999991,-61.49999999999989,-60.99999999999993,-71.49999999999999,-60.699999999999896,-75.19999999999995,-67.59999999999997,-58.49999999999997,-71.29999999999993,-72.19999999999995,-80.10000000000004,-62.59999999999993,-67.10000000000001,-63.599999999999895,-64.29999999999994,-73.50000000000006,-74.70000000000003,-61.69999999999989,-62.49999999999995,-63.100000000000016,-58.69999999999993,-75.90000000000002
ppo,5x5,medium,17,6120,-66.54799999999996,47,-62.89999999999995,-63.299999999999926,-61.59999999999991,-61.59999999999994,-58.89999999999993,-58.99999999999996,-71.59999999999998,-80.80000000000004,-71.00000000000001,-70.99999999999996,-64.79999999999995,-66.89999999999996,-62.79999999999998,-73.89999999999996,-62.499999999999915,-71.2,-65.79999999999998,-64.69999999999993,-72.4,-66.59999999999991,-60.59999999999993,-60.89999999999991,-67.29999999999994,-79.20000000000006,-62.399999999999935
ppo,5x5,medium,18,6480,-66.60399999999996,50,-58.399999999999956,-57.29999999999993,-60.59999999999991,-61.39999999999992,-64.59999999999992,-67.59999999999998,-66.29999999999997,-76.10000000000001,-59.89999999999989,-62.49999999999992,-74.80000000000003,-70.29999999999995,-70.90000000000003,-70.09999999999998,-68.79999999999997,-66.59999999999992,-78.59999999999998,-65.39999999999995,-71.1,-72.29999999999991,-63.89999999999993,-66.99999999999991,-66.29999999999994,-64.09999999999991,-60.19999999999995
ppo,5x5,medium,19,6840,-66.98399999999997,53,-58.999999999999936,-58.39999999999993,-64.09999999999998,-67.8999999999999,-63.999999999999915,-58.59999999999996,-70.29999999999995,-72.00000000000006,-70.9999999999999,-73.4,-73.40000000000002,-63.89999999999992,-75.0,-62.19999999999991,-74.60000000000001,-70.09999999999998,-70.49999999999996,-65.89999999999993,-73.19999999999996,-74.60000000000002,-65.19999999999993,-57.5999999999999,-70.30000000000004,-64.59999999999998,-54.79999999999995
ppo,5x5,medium,20,7200,-68.37599999999996,56,-67.09999999999992,-64.19999999999995,-58.49999999999994,-70.89999999999996,-63.599999999999916,-68.50000000000001,-73.10000000000002,-67.49999999999999,-65.29999999999997,-75.10000000000001,-78.8,-64.89999999999995,-69.30000000000005,-64.29999999999993,-77.99999999999999,-76.99999999999999,-66.19999999999993,-61.99999999999995,-71.40000000000005,-72.59999999999995,-63.89999999999992,-66.79999999999997,-67.19999999999995,-68.89999999999999,-64.29999999999995
ppo,5x5,medium,21,7560,-67.42399999999996,59,-59.199999999999946,-66.29999999999994,-62.499999999999936,-60.19999999999994,-68.39999999999999,-67.0,-64.19999999999987,-68.50000000000004,-63.8,-73.7,-68.99999999999997,-65.49999999999993,-69.89999999999998,-74.49999999999997,-61.199999999999946,-69.09999999999998,-74.70000000000006,-70.1,-81.09999999999997,-68.99999999999999,-63.79999999999994,-62.79999999999994,-66.89999999999998,-73.60000000000002,-60.59999999999994
ppo,5x5,medium,22,7920,-68.57199999999996,61,-66.39999999999993,-60.39999999999994,-66.59999999999994,-66.39999999999992,-58.49999999999992,-69.09999999999995,-81.40000000000002,-63.29999999999996,-70.49999999999994,-69.29999999999995,-80.80000000000004,-76.89999999999999,-65.39999999999998,-67.0,-72.50000000000003,-72.99999999999997,-72.80000000000003,-73.00000000000003,-66.09999999999991,-70.3,-60.29999999999995,-71.59999999999992,-63.49999999999989,-64.19999999999995,-64.99999999999991
ppo,5x5,medium,23,8280,-69.87599999999998,64,-60.79999999999991,-70.09999999999994,-61.199999999999925,-65.89999999999995,-63.39999999999995,-66.59999999999998,-75.1,-75.69999999999996,-72.2,-74.4,-79.20000000000007,-70.10000000000001,-61.09999999999993,-70.59999999999995,-74.1,-71.19999999999999,-70.0,-69.09999999999995,-71.49999999999994,-74.50000000000001,-65.79999999999995,-72.2,-62.59999999999993,-75.70000000000003,-73.80000000000001
ppo,5x5,medium,24,8640,-66.57199999999995,67,-56.39999999999993,-63.4999999999999,-67.5,-61.79999999999993,-67.79999999999997,-68.69999999999999,-75.79999999999991,-65.39999999999999,-75.19999999999993,-59.899999999999885,-68.19999999999999,-67.49999999999991,-65.59999999999991,-61.09999999999999,-68.29999999999998,-71.79999999999998,-67.99999999999994,-65.49999999999996,-70.39999999999993,-69.29999999999998,-60.19999999999991,-63.59999999999995,-65.89999999999999,-71.1,-65.79999999999994
ppo,5x5,medium,25,9000,-67.93199999999996,70,-68.39999999999998,-65.09999999999992,-65.99999999999997,-62.69999999999991,-67.89999999999992,-67.5,-60.59999999999991,-64.6999999999999,-64.09999999999994,-61.499999999999886,-72.20000000000003,-75.89999999999998,-81.30000000000005,-77.19999999999999,-74.49999999999994,-71.69999999999999,-77.2,-63.899999999999935,-66.39999999999998,-66.79999999999998,-58.99999999999992,-65.19999999999992,-68.99999999999997,-68.19999999999997,-61.29999999999994
ppo,5x5,medium,26,9360,-68.81599999999997,73,-58.49999999999998,-68.39999999999998,-57.29999999999998,-73.79999999999998,-68.39999999999995,-62.49999999999995,-71.59999999999998,-70.7,-65.99999999999994,-64.9999999999999,-78.4,-64.39999999999992,-70.89999999999995,-68.39999999999995,-76.10000000000002,-68.59999999999997,-73.89999999999998,-73.29999999999995,-72.20000000000002,-67.4999999999999,-63.89999999999998,-70.80000000000001,-73.30000000000003,-63.79999999999995,-72.69999999999997
ppo,5x5,medium,27,9720,-67.07199999999995,75,-59.49999999999996,-68.29999999999997,-61.19999999999998,-69.89999999999999,-67.19999999999996,-63.79999999999992,-73.89999999999999,-65.89999999999996,-66.79999999999998,-67.99999999999997,-73.99999999999999,-75.8,-64.69999999999989,-67.59999999999992,-64.99999999999993,-65.59999999999994,-67.69999999999993,-68.49999999999997,-68.79999999999991,-72.19999999999997,-71.99999999999997,-66.79999999999991,-65.29999999999994,-57.899999999999956,-60.399999999999935
ppo,5x5,medium,28,10080,-68.57599999999996,78,-57.89999999999995,-63.99999999999989,-64.79999999999995,-76.89999999999996,-69.49999999999989,-55.79999999999991,-73.2,-72.79999999999991,-66.99999999999994,-70.39999999999998,-67.39999999999998,-72.79999999999995,-74.20000000000002,-64.09999999999994,-79.29999999999991,-70.40000000000002,-74.99999999999996,-77.10000000000005,-67.49999999999996,-69.09999999999994,-60.29999999999991,-67.09999999999994,-68.6999999999999,-62.299999999999976,-66.79999999999993
ppo,5x5,medium,29,10440,-68.51199999999996,81,-58.69999999999991,-64.79999999999995,-57.49999999999992,-63.19999999999992,-63.9999999999999,-67.59999999999995,-66.49999999999993,-70.40000000000002,-67.39999999999996,-66.5,-72.30000000000003,-71.09999999999995,-83.20000000000002,-81.70000000000006,-65.19999999999989,-72.89999999999993,-79.50000000000001,-72.99999999999993,-62.79999999999987,-69.09999999999997,-65.09999999999998,-66.09999999999992,-68.59999999999998,-69.49999999999999,-66.1
ppo,5x5,medium,30,10800,-68.99999999999997,84,-63.799999999999955,-61.099999999999895,-59.69999999999999,-68.79999999999993,-65.99999999999993,-66.19999999999996,-71.99999999999994,-67.29999999999998,-64.29999999999991,-68.40000000000003,-87.50000000000009,-66.09999999999991,-76.00000000000001,-74.70000000000005,-71.69999999999997,-73.5,-80.30000000000001,-66.99999999999996,-74.70000000000003,-67.09999999999992,-63.99999999999999,-71.89999999999993,-64.89999999999996,-66.79999999999995,-61.19999999999996
ppo,5x5,medium,31,11160,-66.99999999999997,87,-58.599999999999916,-66.99999999999989,-57.19999999999997,-72.49999999999996,-66.89999999999998,-65.19999999999995,-71.89999999999998,-66.69999999999995,-64.89999999999993,-68.89999999999998,-71.19999999999999,-63.3999999999999,-68.60000000000001,-66.4999999999999,-75.40000000000002,-57.09999999999993,-69.40000000000003,-69.19999999999997,-81.90000000000005,-75.4,-67.20000000000003,-61.19999999999993,-57.79999999999991,-64.70000000000002,-66.19999999999999
ppo,5x5,medium,32,11520,-68.51199999999996,90,-56.79999999999997,-68.4,-62.89999999999994,-68.69999999999992,-60.19999999999993,-68.20000000000003,-75.99999999999996,-68.79999999999997,-70.99999999999996,-65.89999999999995,-70.19999999999997,-63.0999999999999,-75.0,-68.69999999999993,-72.39999999999998,-67.09999999999992,-78.69999999999993,-66.19999999999993,-77.60000000000002,-70.59999999999997,-66.19999999999997,-70.69999999999996,-69.49999999999991,-64.29999999999995,-65.59999999999997
ppo,5x5,medium,33,11880,-68.17999999999996,92,-64.69999999999999,-67.99999999999996,-69.89999999999999,-74.90000000000002,-63.99999999999994,-71.6,-74.29999999999998,-70.79999999999993,-64.29999999999995,-61.499999999999964,-74.90000000000005,-65.69999999999992,-61.59999999999991,-69.00000000000001,-69.69999999999996,-71.60000000000004,-70.29999999999994,-74.5,-80.89999999999998,-64.69999999999987,-61.899999999999935,-61.299999999999926,-64.49999999999991,-63.69999999999994,-66.19999999999993
ppo,5x5,medium,34,12240,-67.69999999999996,95,-55.19999999999993,-69.90000000000005,-66.39999999999992,-67.09999999999991,-58.0999999999999,-68.29999999999998,-70.29999999999997,-70.89999999999993,-63.199999999999974,-67.09999999999991,-64.59999999999994,-76.5,-70.89999999999996,-74.3,-72.19999999999993,-71.3,-77.69999999999997,-63.299999999999976,-81.20000000000002,-74.70000000000003,-61.099999999999994,-61.69999999999989,-60.49999999999992,-62.49999999999994,-63.49999999999996
ppo,5x5,medium,35,12600,-66.93199999999996,98,-56.99999999999998,-66.29999999999991,-55.89999999999994,-63.399999999999935,-63.099999999999966,-65.39999999999993,-73.59999999999997,-73.19999999999997,-62.999999999999964,-61.09999999999993,-76.50000000000004,-68.49999999999996,-77.09999999999998,-66.79999999999995,-71.59999999999997,-64.59999999999995,-71.40000000000005,-64.09999999999997,-80.10000000000001,-64.49999999999989,-59.59999999999991,-67.59999999999997,-70.99999999999997,-65.79999999999995,-62.09999999999994
ppo,5x5,medium,36,12960,-68.76799999999997,101,-58.9999999999999,-65.29999999999994,-69.29999999999998,-65.49999999999996,-59.89999999999992,-57.999999999999936,-70.20000000000009,-72.19999999999995,-62.99999999999996,-73.30000000000005,-77.79999999999998,-69.29999999999995,-69.6999999999999,-78.80000000000001,-72.29999999999997,-81.50000000000004,-84.9,-63.599999999999945,-87.00000000000014,-62.19999999999992,-57.49999999999994,-64.29999999999993,-66.79999999999994,-61.39999999999991,-66.39999999999995
ppo,5x5,medium,37,13320,-67.52799999999996,104,-65.89999999999995,-61.69999999999992,-62.69999999999998,-69.60000000000001,-68.99999999999991,-67.2,-72.69999999999995,-69.5,-63.99999999999992,-61.599999999999895,-69.7,-76.30000000000001,-66.99999999999996,-65.09999999999991,-68.09999999999992,-68.69999999999999,-64.89999999999996,-74.59999999999994,-85.20000000000007,-67.59999999999992,-59.59999999999992,-65.39999999999993,-61.19999999999996,-66.39999999999989,-64.49999999999997
ppo,5x5,medium,38,13680,-69.27599999999997,106,-59.49999999999993,-55.89999999999987,-66.09999999999995,-69.49999999999997,-65.89999999999993,-73.69999999999999,-69.69999999999996,-65.9,-69.29999999999995,-68.69999999999992,-77.10000000000002,-63.799999999999876,-74.4,-77.30000000000005,-65.19999999999993,-76.69999999999996,-75.99999999999999,-69.29999999999997,-73.5,-75.60000000000002,-61.2,-70.49999999999991,-64.7,-68.1,-74.30000000000004
ppo,5x5,medium,39,14040,-67.61999999999996,109,-59.9999999999999,-67.39999999999995,-49.899999999999935,-66.39999999999992,-66.89999999999992,-70.59999999999998,-72.49999999999989,-64.29999999999995,-66.40000000000008,-61.89999999999997,-68.19999999999997,-67.5,-72.20000000000003,-75.39999999999996,-66.09999999999995,-73.89999999999998,-74.39999999999999,-70.49999999999993,-92.60000000000007,-74.39999999999999,-56.49999999999996,-71.30000000000003,-58.299999999999876,-56.39999999999996,-66.49999999999994
ppo,5x5,medium,40,14400,-69.31599999999997,112,-59.999999999999986,-69.89999999999996,-57.599999999999895,-63.69999999999992,-65.69999999999996,-60.59999999999995,-77.00000000000003,-69.49999999999993,-73.39999999999998,-80.89999999999999,-77.2,-63.79999999999994,-79.50000000000013,-73.49999999999997,-84.39999999999999,-71.49999999999999,-67.29999999999998,-70.99999999999993,-77.50000000000006,-72.39999999999993,-62.099999999999945,-64.19999999999992,-63.899999999999906,-58.59999999999994,-67.69999999999995
ppo,5x5,medium,41,14760,-68.82399999999998,115,-62.09999999999998,-61.599999999999916,-56.69999999999988,-74.99999999999999,-62.99999999999994,-70.60000000000001,-72.99999999999994,-64.89999999999999,-70.70000000000002,-60.99999999999995,-74.10000000000004,-75.59999999999997,-75.90000000000002,-73.49999999999994,-70.09999999999995,-80.69999999999999,-70.49999999999994,-68.29999999999995,-86.00000000000009,-68.10000000000002,-59.999999999999986,-60.399999999999935,-69.79999999999995,-67.89999999999993,-61.09999999999994
ppo,5x5,medium,42,15120,-68.97999999999996,118,-66.99999999999999,-66.9,-57.29999999999997,-69.69999999999995,-77.19999999999992,-74.80000000000001,-81.99999999999994,-70.99999999999996,-70.30000000000003,-68.19999999999996,-72.39999999999993,-78.29999999999995,-67.49999999999994,-69.59999999999998,-77.79999999999998,-72.49999999999996,-58.59999999999987,-71.99999999999991,-70.69999999999997,-79.90000000000009,-53.599999999999945,-62.199999999999946,-60.299999999999926,-62.49999999999995,-62.19999999999996
ppo,5x5,medium,43,15480,-68.29599999999995,120,-60.79999999999993,-62.79999999999988,-57.09999999999998,-64.69999999999992,-64.7999999999999,-64.59999999999994,-58.999999999999936,-78.69999999999996,-67.09999999999997,-77.89999999999998,-74.2,-74.29999999999995,-75.0,-72.6,-71.29999999999991,-72.59999999999998,-79.60000000000001,-64.79999999999993,-77.79999999999995,-69.09999999999995,-65.09999999999991,-57.89999999999992,-59.29999999999992,-68.29999999999995,-67.99999999999993
ppo,5x5,medium,44,15840,-68.16399999999997,123,-67.4,-68.5,-51.89999999999995,-69.79999999999997,-60.49999999999996,-63.09999999999999,-71.09999999999997,-71.50000000000009,-69.69999999999999,-66.4999999999999,-76.90000000000006,-81.30000000000005,-74.29999999999995,-71.69999999999999,-72.1,-63.19999999999996,-76.7,-71.2,-74.50000000000001,-75.79999999999997,-56.49999999999993,-60.499999999999915,-69.39999999999998,-56.69999999999996,-63.29999999999991
ppo,5x5,medium,45,16200,-68.02799999999996,126,-68.19999999999999,-68.20000000000002,-49.39999999999993,-69.49999999999996,-62.39999999999994,-69.20000000000002,-72.39999999999993,-73.39999999999999,-66.30000000000001,-67.19999999999995,-75.70000000000003,-64.39999999999992,-72.29999999999994,-67.19999999999995,-67.09999999999992,-73.99999999999999,-80.40000000000002,-69.29999999999998,-90.4,-64.69999999999995,-55.79999999999994,-73.79999999999993,-67.69999999999992,-49.699999999999925,-61.99999999999994
ppo,5x5,medium,46,16560,-68.81199999999997,129,-60.29999999999994,-64.79999999999995,-55.49999999999994,-71.49999999999999,-63.399999999999906,-70.39999999999996,-75.29999999999994,-66.30000000000003,-74.30000000000014,-59.79999999999991,-81.80000000000003,-76.39999999999998,-73.29999999999995,-69.40000000000005,-67.99999999999993,-61.59999999999991,-88.80000000000003,-66.99999999999996,-84.80000000000001,-77.8,-57.39999999999994,-65.99999999999996,-69.39999999999998,-58.6,-58.39999999999992
ppo,5x5,medium,47,16920,-68.48799999999996,132,-57.39999999999992,-68.49999999999997,-54.19999999999991,-70.59999999999992,-60.59999999999989,-68.30000000000003,-70.00000000000001,-73.29999999999991,-74.30000000000003,-69.09999999999994,-73.2,-63.39999999999991,-66.19999999999992,-70.19999999999993,-73.20000000000002,-83.69999999999993,-70.89999999999996,-69.60000000000004,-90.50000000000001,-75.49999999999996,-55.699999999999925,-70.59999999999994,-63.8999999999999,-59.79999999999998,-59.499999999999915
ppo,5x5,medium,48,17280,-68.69199999999996,135,-72.90000000000002,-72.99999999999994,-56.19999999999998,-73.00000000000001,-65.49999999999991,-77.20000000000007,-75.29999999999995,-77.79999999999998,-75.10000000000004,-62.39999999999994,-75.5,-65.09999999999991,-75.7,-59.999999999999936,-73.60000000000004,-76.79999999999998,-72.80000000000001,-60.59999999999993,-70.0,-69.39999999999998,-60.49999999999997,-64.4999999999999,-60.8999999999999,-62.59999999999996,-60.89999999999998
ppo,5x5,medium,49,17640,-68.10799999999998,137,-64.39999999999996,-61.79999999999994,-55.59999999999998,-60.69999999999993,-56.59999999999993,-72.00000000000004,-77.70000000000002,-72.49999999999997,-61.79999999999991,-57.19999999999992,-80.30000000000005,-67.79999999999998,-78.59999999999998,-69.20000000000003,-77.19999999999997,-80.3,-76.49999999999994,-73.70000000000002,-73.10000000000001,-78.20000000000002,-53.499999999999964,-70.49999999999991,-62.79999999999996,-54.299999999999955,-66.39999999999999
ppo,5x5,medium,50,18000,-67.76399999999997,140,-62.10000000000001,-69.39999999999999,-49.89999999999995,-62.29999999999993,-61.899999999999906,-66.40000000000002,-75.00000000000001,-66.89999999999992,-61.39999999999992,-67.59999999999994,-80.59999999999995,-72.19999999999997,-67.29999999999998,-78.69999999999999,-73.09999999999994,-75.10000000000008,-77.09999999999997,-66.8999999999999,-85.49999999999996,-74.49999999999999,-51.899999999999956,-65.79999999999998,-60.50000000000001,-61.9,-60.09999999999991
ppo,5x5,medium,51,18360,-67.39599999999997,143,-54.899999999999935,-69.59999999999997,-53.29999999999997,-63.499999999999936,-62.29999999999993,-59.09999999999994,-76.89999999999993,-66.39999999999999,-65.29999999999994,-74.00000000000001,-82.69999999999999,-72.30000000000004,-72.30000000000001,-62.899999999999984,-79.29999999999998,-77.69999999999999,-82.00000000000003,-59.399999999999935,-73.1,-70.70000000000002,-54.59999999999996,-62.19999999999993,-58.09999999999989,-65.29999999999995,-66.99999999999997
ppo,5x5,medium,52,18720,-67.35999999999996,146,-62.09999999999994,-65.49999999999997,-53.99999999999994,-60.699999999999925,-61.8999999999999,-62.499999999999964,-69.5,-67.19999999999993,-71.99999999999996,-68.09999999999995,-76.4,-78.50000000000004,-70.0,-71.69999999999997,-65.59999999999994,-70.2999999999999,-84.70000000000012,-67.29999999999995,-85.10000000000001,-66.69999999999992,-51.699999999999974,-65.89999999999995,-62.79999999999996,-62.79999999999999,-60.999999999999964
ppo,5x5,medium,53,19080,-67.03599999999997,149,-57.39999999999994,-73.09999999999995,-47.1,-66.59999999999991,-73.39999999999998,-64.39999999999998,-74.59999999999992,-72.00000000000001,-71.3,-63.49999999999998,-71.90000000000005,-81.00000000000001,-78.09999999999998,-64.09999999999997,-68.00000000000001,-66.6999999999999,-74.69999999999999,-68.19999999999995,-75.90000000000008,-61.69999999999992,-49.79999999999997,-69.40000000000003,-63.899999999999906,-56.59999999999997,-62.49999999999995
ppo,5x5,medium,54,19440,-67.21199999999996,151,-60.50000000000001,-58.799999999999876,-46.899999999999984,-70.39999999999993,-57.099999999999945,-64.9999999999999,-66.19999999999992,-67.39999999999998,-65.69999999999995,-75.40000000000005,-81.70000000000002,-70.90000000000002,-78.3,-65.89999999999992,-82.40000000000002,-75.4,-93.4000000000001,-67.49999999999994,-61.69999999999988,-70.70000000000003,-49.99999999999996,-68.39999999999992,-63.09999999999997,-51.69999999999996,-65.79999999999994
ppo,5x5,medium,55,19800,-65.02799999999995,154,-57.299999999999955,-65.99999999999997,-42.799999999999926,-67.59999999999994,-64.59999999999995,-61.49999999999994,-73.79999999999998,-63.699999999999946,-65.49999999999994,-63.29999999999988,-82.40000000000006,-68.39999999999993,-59.69999999999999,-62.70000000000002,-75.49999999999997,-67.39999999999996,-89.29999999999997,-65.49999999999991,-64.69999999999993,-71.89999999999993,-47.599999999999966,-70.29999999999994,-64.79999999999995,-44.99999999999996,-64.39999999999992
