algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
ppo,3x3,medium,30,10800,-121.56666666666668,84,-94.60000000000002,-129.49999999999991,-115.59999999999992,-122.70000000000007,-150.60000000000005,-123.00000000000003,-126.80000000000001,-127.0,-104.30000000000003
ppo,3x3,medium,31,11160,-119.4666666666667,87,-95.39999999999999,-120.8999999999999,-113.5,-117.40000000000003,-155.40000000000012,-118.70000000000006,-121.10000000000005,-124.50000000000001,-108.3
ppo,3x3,medium,32,11520,-121.61111111111111,90,-105.39999999999993,-123.60000000000004,-121.09999999999997,-136.8,-146.8,-139.79999999999998,-99.69999999999995,-110.40000000000005,-110.89999999999999
ppo,3x3,medium,33,11880,-127.27777777777777,92,-89.59999999999997,-119.30000000000007,-143.79999999999993,-125.20000000000009,-133.40000000000015,-154.89999999999992,-140.1,-118.39999999999996,-120.80000000000003
ppo,3x3,medium,34,12240,-130.17777777777778,95,-84.69999999999999,-130.80000000000004,-133.1,-130.50000000000006,-177.6,-136.49999999999994,-128.89999999999998,-147.99999999999994,-101.50000000000009
ppo,3x3,medium,35,12600,-123.21111111111115,98,-106.39999999999995,-118.89999999999995,-109.30000000000005,-124.79999999999995,-145.60000000000014,-142.6,-122.39999999999998,-130.1,-108.80000000000011
ppo,3x3,medium,36,12960,-128.1888888888889,101,-117.50000000000004,-120.29999999999998,-116.00000000000006,-125.30000000000008,-152.70000000000007,-133.79999999999995,-132.69999999999996,-138.7,-116.69999999999997
ppo,3x3,medium,37,13320,-133.4666666666667,104,-102.59999999999998,-115.40000000000013,-127.00000000000011,-144.4,-131.40000000000006,-167.20000000000005,-147.69999999999993,-145.20000000000007,-120.30000000000004
ppo,3x3,medium,38,13680,-128.39999999999998,106,-99.69999999999996,-113.4999999999999,-128.19999999999996,-155.10000000000016,-156.99999999999994,-103.30000000000004,-125.79999999999995,-154.3999999999999,-118.60000000000008
ppo,3x3,medium,39,14040,-118.63333333333334,109,-86.39999999999998,-88.50000000000004,-135.79999999999998,-127.5,-146.60000000000005,-112.3,-122.39999999999996,-125.69999999999997,-122.50000000000007
ppo,3x3,medium,40,14400,-121.08888888888893,112,-93.50000000000003,-103.49999999999996,-116.60000000000002,-128.5000000000001,-127.70000000000003,-123.10000000000007,-145.00000000000009,-127.19999999999999,-124.7000000000001
ppo,3x3,medium,41,14760,-124.87777777777784,115,-93.20000000000002,-104.2,-112.30000000000005,-132.00000000000003,-157.80000000000013,-130.20000000000002,-147.40000000000003,-132.7000000000001,-114.10000000000008
ppo,3x3,medium,42,15120,-111.91111111111114,118,-78.69999999999992,-107.39999999999998,-107.39999999999999,-129.80000000000013,-149.50000000000003,-96.6000000000001,-122.50000000000004,-110.50000000000009,-104.79999999999998
ppo,3x3,medium,43,15480,-125.57777777777784,120,-129.10000000000005,-102.90000000000005,-124.60000000000005,-128.80000000000007,-150.60000000000016,-119.5,-130.2,-124.00000000000003,-120.50000000000003
ppo,3x3,medium,44,15840,-127.06666666666663,123,-102.69999999999996,-114.90000000000003,-105.70000000000005,-121.69999999999996,-152.19999999999996,-162.1999999999999,-120.29999999999997,-143.49999999999997,-120.39999999999995
ppo,3x3,medium,45,16200,-124.07777777777778,126,-113.50000000000004,-124.10000000000012,-140.10000000000005,-118.30000000000013,-141.0999999999999,-145.1,-123.89999999999999,-124.4999999999999,-86.10000000000001
ppo,3x3,medium,46,16560,-130.1666666666667,129,-99.80000000000008,-128.39999999999995,-136.4000000000002,-157.40000000000003,-121.80000000000004,-135.8,-144.60000000000002,-121.70000000000005,-125.6000000000001
ppo,3x3,medium,47,16920,-124.03333333333336,132,-98.29999999999998,-114.80000000000007,-123.00000000000001,-116.40000000000005,-140.29999999999987,-130.70000000000005,-146.20000000000016,-142.30000000000013,-104.29999999999995
ppo,3x3,medium,48,17280,-138.82222222222225,135,-106.5000000000001,-124.69999999999997,-147.5,-142.3,-155.39999999999998,-167.30000000000018,-139.59999999999994,-142.60000000000008,-123.50000000000007
ppo,3x3,medium,49,17640,-127.90000000000002,137,-109.19999999999996,-105.7000000000001,-116.50000000000006,-139.0,-163.50000000000017,-134.40000000000006,-130.00000000000003,-142.5999999999999,-110.20000000000007
ppo,3x3,medium,50,18000,-123.9333333333334,140,-92.80000000000008,-110.90000000000006,-103.50000000000013,-137.50000000000009,-143.8,-122.5000000000001,-140.69999999999996,-141.4000000000001,-122.29999999999998
ppo,3x3,medium,51,18360,-119.28888888888893,143,-110.79999999999993,-115.10000000000002,-117.0000000000001,-122.30000000000005,-132.50000000000014,-112.10000000000002,-117.39999999999998,-126.70000000000007,-119.69999999999997
ppo,3x3,medium,52,18720,-126.94444444444447,146,-114.80000000000005,-114.40000000000008,-109.50000000000001,-125.90000000000005,-132.30000000000007,-146.10000000000005,-125.60000000000008,-125.8999999999999,-148.00000000000006
ppo,3x3,medium,53,19080,-139.1,149,-106.09999999999995,-126.09999999999998,-126.39999999999998,-128.69999999999996,-166.8,-162.29999999999998,-133.80000000000004,-163.69999999999993,-138.00000000000006
ppo,3x3,medium,54,19440,-135.71111111111114,151,-110.3000000000001,-120.40000000000005,-138.99999999999991,-120.9,-161.1000000000002,-178.5999999999999,-113.50000000000003,-148.70000000000005,-128.9000000000001
ppo,3x3,medium,55,19800,-122.91111111111111,154,-94.00000000000004,-107.19999999999996,-116.89999999999995,-118.40000000000005,-130.90000000000015,-146.3999999999999,-127.10000000000004,-139.8,-125.49999999999997
ppo,3x3,medium,56,20160,-129.2666666666667,157,-110.60000000000002,-109.10000000000005,-118.90000000000002,-124.39999999999986,-167.90000000000018,-158.30000000000013,-136.69999999999985,-125.50000000000013,-112.00000000000003
ppo,3x3,medium,57,20520,-129.00000000000003,160,-111.50000000000003,-113.80000000000015,-102.60000000000007,-131.2,-159.90000000000003,-162.5999999999999,-109.99999999999994,-149.2999999999999,-120.10000000000004
ppo,3x3,medium,58,20880,-130.34444444444452,163,-127.30000000000001,-125.6000000000001,-113.40000000000013,-142.5000000000001,-136.90000000000003,-136.70000000000007,-125.10000000000005,-146.99999999999997,-118.60000000000004
ppo,3x3,medium,59,21240,-132.52222222222224,165,-114.49999999999999,-124.4,-103.39999999999996,-143.79999999999998,-161.49999999999991,-171.0000000000001,-114.99999999999996,-121.29999999999993,-137.80000000000015
ppo,3x3,medium,60,21600,-134.26666666666668,168,-103.39999999999998,-127.20000000000002,-139.20000000000002,-132.39999999999998,-147.49999999999997,-149.79999999999995,-137.30000000000004,-142.6,-129.00000000000006
ppo,3x3,medium,61,21960,-125.40000000000009,171,-107.80000000000007,-127.50000000000009,-105.60000000000005,-115.00000000000006,-136.10000000000022,-127.10000000000002,-144.60000000000014,-151.5,-113.40000000000006
ppo,3x3,medium,62,22320,-139.8666666666667,174,-121.50000000000009,-128.20000000000002,-125.00000000000003,-167.39999999999995,-172.90000000000006,-149.50000000000006,-130.10000000000002,-142.3,-121.89999999999999
ppo,3x3,medium,63,22680,-127.90000000000003,177,-99.59999999999997,-91.40000000000003,-118.10000000000007,-139.70000000000007,-141.29999999999993,-152.99999999999997,-129.80000000000007,-136.9,-141.30000000000013
ppo,3x3,medium,64,23040,-129.70000000000005,180,-103.90000000000002,-120.00000000000009,-115.59999999999998,-143.79999999999987,-148.10000000000016,-137.20000000000016,-132.40000000000003,-142.60000000000005,-123.70000000000006
ppo,3x3,medium,65,23400,-130.85555555555558,182,-92.80000000000005,-137.89999999999995,-143.70000000000002,-131.39999999999998,-146.20000000000005,-151.40000000000003,-123.70000000000006,-126.49999999999991,-124.10000000000011
ppo,3x3,medium,66,23760,-128.7666666666667,185,-97.80000000000007,-115.00000000000004,-116.00000000000004,-127.49999999999997,-143.8000000000001,-153.39999999999992,-127.9,-139.09999999999997,-138.40000000000003
ppo,3x3,medium,67,24120,-123.57777777777781,188,-83.30000000000005,-127.99999999999991,-121.69999999999997,-141.00000000000009,-137.30000000000004,-110.80000000000018,-123.2,-135.09999999999997,-131.80000000000007
ppo,3x3,medium,68,24480,-126.52222222222223,191,-111.4,-126.8,-113.5,-136.00000000000003,-145.90000000000003,-136.8999999999999,-126.50000000000007,-135.8999999999999,-105.79999999999987
ppo,3x3,medium,69,24840,-128.5555555555556,194,-113.49999999999999,-119.00000000000004,-125.90000000000008,-128.40000000000003,-133.40000000000015,-130.20000000000002,-132.09999999999997,-142.49999999999994,-132.0000000000001
ppo,3x3,medium,70,25200,-123.25555555555555,196,-99.10000000000004,-117.30000000000007,-97.59999999999994,-131.89999999999995,-134.60000000000002,-120.30000000000005,-145.30000000000004,-142.29999999999995,-120.89999999999993
ppo,3x3,medium,71,25560,-122.64444444444449,199,-94.10000000000008,-125.30000000000003,-109.10000000000002,-134.50000000000014,-135.90000000000012,-130.3,-129.69999999999993,-137.00000000000009,-107.89999999999995
ppo,3x3,medium,72,25920,-128.85555555555558,202,-98.89999999999996,-114.70000000000003,-117.80000000000003,-142.50000000000009,-131.30000000000004,-152.40000000000006,-125.89999999999999,-153.20000000000005,-122.99999999999996
ppo,3x3,medium,73,26280,-131.55555555555557,205,-140.79999999999995,-98.89999999999993,-112.60000000000002,-143.9,-129.50000000000003,-153.69999999999987,-134.7000000000001,-147.80000000000015,-122.10000000000008
ppo,3x3,medium,74,26640,-121.54444444444448,208,-97.39999999999996,-129.50000000000014,-114.80000000000013,-98.2000000000001,-160.99999999999997,-115.8,-125.70000000000007,-129.80000000000004,-121.70000000000003
ppo,3x3,medium,75,27000,-124.62222222222226,210,-122.69999999999999,-112.2000000000001,-104.00000000000004,-125.80000000000003,-130.20000000000005,-139.09999999999997,-124.60000000000007,-140.2,-122.80000000000001
ppo,3x3,medium,76,27360,-128.5444444444445,213,-102.80000000000011,-119.00000000000009,-118.70000000000007,-153.3000000000001,-145.4000000000001,-137.4000000000001,-114.20000000000002,-126.09999999999995,-140.0
ppo,3x3,medium,77,27720,-128.52222222222224,216,-103.60000000000002,-121.20000000000005,-120.40000000000018,-152.4,-156.99999999999997,-126.79999999999998,-128.20000000000005,-131.6,-115.49999999999991
ppo,3x3,medium,78,28080,-123.76666666666671,219,-97.70000000000006,-117.80000000000003,-111.6,-133.40000000000006,-148.10000000000008,-127.39999999999993,-132.0000000000001,-126.30000000000004,-119.59999999999998
ppo,3x3,medium,79,28440,-127.63333333333338,222,-126.2,-111.19999999999995,-119.79999999999993,-135.60000000000014,-147.60000000000005,-137.30000000000007,-113.90000000000002,-132.10000000000014,-125.00000000000017
ppo,3x3,medium,80,28800,-118.2555555555556,225,-91.4,-119.60000000000007,-88.5,-114.09999999999997,-134.20000000000022,-121.20000000000007,-127.80000000000011,-139.30000000000004,-128.20000000000002
ppo,3x3,medium,81,29160,-120.75555555555555,227,-103.10000000000001,-96.99999999999994,-96.90000000000003,-152.60000000000002,-124.30000000000003,-140.20000000000002,-118.89999999999998,-137.39999999999995,-116.39999999999992
ppo,3x3,medium,82,29520,-121.77777777777783,230,-94.20000000000007,-93.30000000000004,-115.70000000000006,-121.70000000000007,-114.69999999999996,-137.20000000000013,-141.79999999999998,-143.79999999999995,-133.60000000000002
ppo,3x3,medium,83,29880,-131.33333333333337,233,-101.4,-120.89999999999995,-113.89999999999993,-125.40000000000002,-161.00000000000017,-144.6,-135.70000000000013,-148.40000000000006,-130.69999999999996
ppo,3x3,medium,84,30240,-137.91111111111118,236,-116.30000000000015,-109.90000000000008,-111.69999999999996,-185.1000000000002,-152.20000000000007,-140.10000000000016,-139.30000000000004,-145.7,-140.90000000000003
ppo,3x3,medium,85,30600,-118.11111111111111,239,-86.70000000000005,-123.69999999999993,-109.10000000000011,-124.89999999999996,-153.49999999999991,-114.80000000000003,-116.89999999999993,-121.1,-112.30000000000005
ppo,3x3,medium,86,30960,-129.91111111111115,241,-109.40000000000006,-95.89999999999993,-134.10000000000014,-138.5,-160.00000000000014,-144.89999999999998,-120.30000000000008,-144.20000000000007,-121.9
