algorithm,grid,agents,training_steps,training_runtime_s,training_runtime_s_per_agent,training_peak_ram_mb,training_peak_ram_mb_per_agent,buffer_type,buffer_total_mb,buffer_mb_per_agent,model_size_total_mb,model_size_mb_per_agent,mean_agent_predict_ms,mean_joint_decision_ms,std_joint_decision_ms,mean_p95_joint_decision_ms,decision_budget_pct,evaluation_peak_ram_mb_mean,evaluation_peak_ram_mb_std,evaluation_wall_runtime_s_mean,agent_count_ratio_vs_2x2,training_runtime_ratio_vs_2x2,training_ram_ratio_vs_2x2,model_size_ratio_vs_2x2,joint_latency_ratio_vs_2x2
dqn,2x2,4,50000,357.23815779201686,89.30953944800422,343.296875,85.82421875,replay_buffer,12.969970703125,3.24249267578125,0.3686408996582031,0.09216022491455078,0.04872920722222222,0.19781057555555556,0.019876491158436538,0.28749255000000007,0.003956211511111111,346.315625,9.106770907801925,2.016139416815713,1.0,1.0,1.0,1.0,1.0
dqn,3x3,9,50000,692.9314370419597,76.99238189355108,357.9375,39.770833333333336,replay_buffer,29.18243408203125,3.24249267578125,0.829442024230957,0.09216022491455078,0.042931488765432096,0.3925823127777778,0.01586828402157395,0.45581266000000004,0.007851646255555554,391.453125,28.572351538872987,3.9574707330437375,2.25,1.93969043319662,1.0426471257566792,2.25,1.9846376346421384
dqn,4x4,16,50000,1046.1361602919642,65.38351001824776,388.5625,24.28515625,replay_buffer,51.8798828125,3.24249267578125,1.4745635986328125,0.09216022491455078,0.04029633104166667,0.6537078266666667,0.04354809409265093,0.76175417,0.013074156533333334,369.9875,84.40806021869483,6.838466166565195,4.0,2.9283998292842557,1.1318556278731056,4.0,3.3047162662092924
dqn,5x5,25,50000,1398.060564290965,55.9224225716386,422.65625,16.90625,replay_buffer,81.06231689453125,3.24249267578125,2.3040056228637695,0.09216022491455078,0.040965283044444446,1.0387689177777777,0.07646080159238317,1.1954517900000001,0.020775378355555554,478.296875,51.237809382833326,10.62781692519784,6.25,3.9135252878134934,1.2311683582904738,6.25,5.251331557275799
ppo,2x2,4,50000,388.0460723750293,97.01151809375733,335.0625,83.765625,rollout_buffer,0.02734375,0.0068359375,0.53125,0.1328125,0.069941645,0.2826854005555556,0.007276436043610715,0.3305608500000001,0.0056537080111111115,327.309375,2.416915284445754,2.01407911661081,1.0,1.0,1.0,1.0,1.0
ppo,3x3,9,50000,731.5404254159657,81.28226949066286,334.734375,37.192708333333336,rollout_buffer,0.0615234375,0.0068359375,1.1953125,0.1328125,0.06591330364197531,0.5995044461111111,0.015513298965991077,0.63379007,0.011990088922222222,332.359375,2.6922877048966183,4.052998458407819,2.25,1.8851896140542928,0.9990207050923335,2.25,2.120747816947454
ppo,4x4,16,50000,1018.6984714579303,63.66865446612064,339.75,21.234375,rollout_buffer,0.109375,0.0068359375,2.125,0.1328125,0.06106074506944444,0.98591355,0.00731887868341553,1.03751751,0.019718271,335.484375,3.174260186937265,6.947217591595836,4.0,2.6251997996603955,1.0139899272523782,4.0,3.4876705626198072
ppo,5x5,25,50000,1469.6958416670095,58.78783366668038,343.265625,13.730625,rollout_buffer,0.1708984375,0.0068359375,3.3203125,0.1328125,0.06207374104444444,1.5655392327777777,0.04154356959128331,1.82506183,0.031310784655555556,339.75625,3.9586269764986066,10.791904566786252,6.25,3.7874261493532493,1.024482372691662,6.25,5.538097226461137
