algorithm,metric,slope_per_additional_agent,intercept,r_squared
dqn,training_runtime_s,48.920011744429836,213.1714213044237,0.9864267587811268
dqn,training_peak_ram_mb,3.8550765562248994,326.06974774096386,0.9967772898638078
dqn,buffer_total_mb,3.24249267578125,0.0,1.0
dqn,model_size_total_mb,0.09216022491455078,0.0,1.0
dqn,mean_joint_decision_ms,0.039896751991298524,0.03211125631191436,0.9989784803655167
dqn,evaluation_peak_ram_mb_mean,5.517451054216868,322.02769201807223,0.7627734180386431
ppo,training_runtime_s,50.07983436096711,225.91743885592768,0.9926677327976932
ppo,training_peak_ram_mb,0.4318524096385542,332.3731174698795,0.9302879269521086
ppo,buffer_total_mb,0.0068359375,0.0,1.0
ppo,model_size_total_mb,0.1328125,0.0,1.0
ppo,mean_joint_decision_ms,0.06058314754685408,0.04053816547858102,0.9990482043455087
ppo,evaluation_peak_ram_mb_mean,0.5656689257028127,326.090813253012,0.9658024562641307
