algorithm,grid,scenario,episode,step,avg_reward,epsilon,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
dqn,3x3,medium,37,13320,-134.2555555555556,0.6384842857142857,-103.2,-117.29999999999998,-112.20000000000002,-152.90000000000012,-192.20000000000024,-121.39999999999996,-124.1,-157.10000000000002,-127.90000000000015
dqn,3x3,medium,38,13680,-135.88888888888894,0.6287128571428572,-97.70000000000013,-108.0000000000001,-145.40000000000006,-130.89999999999998,-174.80000000000013,-125.0,-142.7000000000001,-153.50000000000009,-145.00000000000009
dqn,3x3,medium,39,14040,-129.80000000000007,0.6189414285714285,-101.60000000000007,-122.70000000000003,-113.90000000000006,-118.99999999999999,-160.69999999999993,-167.6000000000001,-121.50000000000006,-130.90000000000003,-130.3000000000002
dqn,3x3,medium,40,14400,-141.48888888888894,0.60917,-100.80000000000003,-123.09999999999994,-124.39999999999998,-196.80000000000018,-172.40000000000012,-154.50000000000006,-139.80000000000004,-109.90000000000002,-151.7000000000001
dqn,3x3,medium,41,14760,-136.51111111111115,0.5993985714285714,-120.50000000000003,-108.69999999999999,-129.9,-133.6,-186.89999999999998,-145.40000000000006,-119.00000000000001,-124.70000000000003,-159.9000000000001
dqn,3x3,medium,42,15120,-137.28888888888892,0.5896271428571429,-119.90000000000009,-105.59999999999991,-155.80000000000018,-156.10000000000002,-171.9,-168.70000000000005,-126.89999999999993,-124.80000000000011,-105.90000000000005
dqn,3x3,medium,43,15480,-135.41111111111113,0.5798557142857144,-89.49999999999999,-120.19999999999997,-119.60000000000011,-132.2,-153.50000000000003,-150.8000000000001,-177.39999999999998,-132.2999999999999,-143.20000000000002
dqn,3x3,medium,44,15840,-150.15555555555565,0.5700842857142858,-122.10000000000008,-122.5000000000001,-146.60000000000016,-169.8000000000001,-179.6,-167.50000000000003,-190.50000000000014,-139.10000000000014,-113.69999999999996
dqn,3x3,medium,45,16200,-146.45555555555558,0.5603128571428572,-113.20000000000005,-134.00000000000006,-137.10000000000002,-191.90000000000018,-149.69999999999993,-178.10000000000002,-122.4000000000001,-142.70000000000007,-148.99999999999986
dqn,3x3,medium,46,16560,-125.96666666666673,0.5505414285714285,-100.89999999999995,-105.29999999999995,-138.80000000000015,-132.20000000000007,-141.6000000000001,-156.00000000000003,-144.50000000000009,-107.1,-107.30000000000001
dqn,3x3,medium,47,16920,-132.06666666666675,0.54077,-109.40000000000002,-130.40000000000018,-109.90000000000006,-160.79999999999998,-184.30000000000018,-114.90000000000008,-125.80000000000013,-112.10000000000005,-140.99999999999994
dqn,3x3,medium,48,17280,-124.01111111111115,0.5309985714285714,-115.10000000000005,-115.89999999999996,-112.30000000000007,-146.59999999999994,-142.00000000000009,-138.10000000000014,-124.39999999999999,-126.20000000000007,-95.50000000000014
dqn,3x3,medium,49,17640,-138.71111111111114,0.5212271428571429,-97.29999999999995,-127.19999999999999,-149.80000000000018,-232.90000000000003,-171.40000000000015,-131.90000000000006,-113.19999999999996,-110.49999999999999,-114.20000000000005
dqn,3x3,medium,50,18000,-133.38888888888889,0.5114557142857143,-89.90000000000008,-110.29999999999994,-154.60000000000008,-146.5,-165.7,-175.60000000000002,-106.7,-100.20000000000002,-151.00000000000006
dqn,3x3,medium,51,18360,-130.3222222222222,0.5016842857142858,-109.40000000000006,-128.70000000000002,-123.59999999999998,-117.20000000000007,-137.1,-186.59999999999988,-126.80000000000001,-135.39999999999995,-108.09999999999998
dqn,3x3,medium,52,18720,-128.8111111111111,0.49191285714285715,-123.49999999999993,-114.8,-115.39999999999998,-108.39999999999995,-166.09999999999994,-136.6000000000002,-132.89999999999998,-132.89999999999995,-128.7
dqn,3x3,medium,53,19080,-125.41111111111114,0.4821414285714286,-96.00000000000003,-109.09999999999998,-130.2000000000001,-139.40000000000015,-139.00000000000006,-130.2,-133.99999999999991,-133.80000000000007,-116.99999999999997
dqn,3x3,medium,54,19440,-117.58888888888896,0.47237000000000007,-91.80000000000001,-110.69999999999997,-114.70000000000017,-123.1000000000001,-111.60000000000008,-177.60000000000014,-115.4,-94.50000000000013,-118.90000000000009
dqn,3x3,medium,55,19800,-135.4333333333333,0.4625985714285715,-100.7999999999999,-142.09999999999997,-135.39999999999998,-148.20000000000002,-180.89999999999995,-172.30000000000018,-113.40000000000003,-106.90000000000009,-118.8999999999999
dqn,3x3,medium,56,20160,-122.96666666666667,0.4528271428571429,-112.10000000000008,-112.19999999999997,-106.09999999999995,-120.49999999999997,-141.49999999999997,-139.0,-146.50000000000014,-109.99999999999996,-118.80000000000003
dqn,3x3,medium,57,20520,-121.00000000000006,0.44305571428571433,-107.80000000000005,-118.70000000000005,-128.1000000000001,-118.70000000000006,-161.79999999999998,-130.30000000000004,-106.09999999999994,-133.60000000000008,-83.90000000000003
dqn,3x3,medium,58,20880,-125.33333333333336,0.4332842857142857,-95.70000000000002,-123.09999999999995,-117.60000000000011,-130.00000000000006,-169.8000000000001,-110.80000000000001,-115.1,-135.09999999999988,-130.8000000000001
dqn,3x3,medium,59,21240,-116.66666666666669,0.42351285714285725,-75.89999999999993,-112.20000000000005,-117.20000000000006,-126.89999999999998,-133.0000000000001,-139.40000000000012,-118.70000000000005,-93.99999999999994,-132.70000000000002
dqn,3x3,medium,60,21600,-118.7111111111111,0.4137414285714286,-113.1999999999999,-72.69999999999996,-117.60000000000001,-155.0000000000001,-138.59999999999994,-131.79999999999998,-117.19999999999999,-116.89999999999999,-105.40000000000008
dqn,3x3,medium,61,21960,-123.82222222222228,0.40397000000000005,-112.40000000000013,-123.40000000000002,-96.90000000000005,-115.2,-168.1000000000001,-158.49999999999994,-114.10000000000004,-108.90000000000009,-116.90000000000009
dqn,3x3,medium,62,22320,-125.20000000000005,0.3941985714285714,-122.3,-108.8,-114.20000000000002,-126.80000000000007,-150.60000000000016,-128.10000000000008,-126.40000000000006,-119.30000000000007,-130.3
dqn,3x3,medium,63,22680,-122.76666666666668,0.38442714285714297,-84.40000000000009,-97.30000000000005,-127.70000000000003,-178.29999999999998,-157.80000000000007,-118.60000000000008,-104.70000000000007,-116.39999999999992,-119.69999999999993
dqn,3x3,medium,64,23040,-117.9666666666667,0.3746557142857143,-106.09999999999994,-109.60000000000004,-99.00000000000001,-134.70000000000016,-128.60000000000005,-151.29999999999995,-114.00000000000003,-112.90000000000008,-105.50000000000007
dqn,3x3,medium,65,23400,-115.86666666666666,0.36488428571428577,-83.20000000000007,-113.80000000000007,-120.79999999999997,-119.1999999999999,-119.39999999999996,-133.39999999999998,-113.20000000000003,-125.10000000000001,-114.69999999999997
dqn,3x3,medium,66,23760,-121.62222222222223,0.3551128571428571,-90.59999999999998,-112.29999999999998,-109.39999999999999,-140.70000000000005,-130.50000000000009,-130.3000000000001,-146.20000000000007,-128.09999999999994,-106.49999999999994
dqn,3x3,medium,67,24120,-119.82222222222225,0.3453414285714287,-99.80000000000004,-105.49999999999996,-97.09999999999994,-164.10000000000002,-129.5000000000001,-122.79999999999994,-148.20000000000005,-115.39999999999996,-96.00000000000013
dqn,3x3,medium,68,24480,-122.44444444444444,0.33557000000000003,-100.00000000000004,-112.39999999999998,-136.6,-123.69999999999993,-132.29999999999993,-152.50000000000003,-119.60000000000007,-127.80000000000011,-97.10000000000001
dqn,3x3,medium,69,24840,-126.58888888888896,0.3257985714285715,-108.80000000000003,-100.10000000000008,-119.80000000000003,-138.6,-161.8000000000002,-113.10000000000008,-136.9000000000001,-154.90000000000012,-105.30000000000004
dqn,3x3,medium,70,25200,-120.05555555555559,0.31602714285714284,-91.69999999999999,-91.80000000000003,-144.3000000000001,-105.49999999999999,-172.59999999999997,-137.5000000000001,-96.69999999999999,-125.20000000000003,-115.2
dqn,3x3,medium,71,25560,-120.56666666666666,0.3062557142857143,-92.39999999999998,-98.00000000000001,-108.30000000000011,-130.20000000000007,-172.90000000000006,-132.70000000000002,-96.20000000000006,-142.29999999999984,-112.09999999999998
dqn,3x3,medium,72,25920,-123.51111111111112,0.29648428571428576,-90.19999999999999,-110.09999999999997,-129.49999999999994,-120.79999999999998,-163.30000000000007,-139.09999999999997,-119.30000000000011,-123.60000000000007,-115.70000000000007
dqn,3x3,medium,73,26280,-126.37777777777781,0.2867128571428572,-86.50000000000003,-110.0,-120.10000000000002,-131.60000000000008,-194.70000000000007,-151.5,-130.20000000000005,-111.20000000000006,-101.60000000000007
dqn,3x3,medium,74,26640,-122.6222222222222,0.27694142857142856,-98.29999999999991,-104.5,-111.30000000000007,-166.8000000000001,-138.49999999999997,-108.89999999999999,-124.40000000000006,-153.3,-97.59999999999994
dqn,3x3,medium,75,27000,-118.57777777777784,0.26717,-106.10000000000012,-118.80000000000004,-107.50000000000003,-159.7999999999999,-139.50000000000017,-133.3000000000001,-105.20000000000006,-97.39999999999992,-99.60000000000004
dqn,3x3,medium,76,27360,-113.42222222222225,0.2573985714285715,-96.79999999999994,-100.70000000000007,-118.10000000000005,-111.80000000000007,-133.3000000000001,-114.29999999999994,-121.50000000000009,-124.50000000000001,-99.80000000000001
dqn,3x3,medium,77,27720,-118.03333333333336,0.24762714285714293,-78.10000000000004,-90.80000000000001,-104.90000000000008,-150.3,-135.60000000000008,-134.09999999999997,-122.69999999999989,-112.19999999999995,-133.60000000000002
dqn,3x3,medium,78,28080,-119.27777777777777,0.23785571428571428,-99.8,-119.90000000000006,-112.49999999999996,-148.0000000000001,-130.89999999999992,-129.80000000000004,-116.49999999999997,-101.00000000000003,-115.10000000000001
dqn,3x3,medium,79,28440,-109.55555555555556,0.22808428571428574,-90.30000000000003,-113.49999999999997,-94.99999999999986,-135.1000000000001,-127.80000000000015,-115.1999999999999,-112.50000000000004,-114.69999999999999,-81.8999999999999
dqn,3x3,medium,80,28800,-116.56666666666668,0.2183128571428572,-88.79999999999997,-88.39999999999995,-91.70000000000005,-134.50000000000006,-118.90000000000009,-137.89999999999995,-124.30000000000001,-123.89999999999996,-140.70000000000005
dqn,3x3,medium,81,29160,-110.21111111111112,0.20854142857142866,-84.89999999999993,-95.70000000000006,-84.59999999999998,-136.30000000000007,-130.10000000000005,-117.00000000000009,-129.19999999999996,-112.79999999999995,-101.30000000000008
dqn,3x3,medium,82,29520,-112.72222222222224,0.19877,-77.59999999999992,-98.40000000000013,-110.00000000000007,-122.50000000000007,-113.80000000000001,-125.80000000000005,-108.10000000000004,-141.49999999999997,-116.79999999999997
dqn,3x3,medium,83,29880,-114.96666666666673,0.18899857142857146,-85.59999999999998,-89.10000000000015,-115.10000000000005,-154.59999999999994,-150.70000000000002,-108.80000000000003,-110.29999999999995,-110.20000000000019,-110.30000000000008
dqn,3x3,medium,84,30240,-107.5,0.1792271428571428,-95.99999999999996,-102.2,-90.70000000000006,-107.20000000000006,-106.10000000000004,-152.79999999999998,-105.30000000000005,-120.69999999999992,-86.5
dqn,3x3,medium,85,30600,-108.73333333333335,0.16945571428571438,-88.49999999999991,-99.2000000000001,-85.80000000000004,-115.60000000000004,-134.50000000000003,-135.00000000000003,-103.60000000000001,-100.60000000000002,-115.8
dqn,3x3,medium,86,30960,-120.77777777777777,0.15968428571428572,-95.7999999999999,-90.20000000000002,-108.9,-125.50000000000004,-158.4,-138.29999999999995,-125.70000000000006,-117.69999999999999,-126.50000000000001
dqn,3x3,medium,87,31320,-112.00000000000003,0.14991285714285718,-106.19999999999999,-83.5,-89.90000000000009,-123.00000000000006,-136.50000000000017,-119.09999999999995,-105.30000000000003,-112.20000000000002,-132.3
dqn,3x3,medium,88,31680,-109.92222222222223,0.14014142857142853,-84.60000000000005,-103.40000000000003,-120.99999999999989,-135.50000000000006,-138.89999999999998,-113.80000000000004,-93.50000000000001,-94.00000000000006,-104.60000000000005
dqn,3x3,medium,89,32040,-113.01111111111113,0.1303700000000001,-80.90000000000002,-91.2,-117.30000000000005,-134.9,-135.5,-136.30000000000007,-113.20000000000009,-103.70000000000005,-104.09999999999998
dqn,3x3,medium,90,32400,-111.33333333333336,0.12059857142857144,-93.3,-97.90000000000008,-84.99999999999999,-114.1000000000001,-128.10000000000005,-108.20000000000003,-119.69999999999995,-146.79999999999993,-108.9000000000001
dqn,3x3,medium,91,32760,-115.52222222222225,0.1108271428571429,-83.70000000000002,-94.00000000000001,-109.5,-138.8000000000001,-138.7,-140.9000000000001,-92.80000000000004,-123.4,-117.90000000000018
dqn,3x3,medium,92,33120,-103.57777777777781,0.10105571428571425,-76.70000000000006,-106.8000000000001,-96.80000000000001,-121.69999999999999,-102.50000000000001,-117.00000000000009,-100.50000000000001,-105.10000000000008,-105.09999999999991
dqn,3x3,medium,93,33480,-107.63333333333335,0.0912842857142857,-82.69999999999999,-93.70000000000005,-104.20000000000003,-111.40000000000008,-125.50000000000001,-141.10000000000014,-117.7,-98.09999999999998,-94.29999999999995
dqn,3x3,medium,94,33840,-111.50000000000003,0.08151285714285716,-97.90000000000005,-110.2,-92.00000000000007,-91.40000000000002,-125.90000000000002,-136.30000000000004,-110.6,-106.79999999999995,-132.40000000000003
dqn,3x3,medium,95,34200,-118.2333333333334,0.07174142857142862,-86.4000000000001,-106.50000000000001,-83.70000000000002,-147.00000000000003,-145.30000000000015,-144.90000000000006,-115.00000000000004,-126.20000000000003,-109.10000000000011
dqn,3x3,medium,96,34560,-118.47777777777782,0.06196999999999997,-87.40000000000002,-93.79999999999995,-109.89999999999992,-114.60000000000018,-130.80000000000013,-138.20000000000005,-124.90000000000003,-113.60000000000008,-153.09999999999997
dqn,3x3,medium,97,34920,-110.6555555555556,0.05219857142857143,-100.30000000000004,-105.70000000000006,-98.90000000000002,-130.10000000000002,-101.39999999999992,-133.29999999999998,-116.8000000000001,-107.50000000000003,-101.90000000000015
dqn,3x3,medium,98,35280,-106.74444444444448,0.05,-78.59999999999995,-92.59999999999992,-92.40000000000003,-135.20000000000002,-112.00000000000009,-103.10000000000005,-102.20000000000009,-138.50000000000006,-106.10000000000011
dqn,3x3,medium,99,35640,-113.15555555555558,0.05,-72.89999999999998,-109.40000000000003,-102.00000000000016,-131.59999999999994,-129.30000000000007,-137.70000000000005,-117.40000000000005,-126.8,-91.29999999999995
dqn,3x3,medium,100,36000,-104.78888888888889,0.05,-82.19999999999989,-91.29999999999997,-89.39999999999998,-96.0,-151.20000000000013,-144.0999999999999,-98.00000000000001,-111.20000000000002,-79.70000000000006
dqn,3x3,medium,101,36360,-107.5888888888889,0.05,-99.59999999999998,-92.50000000000007,-102.10000000000002,-121.4,-157.49999999999994,-100.99999999999996,-106.10000000000001,-93.80000000000001,-94.30000000000003
dqn,3x3,medium,102,36720,-110.25555555555555,0.05,-101.20000000000003,-99.10000000000002,-105.7,-112.29999999999994,-115.30000000000003,-137.50000000000006,-104.09999999999992,-120.89999999999995,-96.2
dqn,3x3,medium,103,37080,-112.85555555555558,0.05,-86.80000000000003,-103.6000000000001,-104.00000000000001,-134.99999999999994,-136.80000000000007,-122.90000000000008,-120.6,-112.30000000000004,-93.70000000000006
dqn,3x3,medium,104,37440,-109.66666666666671,0.05,-95.60000000000012,-97.29999999999997,-91.70000000000009,-117.20000000000013,-136.60000000000002,-120.10000000000012,-115.9,-105.09999999999995,-107.49999999999999
dqn,3x3,medium,105,37800,-103.21111111111108,0.05,-77.20000000000002,-80.39999999999992,-85.69999999999993,-109.2,-118.79999999999986,-132.99999999999994,-104.79999999999998,-104.60000000000005,-115.20000000000003
dqn,3x3,medium,106,38160,-102.61111111111114,0.05,-90.0,-82.20000000000003,-87.00000000000007,-117.19999999999997,-134.79999999999993,-128.5000000000001,-110.60000000000004,-85.30000000000011,-87.89999999999999
dqn,3x3,medium,107,38520,-108.4888888888889,0.05,-61.199999999999996,-107.1,-86.80000000000003,-122.00000000000007,-156.5000000000002,-101.79999999999991,-114.79999999999995,-124.19999999999999,-102.0
dqn,3x3,medium,108,38880,-115.86666666666669,0.05,-92.39999999999996,-99.8,-100.39999999999995,-137.8000000000002,-158.10000000000005,-108.49999999999999,-114.80000000000001,-116.00000000000007,-115.00000000000007
dqn,3x3,medium,109,39240,-107.9333333333333,0.05,-79.89999999999996,-102.59999999999998,-101.39999999999998,-118.5999999999999,-106.79999999999998,-118.29999999999995,-109.8,-132.49999999999997,-101.49999999999999
dqn,3x3,medium,110,39600,-103.96666666666665,0.05,-88.50000000000003,-83.19999999999996,-96.20000000000002,-97.89999999999989,-109.39999999999995,-136.80000000000004,-104.79999999999998,-123.7,-95.20000000000003
dqn,3x3,medium,111,39960,-112.98888888888888,0.05,-73.69999999999999,-104.49999999999997,-96.40000000000002,-148.10000000000005,-144.79999999999995,-115.50000000000004,-107.89999999999995,-117.0999999999999,-108.9
dqn,3x3,medium,112,40320,-114.39999999999999,0.05,-91.19999999999997,-80.19999999999995,-117.50000000000006,-139.90000000000003,-137.60000000000008,-134.8000000000001,-117.69999999999992,-118.29999999999998,-92.39999999999993
dqn,3x3,medium,113,40680,-111.13333333333335,0.05,-73.39999999999996,-85.90000000000002,-96.80000000000008,-134.0000000000001,-152.00000000000003,-112.09999999999995,-106.50000000000003,-115.39999999999995,-124.1
dqn,3x3,medium,114,41040,-109.86666666666672,0.05,-78.99999999999999,-103.99999999999999,-90.00000000000001,-130.7000000000001,-123.70000000000007,-142.90000000000006,-112.60000000000012,-98.89999999999998,-107.00000000000011
dqn,3x3,medium,115,41400,-113.51111111111108,0.05,-93.79999999999997,-101.50000000000001,-121.79999999999993,-104.79999999999991,-123.59999999999992,-145.79999999999995,-112.19999999999996,-115.90000000000005,-102.19999999999993
dqn,3x3,medium,116,41760,-115.21111111111117,0.05,-78.29999999999998,-100.50000000000009,-119.10000000000002,-116.40000000000005,-155.90000000000006,-130.6000000000002,-115.79999999999998,-112.20000000000007,-108.10000000000004
dqn,3x3,medium,117,42120,-108.41111111111111,0.05,-74.49999999999993,-90.29999999999995,-104.69999999999996,-105.00000000000007,-112.50000000000001,-153.09999999999994,-119.80000000000008,-112.09999999999998,-103.7
dqn,3x3,medium,118,42480,-109.54444444444445,0.05,-62.899999999999956,-86.39999999999998,-96.99999999999999,-111.59999999999995,-153.50000000000003,-135.30000000000013,-119.30000000000005,-98.60000000000002,-121.29999999999994
dqn,3x3,medium,119,42840,-106.45555555555558,0.05,-70.39999999999998,-93.9,-104.69999999999997,-120.90000000000009,-134.40000000000006,-118.50000000000001,-96.0,-100.69999999999993,-118.60000000000012
dqn,3x3,medium,120,43200,-109.15555555555558,0.05,-96.00000000000006,-94.10000000000002,-97.70000000000006,-128.50000000000003,-128.89999999999998,-104.09999999999998,-113.19999999999993,-101.60000000000011,-118.30000000000005
dqn,3x3,medium,121,43560,-117.35555555555555,0.05,-87.40000000000005,-101.30000000000007,-106.00000000000003,-136.10000000000005,-146.29999999999993,-137.20000000000002,-108.39999999999999,-117.99999999999996,-115.50000000000009
dqn,3x3,medium,122,43920,-99.50000000000001,0.05,-88.0,-101.50000000000001,-80.59999999999997,-96.69999999999996,-133.90000000000003,-99.10000000000004,-110.70000000000005,-95.89999999999998,-89.09999999999998
dqn,3x3,medium,123,44280,-118.10000000000001,0.05,-92.20000000000003,-102.20000000000005,-124.00000000000001,-126.4,-113.49999999999999,-165.80000000000004,-123.50000000000001,-104.49999999999997,-110.80000000000004
dqn,3x3,medium,124,44640,-109.35555555555558,0.05,-96.99999999999996,-95.79999999999994,-109.8,-120.20000000000006,-126.30000000000011,-102.29999999999991,-105.90000000000013,-96.09999999999998,-130.80000000000015
dqn,3x3,medium,125,45000,-107.6222222222222,0.05,-89.89999999999998,-90.4,-91.90000000000002,-117.09999999999992,-123.9,-111.89999999999999,-128.09999999999997,-104.10000000000004,-111.30000000000001
dqn,3x3,medium,126,45360,-102.08888888888889,0.05,-91.2,-86.7,-92.69999999999989,-119.19999999999999,-117.70000000000006,-99.50000000000004,-108.39999999999998,-105.49999999999999,-97.90000000000008
