controller,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
ppo,high,11,5,B1,0,0.0,0
ppo,high,11,5,B2,0,0.0,0
ppo,high,11,5,C1,0,0.0,0
ppo,high,11,5,C2,0,0.0,1
ppo,high,11,10,B1,0,0.0,1
ppo,high,11,10,B2,0,0.0,1
ppo,high,11,10,C1,0,0.0,2
ppo,high,11,10,C2,0,0.0,1
ppo,high,11,15,B1,0,0.0,3
ppo,high,11,15,B2,0,0.0,1
ppo,high,11,15,C1,0,0.0,3
ppo,high,11,15,C2,0,0.0,1
ppo,high,11,20,B1,0,0.0,4
ppo,high,11,20,B2,0,0.0,4
ppo,high,11,20,C1,0,0.0,4
ppo,high,11,20,C2,0,0.0,2
ppo,high,11,25,B1,0,0.0,4
ppo,high,11,25,B2,1,3.0,6
ppo,high,11,25,C1,0,0.0,3
ppo,high,11,25,C2,1,4.0,3
ppo,high,11,30,B1,1,5.0,5
ppo,high,11,30,B2,1,8.0,6
ppo,high,11,30,C1,1,3.0,6
ppo,high,11,30,C2,1,9.0,3
ppo,high,11,35,B1,1,10.0,5
ppo,high,11,35,B2,2,16.0,7
ppo,high,11,35,C1,1,8.0,6
ppo,high,11,35,C2,1,14.0,4
ppo,high,11,40,B1,1,15.0,8
ppo,high,11,40,B2,3,30.0,6
ppo,high,11,40,C1,1,13.0,6
ppo,high,11,40,C2,3,24.0,9
ppo,high,11,45,B1,2,23.0,7
ppo,high,11,45,B2,4,49.0,7
ppo,high,11,45,C1,2,22.0,6
ppo,high,11,45,C2,3,39.0,11
ppo,high,11,50,B1,2,33.0,9
ppo,high,11,50,B2,1,1.0,8
ppo,high,11,50,C1,3,36.0,8
ppo,high,11,50,C2,0,0.0,11
ppo,high,11,55,B1,2,43.0,12
ppo,high,11,55,B2,2,10.0,9
ppo,high,11,55,C1,5,58.0,11
ppo,high,11,55,C2,4,9.0,12
ppo,high,11,60,B1,1,2.0,12
ppo,high,11,60,B2,2,20.0,9
ppo,high,11,60,C1,2,21.0,11
ppo,high,11,60,C2,5,30.0,14
ppo,high,11,65,B1,3,14.0,14
ppo,high,11,65,B2,4,34.0,12
ppo,high,11,65,C1,0,0.0,12
ppo,high,11,65,C2,3,6.0,15
ppo,high,11,70,B1,4,30.0,14
ppo,high,11,70,B2,7,64.0,14
ppo,high,11,70,C1,2,4.0,12
ppo,high,11,70,C2,4,16.0,14
ppo,high,11,75,B1,3,19.0,17
ppo,high,11,75,B2,7,99.0,18
ppo,high,11,75,C1,4,19.0,12
ppo,high,11,75,C2,8,44.0,15
ppo,high,11,80,B1,3,13.0,18
ppo,high,11,80,B2,9,139.0,19
ppo,high,11,80,C1,6,44.0,13
ppo,high,11,80,C2,8,84.0,16
ppo,high,11,85,B1,6,41.0,20
ppo,high,11,85,B2,11,189.0,21
ppo,high,11,85,C1,8,81.0,13
ppo,high,11,85,C2,9,129.0,15
ppo,high,11,90,B1,6,39.0,20
ppo,high,11,90,B2,12,245.0,21
ppo,high,11,90,C1,11,129.0,15
ppo,high,11,90,C2,10,179.0,18
ppo,high,11,95,B1,7,28.0,21
ppo,high,11,95,B2,5,17.0,22
ppo,high,11,95,C1,11,184.0,15
ppo,high,11,95,C2,13,235.0,19
ppo,high,11,100,B1,10,69.0,20
ppo,high,11,100,B2,9,39.0,25
ppo,high,11,100,C1,11,239.0,18
ppo,high,11,100,C2,14,301.0,22
ppo,high,11,105,B1,5,46.0,20
ppo,high,11,105,B2,14,99.0,28
ppo,high,11,105,C1,12,296.0,21
ppo,high,11,105,C2,16,375.0,25
ppo,high,11,110,B1,8,21.0,24
ppo,high,11,110,B2,16,161.0,28
ppo,high,11,110,C1,14,360.0,23
ppo,high,11,110,C2,14,295.0,26
ppo,high,11,115,B1,13,75.0,24
ppo,high,11,115,B2,16,230.0,29
ppo,high,11,115,C1,11,268.0,23
ppo,high,11,115,C2,9,72.0,24
ppo,high,11,120,B1,12,74.0,23
ppo,high,11,120,B2,18,318.0,27
ppo,high,11,120,C1,5,26.0,24
ppo,high,11,120,C2,4,20.0,27
ppo,high,11,125,B1,9,35.0,25
ppo,high,11,125,B2,19,409.0,26
ppo,high,11,125,C1,10,39.0,26
ppo,high,11,125,C2,4,8.0,27
ppo,high,11,130,B1,10,70.0,24
ppo,high,11,130,B2,19,504.0,27
ppo,high,11,130,C1,13,87.0,30
ppo,high,11,130,C2,11,45.0,30
ppo,high,11,135,B1,9,55.0,23
ppo,high,11,135,B2,21,605.0,25
ppo,high,11,135,C1,15,144.0,31
ppo,high,11,135,C2,17,121.0,32
ppo,high,11,140,B1,9,40.0,25
ppo,high,11,140,B2,14,292.0,25
ppo,high,11,140,C1,20,233.0,30
ppo,high,11,140,C2,23,225.0,35
ppo,high,11,145,B1,15,96.0,29
ppo,high,11,145,B2,8,51.0,26
ppo,high,11,145,C1,23,340.0,30
ppo,high,11,145,C2,25,317.0,35
ppo,high,11,150,B1,14,111.0,29
ppo,high,11,150,B2,6,38.0,25
ppo,high,11,150,C1,25,461.0,35
ppo,high,11,150,C2,30,457.0,36
ppo,high,11,155,B1,9,43.0,30
ppo,high,11,155,B2,10,71.0,27
ppo,high,11,155,C1,22,454.0,36
ppo,high,11,155,C2,32,612.0,38
ppo,high,11,160,B1,8,49.0,31
ppo,high,11,160,B2,14,128.0,30
ppo,high,11,160,C1,16,291.0,36
ppo,high,11,160,C2,34,777.0,41
ppo,high,11,165,B1,6,27.0,32
ppo,high,11,165,B2,16,206.0,29
ppo,high,11,165,C1,13,96.0,36
ppo,high,11,165,C2,34,947.0,43
ppo,high,11,170,B1,9,37.0,33
ppo,high,11,170,B2,20,300.0,28
ppo,high,11,170,C1,13,67.0,39
ppo,high,11,170,C2,30,930.0,41
ppo,high,11,175,B1,17,103.0,37
ppo,high,11,175,B2,24,416.0,28
ppo,high,11,175,C1,17,129.0,40
ppo,high,11,175,C2,25,639.0,39
ppo,high,11,180,B1,18,129.0,40
ppo,high,11,180,B2,24,506.0,29
ppo,high,11,180,C1,22,230.0,42
ppo,high,11,180,C2,21,431.0,38
ppo,high,11,185,B1,17,92.0,40
ppo,high,11,185,B2,11,161.0,27
ppo,high,11,185,C1,30,358.0,47
ppo,high,11,185,C2,18,234.0,39
ppo,high,11,190,B1,20,125.0,43
ppo,high,11,190,B2,12,70.0,30
ppo,high,11,190,C1,35,520.0,49
ppo,high,11,190,C2,17,169.0,40
ppo,high,11,195,B1,23,160.0,45
ppo,high,11,195,B2,13,79.0,32
ppo,high,11,195,C1,39,708.0,51
ppo,high,11,195,C2,17,177.0,40
ppo,high,11,200,B1,18,93.0,43
ppo,high,11,200,B2,14,142.0,32
ppo,high,11,200,C1,44,921.0,54
ppo,high,11,200,C2,17,232.0,40
ppo,high,11,205,B1,17,83.0,44
ppo,high,11,205,B2,18,224.0,33
ppo,high,11,205,C1,39,863.0,55
ppo,high,11,205,C2,21,322.0,42
ppo,high,11,210,B1,14,84.0,47
ppo,high,11,210,B2,19,316.0,36
ppo,high,11,210,C1,32,604.0,53
ppo,high,11,210,C2,23,432.0,44
ppo,high,11,215,B1,16,62.0,46
ppo,high,11,215,B2,21,415.0,38
ppo,high,11,215,C1,31,493.0,54
ppo,high,11,215,C2,21,318.0,46
ppo,high,11,220,B1,22,126.0,48
ppo,high,11,220,B2,21,520.0,42
ppo,high,11,220,C1,29,427.0,55
ppo,high,11,220,C2,19,145.0,46
ppo,high,11,225,B1,21,135.0,49
ppo,high,11,225,B2,24,631.0,41
ppo,high,11,225,C1,35,450.0,58
ppo,high,11,225,C2,23,175.0,47
ppo,high,11,230,B1,23,108.0,48
ppo,high,11,230,B2,19,375.0,41
ppo,high,11,230,C1,36,491.0,57
ppo,high,11,230,C2,26,216.0,48
ppo,high,11,235,B1,25,134.0,49
ppo,high,11,235,B2,19,286.0,44
ppo,high,11,235,C1,40,646.0,56
ppo,high,11,235,C2,30,296.0,50
ppo,high,11,240,B1,20,119.0,48
ppo,high,11,240,B2,23,237.0,45
ppo,high,11,240,C1,44,856.0,58
ppo,high,11,240,C2,36,445.0,51
ppo,high,11,245,B1,16,68.0,46
ppo,high,11,245,B2,26,216.0,45
ppo,high,11,245,C1,47,1083.0,61
ppo,high,11,245,C2,43,647.0,55
ppo,high,11,250,B1,19,90.0,48
ppo,high,11,250,B2,28,306.0,46
ppo,high,11,250,C1,44,1003.0,64
ppo,high,11,250,C2,48,844.0,61
ppo,high,11,255,B1,15,100.0,48
ppo,high,11,255,B2,32,428.0,50
ppo,high,11,255,C1,40,736.0,65
ppo,high,11,255,C2,47,953.0,60
ppo,high,11,260,B1,9,31.0,46
ppo,high,11,260,B2,35,574.0,52
ppo,high,11,260,C1,36,586.0,64
ppo,high,11,260,C2,45,1008.0,59
ppo,high,11,265,B1,17,71.0,49
ppo,high,11,265,B2,38,751.0,57
ppo,high,11,265,C1,38,491.0,65
ppo,high,11,265,C2,41,953.0,60
ppo,high,11,270,B1,18,78.0,52
ppo,high,11,270,B2,46,961.0,60
ppo,high,11,270,C1,39,434.0,65
ppo,high,11,270,C2,39,1029.0,63
ppo,high,11,275,B1,21,84.0,54
ppo,high,11,275,B2,42,776.0,62
ppo,high,11,275,C1,43,547.0,64
ppo,high,11,275,C2,45,1231.0,65
ppo,high,11,280,B1,23,137.0,54
ppo,high,11,280,B2,45,668.0,64
ppo,high,11,280,C1,50,733.0,62
ppo,high,11,280,C2,53,1477.0,67
ppo,high,11,285,B1,24,143.0,54
ppo,high,11,285,B2,46,624.0,64
ppo,high,11,285,C1,51,908.0,65
ppo,high,11,285,C2,61,1764.0,69
ppo,high,11,290,B1,20,96.0,53
ppo,high,11,290,B2,45,706.0,65
ppo,high,11,290,C1,50,1108.0,64
ppo,high,11,290,C2,67,2088.0,71
ppo,high,11,295,B1,21,120.0,52
ppo,high,11,295,B2,49,898.0,66
ppo,high,11,295,C1,49,1134.0,63
ppo,high,11,295,C2,69,2430.0,72
ppo,high,11,300,B1,23,128.0,50
ppo,high,11,300,B2,57,1171.0,67
ppo,high,11,300,C1,38,879.0,59
ppo,high,11,300,C2,71,2783.0,74
ppo,high,11,305,B1,26,156.0,48
ppo,high,11,305,B2,63,1476.0,70
ppo,high,11,305,C1,31,693.0,58
ppo,high,11,305,C2,71,3058.0,74
ppo,high,11,310,B1,31,227.0,51
ppo,high,11,310,B2,66,1801.0,72
ppo,high,11,310,C1,29,494.0,59
ppo,high,11,310,C2,67,3207.0,74
ppo,high,11,315,B1,25,218.0,52
ppo,high,11,315,B2,70,2144.0,75
ppo,high,11,315,C1,24,322.0,57
ppo,high,11,315,C2,63,3353.0,73
ppo,high,11,320,B1,21,152.0,52
ppo,high,11,320,B2,67,2273.0,74
ppo,high,11,320,C1,21,279.0,55
ppo,high,11,320,C2,59,3453.0,71
ppo,high,11,325,B1,20,140.0,53
ppo,high,11,325,B2,68,2553.0,77
ppo,high,11,325,C1,26,398.0,56
ppo,high,11,325,C2,52,3279.0,72
ppo,high,11,330,B1,22,129.0,51
ppo,high,11,330,B2,72,2906.0,79
ppo,high,11,330,C1,28,528.0,58
ppo,high,11,330,C2,49,3253.0,72
ppo,high,11,335,B1,19,111.0,50
ppo,high,11,335,B2,77,3282.0,81
ppo,high,11,335,C1,29,667.0,61
ppo,high,11,335,C2,49,3313.0,74
