controller,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
fixedtime,high,2,5,B1,0,0.0,0
fixedtime,high,2,5,B2,0,0.0,0
fixedtime,high,2,5,C1,0,0.0,0
fixedtime,high,2,5,C2,0,0.0,1
fixedtime,high,2,10,B1,0,0.0,1
fixedtime,high,2,10,B2,0,0.0,1
fixedtime,high,2,10,C1,0,0.0,2
fixedtime,high,2,10,C2,0,0.0,1
fixedtime,high,2,15,B1,0,0.0,3
fixedtime,high,2,15,B2,0,0.0,1
fixedtime,high,2,15,C1,0,0.0,3
fixedtime,high,2,15,C2,0,0.0,1
fixedtime,high,2,20,B1,0,0.0,4
fixedtime,high,2,20,B2,0,0.0,3
fixedtime,high,2,20,C1,0,0.0,4
fixedtime,high,2,20,C2,0,0.0,1
fixedtime,high,2,25,B1,0,0.0,3
fixedtime,high,2,25,B2,0,0.0,5
fixedtime,high,2,25,C1,0,0.0,5
fixedtime,high,2,25,C2,1,3.0,3
fixedtime,high,2,30,B1,0,0.0,4
fixedtime,high,2,30,B2,1,5.0,7
fixedtime,high,2,30,C1,2,8.0,7
fixedtime,high,2,30,C2,1,8.0,4
fixedtime,high,2,35,B1,1,3.0,3
fixedtime,high,2,35,B2,3,13.0,7
fixedtime,high,2,35,C1,2,18.0,9
fixedtime,high,2,35,C2,1,13.0,4
fixedtime,high,2,40,B1,2,12.0,4
fixedtime,high,2,40,B2,4,29.0,8
fixedtime,high,2,40,C1,3,31.0,8
fixedtime,high,2,40,C2,2,20.0,8
fixedtime,high,2,45,B1,3,24.0,6
fixedtime,high,2,45,B2,5,52.0,9
fixedtime,high,2,45,C1,5,51.0,8
fixedtime,high,2,45,C2,4,33.0,12
fixedtime,high,2,50,B1,0,0.0,9
fixedtime,high,2,50,B2,1,1.0,9
fixedtime,high,2,50,C1,1,3.0,8
fixedtime,high,2,50,C2,0,0.0,10
fixedtime,high,2,55,B1,0,0.0,12
fixedtime,high,2,55,B2,4,15.0,10
fixedtime,high,2,55,C1,2,10.0,8
fixedtime,high,2,55,C2,0,0.0,11
fixedtime,high,2,60,B1,1,1.0,11
fixedtime,high,2,60,B2,5,36.0,11
fixedtime,high,2,60,C1,2,20.0,11
fixedtime,high,2,60,C2,5,10.0,15
fixedtime,high,2,65,B1,3,10.0,14
fixedtime,high,2,65,B2,5,61.0,13
fixedtime,high,2,65,C1,4,34.0,15
fixedtime,high,2,65,C2,6,37.0,15
fixedtime,high,2,70,B1,5,30.0,15
fixedtime,high,2,70,B2,9,101.0,16
fixedtime,high,2,70,C1,7,62.0,16
fixedtime,high,2,70,C2,6,67.0,14
fixedtime,high,2,75,B1,5,55.0,18
fixedtime,high,2,75,B2,10,150.0,19
fixedtime,high,2,75,C1,8,101.0,16
fixedtime,high,2,75,C2,8,103.0,12
fixedtime,high,2,80,B1,6,81.0,21
fixedtime,high,2,80,B2,11,204.0,22
fixedtime,high,2,80,C1,11,151.0,15
fixedtime,high,2,80,C2,9,145.0,14
fixedtime,high,2,85,B1,11,125.0,22
fixedtime,high,2,85,B2,13,266.0,25
fixedtime,high,2,85,C1,11,206.0,14
fixedtime,high,2,85,C2,10,193.0,17
fixedtime,high,2,90,B1,14,188.0,23
fixedtime,high,2,90,B2,15,339.0,24
fixedtime,high,2,90,C1,11,261.0,18
fixedtime,high,2,90,C2,8,223.0,21
fixedtime,high,2,95,B1,10,50.0,22
fixedtime,high,2,95,B2,8,48.0,24
fixedtime,high,2,95,C1,3,24.0,17
fixedtime,high,2,95,C2,4,13.0,22
