controller,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
dqn,high,12,165,C2,22,281.0,37
dqn,high,12,170,B1,24,494.0,38
dqn,high,12,170,B2,6,20.0,24
dqn,high,12,170,C1,12,67.0,29
dqn,high,12,170,C2,21,305.0,35
dqn,high,12,175,B1,22,584.0,38
dqn,high,12,175,B2,11,53.0,25
dqn,high,12,175,C1,14,70.0,33
dqn,high,12,175,C2,23,361.0,37
dqn,high,12,180,B1,23,699.0,39
dqn,high,12,180,B2,14,75.0,28
dqn,high,12,180,C1,10,48.0,35
dqn,high,12,180,C2,23,427.0,39
dqn,high,12,185,B1,18,388.0,39
dqn,high,12,185,B2,18,100.0,32
dqn,high,12,185,C1,10,67.0,35
dqn,high,12,185,C2,12,119.0,38
dqn,high,12,190,B1,19,237.0,41
dqn,high,12,190,B2,19,153.0,31
dqn,high,12,190,C1,12,77.0,38
dqn,high,12,190,C2,11,51.0,39
dqn,high,12,195,B1,20,150.0,41
dqn,high,12,195,B2,15,141.0,29
dqn,high,12,195,C1,10,49.0,39
dqn,high,12,195,C2,18,124.0,40
dqn,high,12,200,B1,23,238.0,43
dqn,high,12,200,B2,11,47.0,30
dqn,high,12,200,C1,13,72.0,38
dqn,high,12,200,C2,23,229.0,42
dqn,high,12,205,B1,29,371.0,42
dqn,high,12,205,B2,10,54.0,28
dqn,high,12,205,C1,15,93.0,40
dqn,high,12,205,C2,29,365.0,44
dqn,high,12,210,B1,32,506.0,44
dqn,high,12,210,B2,12,73.0,29
dqn,high,12,210,C1,17,75.0,40
dqn,high,12,210,C2,34,524.0,48
dqn,high,12,215,B1,32,569.0,45
dqn,high,12,215,B2,14,79.0,32
dqn,high,12,215,C1,19,108.0,39
dqn,high,12,215,C2,39,708.0,51
dqn,high,12,220,B1,31,650.0,44
dqn,high,12,220,B2,18,127.0,35
dqn,high,12,220,C1,15,110.0,40
dqn,high,12,220,C2,43,917.0,53
dqn,high,12,225,B1,28,712.0,44
dqn,high,12,225,B2,14,133.0,36
dqn,high,12,225,C1,13,47.0,41
dqn,high,12,225,C2,44,1099.0,55
dqn,high,12,230,B1,21,382.0,46
dqn,high,12,230,B2,13,128.0,36
dqn,high,12,230,C1,18,107.0,42
dqn,high,12,230,C2,35,825.0,52
dqn,high,12,235,B1,18,229.0,47
dqn,high,12,235,B2,17,191.0,37
dqn,high,12,235,C1,20,125.0,42
dqn,high,12,235,C2,31,643.0,54
dqn,high,12,240,B1,19,160.0,49
dqn,high,12,240,B2,24,293.0,39
dqn,high,12,240,C1,20,81.0,43
dqn,high,12,240,C2,31,495.0,55
dqn,high,12,245,B1,22,192.0,48
dqn,high,12,245,B2,32,438.0,41
dqn,high,12,245,C1,19,103.0,44
dqn,high,12,245,C2,32,419.0,54
dqn,high,12,250,B1,27,276.0,48
dqn,high,12,250,B2,38,614.0,45
dqn,high,12,250,C1,23,116.0,44
dqn,high,12,250,C2,28,377.0,55
dqn,high,12,255,B1,34,428.0,50
dqn,high,12,255,B2,36,752.0,46
dqn,high,12,255,C1,17,89.0,44
dqn,high,12,255,C2,29,382.0,55
dqn,high,12,260,B1,37,605.0,54
dqn,high,12,260,B2,35,863.0,45
dqn,high,12,260,C1,15,77.0,43
dqn,high,12,260,C2,37,547.0,55
dqn,high,12,265,B1,41,803.0,60
dqn,high,12,265,B2,35,1038.0,45
dqn,high,12,265,C1,19,103.0,42
dqn,high,12,265,C2,44,749.0,55
dqn,high,12,270,B1,48,997.0,59
dqn,high,12,270,B2,31,965.0,45
dqn,high,12,270,C1,20,103.0,44
dqn,high,12,270,C2,47,960.0,56
dqn,high,12,275,B1,41,681.0,56
dqn,high,12,275,B2,26,684.0,44
dqn,high,12,275,C1,26,186.0,48
dqn,high,12,275,C2,38,700.0,57
dqn,high,12,280,B1,33,541.0,54
dqn,high,12,280,B2,22,544.0,46
dqn,high,12,280,C1,23,245.0,48
dqn,high,12,280,C2,30,522.0,54
dqn,high,12,285,B1,30,425.0,51
dqn,high,12,285,B2,21,388.0,46
dqn,high,12,285,C1,28,360.0,51
dqn,high,12,285,C2,27,423.0,54
dqn,high,12,290,B1,26,351.0,51
dqn,high,12,290,B2,18,241.0,46
dqn,high,12,290,C1,37,529.0,54
dqn,high,12,290,C2,26,392.0,54
dqn,high,12,295,B1,27,331.0,51
dqn,high,12,295,B2,16,130.0,45
dqn,high,12,295,C1,42,730.0,56
dqn,high,12,295,C2,28,356.0,53
dqn,high,12,300,B1,29,442.0,50
dqn,high,12,300,B2,18,123.0,45
dqn,high,12,300,C1,50,945.0,56
dqn,high,12,300,C2,33,413.0,53
dqn,high,12,305,B1,33,578.0,50
dqn,high,12,305,B2,21,111.0,45
dqn,high,12,305,C1,43,911.0,53
dqn,high,12,305,C2,36,587.0,55
dqn,high,12,310,B1,35,737.0,50
dqn,high,12,310,B2,23,134.0,46
dqn,high,12,310,C1,33,776.0,55
dqn,high,12,310,C2,36,767.0,56
dqn,high,12,315,B1,34,897.0,52
dqn,high,12,315,B2,22,131.0,49
dqn,high,12,315,C1,29,529.0,55
dqn,high,12,315,C2,38,953.0,56
dqn,high,12,320,B1,26,599.0,53
dqn,high,12,320,B2,16,79.0,48
dqn,high,12,320,C1,31,388.0,55
dqn,high,12,320,C2,34,792.0,54
dqn,high,12,325,B1,29,502.0,52
dqn,high,12,325,B2,14,65.0,51
dqn,high,12,325,C1,26,235.0,53
dqn,high,12,325,C2,38,792.0,60
dqn,high,12,330,B1,29,437.0,53
dqn,high,12,330,B2,12,64.0,49
dqn,high,12,330,C1,22,95.0,54
dqn,high,12,330,C2,36,756.0,63
dqn,high,12,335,B1,26,374.0,50
dqn,high,12,335,B2,16,48.0,54
dqn,high,12,335,C1,24,119.0,55
dqn,high,12,335,C2,38,774.0,65
dqn,high,12,340,B1,26,394.0,48
dqn,high,12,340,B2,23,97.0,54
dqn,high,12,340,C1,21,93.0,56
dqn,high,12,340,C2,40,847.0,65
dqn,high,12,345,B1,27,450.0,48
dqn,high,12,345,B2,23,129.0,55
dqn,high,12,345,C1,21,75.0,57
dqn,high,12,345,C2,44,1039.0,64
dqn,high,12,350,B1,28,580.0,51
dqn,high,12,350,B2,21,127.0,57
dqn,high,12,350,C1,24,124.0,59
dqn,high,12,350,C2,40,1192.0,66
dqn,high,12,355,B1,30,721.0,52
dqn,high,12,355,B2,22,186.0,59
dqn,high,12,355,C1,25,156.0,59
dqn,high,12,355,C2,38,1347.0,66
dqn,high,12,360,B1,35,887.0,54
dqn,high,12,360,B2,33,250.0,61
dqn,high,12,360,C1,27,130.0,61
dqn,high,12,360,C2,41,1541.0,65
dqn,high,12,365,B1,35,691.0,54
dqn,high,12,365,B2,32,261.0,61
dqn,high,12,365,C1,25,149.0,65
dqn,high,12,365,C2,34,1139.0,67
dqn,high,12,370,B1,32,510.0,56
dqn,high,12,370,B2,33,281.0,63
dqn,high,12,370,C1,21,106.0,64
dqn,high,12,370,C2,37,763.0,68
dqn,high,12,375,B1,29,443.0,56
dqn,high,12,375,B2,33,320.0,65
dqn,high,12,375,C1,25,104.0,65
dqn,high,12,375,C2,37,541.0,69
dqn,high,12,380,B1,30,450.0,56
dqn,high,12,380,B2,31,317.0,66
dqn,high,12,380,C1,29,164.0,66
dqn,high,12,380,C2,38,422.0,71
dqn,high,12,385,B1,36,604.0,60
dqn,high,12,385,B2,26,306.0,66
dqn,high,12,385,C1,27,178.0,67
dqn,high,12,385,C2,36,425.0,69
dqn,high,12,390,B1,41,773.0,61
dqn,high,12,390,B2,28,285.0,65
dqn,high,12,390,C1,29,137.0,69
dqn,high,12,390,C2,36,489.0,71
dqn,high,12,395,B1,45,961.0,62
dqn,high,12,395,B2,26,205.0,68
dqn,high,12,395,C1,32,171.0,69
dqn,high,12,395,C2,44,667.0,74
dqn,high,12,400,B1,42,1112.0,60
dqn,high,12,400,B2,26,145.0,69
dqn,high,12,400,C1,32,185.0,71
dqn,high,12,400,C2,47,836.0,77
dqn,high,12,405,B1,38,1278.0,62
dqn,high,12,405,B2,34,188.0,70
dqn,high,12,405,C1,24,115.0,74
dqn,high,12,405,C2,53,1028.0,78
dqn,high,12,410,B1,30,920.0,61
dqn,high,12,410,B2,29,163.0,72
dqn,high,12,410,C1,25,126.0,77
dqn,high,12,410,C2,51,841.0,76
dqn,high,12,415,B1,29,645.0,63
dqn,high,12,415,B2,30,203.0,72
dqn,high,12,415,C1,30,151.0,77
dqn,high,12,415,C2,46,696.0,77
dqn,high,12,420,B1,31,533.0,63
dqn,high,12,420,B2,32,281.0,77
dqn,high,12,420,C1,31,140.0,77
dqn,high,12,420,C2,45,669.0,78
dqn,high,12,425,B1,34,503.0,65
dqn,high,12,425,B2,42,405.0,78
dqn,high,12,425,C1,34,192.0,76
dqn,high,12,425,C2,50,751.0,80
dqn,high,12,430,B1,43,515.0,67
dqn,high,12,430,B2,53,613.0,80
dqn,high,12,430,C1,42,261.0,78
dqn,high,12,430,C2,55,879.0,80
dqn,high,12,435,B1,50,638.0,66
dqn,high,12,435,B2,60,836.0,83
dqn,high,12,435,C1,42,311.0,76
dqn,high,12,435,C2,62,1105.0,80
dqn,high,12,440,B1,53,883.0,66
dqn,high,12,440,B2,58,1020.0,81
dqn,high,12,440,C1,44,397.0,75
dqn,high,12,440,C2,70,1439.0,82
dqn,high,12,445,B1,61,1167.0,67
dqn,high,12,445,B2,61,1252.0,79
dqn,high,12,445,C1,52,529.0,78
dqn,high,12,445,C2,68,1661.0,80
dqn,high,12,450,B1,65,1484.0,67
dqn,high,12,450,B2,59,1474.0,79
dqn,high,12,450,C1,60,712.0,78
dqn,high,12,450,C2,64,1862.0,79
dqn,high,12,455,B1,57,1379.0,65
dqn,high,12,455,B2,58,1706.0,80
dqn,high,12,455,C1,64,940.0,78
dqn,high,12,455,C2,62,2084.0,79
dqn,high,12,460,B1,48,1260.0,65
dqn,high,12,460,B2,63,1997.0,81
dqn,high,12,460,C1,67,1203.0,80
dqn,high,12,460,C2,63,2295.0,79
dqn,high,12,465,B1,42,1160.0,67
dqn,high,12,465,B2,66,2264.0,80
dqn,high,12,465,C1,73,1523.0,84
dqn,high,12,465,C2,67,2550.0,81
dqn,high,12,470,B1,38,1141.0,66
dqn,high,12,470,B2,62,2466.0,77
dqn,high,12,470,C1,78,1886.0,88
dqn,high,12,470,C2,68,2851.0,83
dqn,high,12,475,B1,39,1264.0,65
dqn,high,12,475,B2,58,2689.0,77
dqn,high,12,475,C1,85,2296.0,90
dqn,high,12,475,C2,73,3204.0,85
dqn,high,12,480,B1,41,1446.0,66
dqn,high,12,480,B2,55,2905.0,79
dqn,high,12,480,C1,89,2730.0,90
dqn,high,12,480,C2,77,3575.0,85
dqn,high,12,485,B1,44,1637.0,68
dqn,high,12,485,B2,59,3167.0,81
dqn,high,12,485,C1,90,3179.0,91
dqn,high,12,485,C2,82,3974.0,85
dqn,high,12,490,B1,47,1778.0,68
dqn,high,12,490,B2,64,3469.0,82
dqn,high,12,490,C1,92,3637.0,92
dqn,high,12,490,C2,85,4396.0,86
dqn,high,12,495,B1,54,1975.0,69
dqn,high,12,495,B2,69,3774.0,82
dqn,high,12,495,C1,92,4097.0,92
dqn,high,12,495,C2,85,4821.0,86
dqn,high,12,500,B1,58,2195.0,72
dqn,high,12,500,B2,71,4060.0,82
dqn,high,12,500,C1,92,4557.0,93
dqn,high,12,500,C2,83,5041.0,86
dqn,high,12,505,B1,63,2456.0,74
dqn,high,12,505,B2,70,4372.0,83
dqn,high,12,505,C1,93,5019.0,95
dqn,high,12,505,C2,84,5312.0,86
dqn,high,12,510,B1,67,2758.0,75
dqn,high,12,510,B2,74,4707.0,84
dqn,high,12,510,C1,93,5484.0,95
dqn,high,12,510,C2,83,5635.0,87
dqn,high,12,515,B1,69,3082.0,75
dqn,high,12,515,B2,78,5089.0,84
dqn,high,12,515,C1,95,5956.0,96
dqn,high,12,515,C2,86,6063.0,87
dqn,high,12,520,B1,74,3439.0,76
dqn,high,12,520,B2,81,5489.0,84
dqn,high,12,520,C1,95,6431.0,96
dqn,high,12,520,C2,87,6497.0,87
dqn,high,12,525,B1,75,3813.0,76
dqn,high,12,525,B2,84,5904.0,84
dqn,high,12,525,C1,96,6910.0,96
dqn,high,12,525,C2,87,6932.0,87
dqn,high,12,530,B1,75,4188.0,76
dqn,high,12,530,B2,84,6324.0,84
dqn,high,12,530,C1,96,7390.0,98
dqn,high,12,530,C2,87,7367.0,87
dqn,high,12,535,B1,76,4565.0,76
dqn,high,12,535,B2,84,6744.0,84
dqn,high,12,535,C1,97,7871.0,98
dqn,high,12,535,C2,87,7802.0,87
dqn,high,12,540,B1,76,4945.0,76
dqn,high,12,540,B2,84,7164.0,84
dqn,high,12,540,C1,98,8360.0,99
dqn,high,12,540,C2,87,8237.0,87
dqn,high,12,545,B1,76,5325.0,76
dqn,high,12,545,B2,84,7584.0,84
dqn,high,12,545,C1,99,8852.0,99
dqn,high,12,545,C2,87,8672.0,87
dqn,high,12,550,B1,76,5705.0,77
dqn,high,12,550,B2,84,8004.0,84
dqn,high,12,550,C1,99,9347.0,99
dqn,high,12,550,C2,87,9107.0,88
dqn,high,12,555,B1,76,6085.0,77
dqn,high,12,555,B2,84,8424.0,84
dqn,high,12,555,C1,99,9842.0,99
dqn,high,12,555,C2,87,9542.0,89
dqn,high,12,560,B1,76,6465.0,77
dqn,high,12,560,B2,84,8844.0,84
dqn,high,12,560,C1,99,10337.0,99
dqn,high,12,560,C2,88,9979.0,89
dqn,high,12,565,B1,77,6850.0,77
dqn,high,12,565,B2,84,9264.0,84
dqn,high,12,565,C1,99,10832.0,99
dqn,high,12,565,C2,89,10421.0,89
dqn,high,12,570,B1,77,7235.0,77
dqn,high,12,570,B2,84,9684.0,84
dqn,high,12,570,C1,99,11327.0,99
dqn,high,12,570,C2,89,10866.0,91
dqn,high,12,575,B1,77,7620.0,77
dqn,high,12,575,B2,84,10104.0,85
dqn,high,12,575,C1,99,11822.0,99
dqn,high,12,575,C2,89,11311.0,91
dqn,high,12,580,B1,77,8005.0,77
dqn,high,12,580,B2,84,10524.0,85
dqn,high,12,580,C1,99,12317.0,99
dqn,high,12,580,C2,91,11762.0,91
dqn,high,12,585,B1,77,8390.0,77
dqn,high,12,585,B2,85,10944.0,86
dqn,high,12,585,C1,99,12812.0,99
dqn,high,12,585,C2,91,12217.0,92
dqn,high,12,590,B1,77,8775.0,78
dqn,high,12,590,B2,85,11369.0,87
dqn,high,12,590,C1,99,13307.0,99
dqn,high,12,590,C2,92,12673.0,92
dqn,high,12,595,B1,77,9160.0,78
dqn,high,12,595,B2,85,11794.0,88
dqn,high,12,595,C1,99,13802.0,99
dqn,high,12,595,C2,92,13133.0,92
dqn,high,12,600,B1,78,9548.0,78
dqn,high,12,600,B2,87,12223.0,88
dqn,high,12,600,C1,99,14297.0,99
dqn,high,12,600,C2,92,13593.0,92
dqn,high,12,605,B1,78,9938.0,78
dqn,high,12,605,B2,88,12661.0,88
dqn,high,12,605,C1,99,14792.0,99
dqn,high,12,605,C2,92,14053.0,93
dqn,high,12,610,B1,78,10328.0,79
dqn,high,12,610,B2,88,13101.0,88
dqn,high,12,610,C1,99,15287.0,99
dqn,high,12,610,C2,92,14513.0,94
dqn,high,12,615,B1,78,10718.0,79
dqn,high,12,615,B2,88,13541.0,89
dqn,high,12,615,C1,99,15782.0,99
dqn,high,12,615,C2,94,14979.0,94
dqn,high,12,620,B1,80,11111.0,80
dqn,high,12,620,B2,88,13981.0,89
dqn,high,12,620,C1,99,16277.0,99
dqn,high,12,620,C2,94,15449.0,95
dqn,high,12,625,B1,80,11506.0,81
dqn,high,12,625,B2,89,14424.0,89
dqn,high,12,625,C1,99,16772.0,99
dqn,high,12,625,C2,94,15919.0,96
dqn,high,12,630,B1,79,11901.0,82
dqn,high,12,630,B2,89,14869.0,89
dqn,high,12,630,C1,99,17267.0,99
dqn,high,12,630,C2,96,16396.0,97
dqn,high,12,635,B1,80,12301.0,82
dqn,high,12,635,B2,89,15314.0,89
dqn,high,12,635,C1,99,17762.0,99
dqn,high,12,635,C2,97,16877.0,98
dqn,high,12,640,B1,82,12708.0,82
dqn,high,12,640,B2,89,15759.0,89
dqn,high,12,640,C1,99,18257.0,99
dqn,high,12,640,C2,98,17366.0,98
dqn,high,12,645,B1,82,13118.0,82
dqn,high,12,645,B2,90,16204.0,90
dqn,high,12,645,C1,99,18752.0,99
dqn,high,12,645,C2,98,17856.0,98
dqn,high,12,650,B1,82,13528.0,84
dqn,high,12,650,B2,89,16649.0,90
dqn,high,12,650,C1,99,19247.0,99
dqn,high,12,650,C2,98,18346.0,98
dqn,high,12,655,B1,83,13940.0,84
dqn,high,12,655,B2,89,17094.0,90
dqn,high,12,655,C1,99,19742.0,99
dqn,high,12,655,C2,98,18836.0,98
dqn,high,12,660,B1,83,14355.0,85
dqn,high,12,660,B2,90,17542.0,90
dqn,high,12,660,C1,99,20237.0,99
dqn,high,12,660,C2,98,19326.0,98
dqn,high,12,665,B1,85,14774.0,85
dqn,high,12,665,B2,90,17992.0,90
dqn,high,12,665,C1,99,20732.0,99
dqn,high,12,665,C2,98,19816.0,98
dqn,high,12,670,B1,85,15199.0,85
dqn,high,12,670,B2,90,18442.0,90
dqn,high,12,670,C1,99,21227.0,99
dqn,high,12,670,C2,98,20306.0,98
dqn,high,12,675,B1,86,15624.0,87
dqn,high,12,675,B2,90,18892.0,90
dqn,high,12,675,C1,99,21722.0,99
dqn,high,12,675,C2,98,20796.0,98
dqn,high,12,680,B1,85,16049.0,87
dqn,high,12,680,B2,90,19342.0,90
dqn,high,12,680,C1,99,22217.0,99
dqn,high,12,680,C2,98,21286.0,98
dqn,high,12,685,B1,86,16479.0,87
dqn,high,12,685,B2,90,19792.0,90
dqn,high,12,685,C1,99,22712.0,99
dqn,high,12,685,C2,98,21776.0,98
dqn,high,12,690,B1,87,16914.0,87
dqn,high,12,690,B2,90,20242.0,90
dqn,high,12,690,C1,99,23207.0,99
dqn,high,12,690,C2,98,22266.0,98
dqn,high,12,695,B1,87,17349.0,87
dqn,high,12,695,B2,90,20692.0,91
dqn,high,12,695,C1,99,23702.0,99
dqn,high,12,695,C2,98,22756.0,98
dqn,high,12,700,B1,87,17784.0,87
dqn,high,12,700,B2,89,20841.0,92
dqn,high,12,700,C1,99,24197.0,99
dqn,high,12,700,C2,93,21739.0,97
dqn,high,12,705,B1,87,18219.0,88
dqn,high,12,705,B2,85,19481.0,91
dqn,high,12,705,C1,99,24692.0,99
dqn,high,12,705,C2,87,19507.0,96
dqn,high,12,710,B1,87,18654.0,88
dqn,high,12,710,B2,81,16929.0,91
dqn,high,12,710,C1,99,25187.0,99
dqn,high,12,710,C2,83,17264.0,96
dqn,high,12,715,B1,86,18489.0,87
dqn,high,12,715,B2,79,14685.0,91
dqn,high,12,715,C1,97,25080.0,98
dqn,high,12,715,C2,83,15317.0,96
dqn,high,12,720,B1,82,17417.0,87
dqn,high,12,720,B2,76,12704.0,91
dqn,high,12,720,C1,94,24073.0,98
dqn,high,12,720,C2,80,13083.0,96
dqn,high,12,725,B1,82,16646.0,87
dqn,high,12,725,B2,72,10395.0,92
dqn,high,12,725,C1,92,23355.0,98
dqn,high,12,725,C2,72,11551.0,95
dqn,high,12,730,B1,80,15584.0,87
dqn,high,12,730,B2,76,9288.0,92
dqn,high,12,730,C1,85,21418.0,96
dqn,high,12,730,C2,68,10901.0,95
dqn,high,12,735,B1,75,13823.0,87
dqn,high,12,735,B2,80,9368.0,94
dqn,high,12,735,C1,73,18328.0,94
dqn,high,12,735,C2,76,11171.0,96
dqn,high,12,740,B1,69,11799.0,87
dqn,high,12,740,B2,86,9747.0,95
dqn,high,12,740,C1,65,14975.0,92
dqn,high,12,740,C2,77,11459.0,97
dqn,high,12,745,B1,70,10592.0,87
dqn,high,12,745,B2,90,10152.0,95
dqn,high,12,745,C1,58,12639.0,88
dqn,high,12,745,C2,81,11772.0,97
dqn,high,12,750,B1,69,8304.0,87
dqn,high,12,750,B2,93,10582.0,95
dqn,high,12,750,C1,51,10461.0,88
dqn,high,12,750,C2,81,12099.0,97
dqn,high,12,755,B1,71,6996.0,89
dqn,high,12,755,B2,91,10873.0,94
dqn,high,12,755,C1,46,8841.0,88
dqn,high,12,755,C2,86,12216.0,97
dqn,high,12,760,B1,71,5915.0,90
dqn,high,12,760,B2,87,11127.0,93
dqn,high,12,760,C1,40,7201.0,86
