algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_B3,reward_B4,reward_C1,reward_C2,reward_C3,reward_C4,reward_D1,reward_D2,reward_D3,reward_D4,reward_E1,reward_E2,reward_E3,reward_E4
ppo,4x4,medium,11,3960,-86.3375,30,-69.39999999999999,-88.39999999999996,-82.50000000000007,-83.20000000000006,-71.19999999999993,-101.49999999999993,-93.89999999999996,-90.40000000000003,-94.19999999999993,-90.09999999999998,-89.6,-99.00000000000016,-73.79999999999998,-73.00000000000001,-94.40000000000002,-86.80000000000005
ppo,4x4,medium,12,4320,-86.05000000000001,33,-64.49999999999993,-85.70000000000002,-80.10000000000004,-82.10000000000014,-82.80000000000008,-107.29999999999997,-86.19999999999993,-98.8,-85.09999999999998,-86.69999999999992,-89.90000000000003,-89.10000000000011,-72.00000000000007,-86.60000000000002,-90.49999999999996,-89.40000000000005
ppo,4x4,medium,13,4680,-85.29374999999999,36,-69.09999999999998,-84.69999999999996,-76.99999999999996,-88.50000000000006,-71.39999999999995,-110.70000000000002,-81.59999999999998,-98.10000000000014,-84.8,-95.70000000000002,-86.69999999999996,-83.50000000000004,-76.29999999999988,-75.89999999999996,-78.30000000000001,-102.40000000000005
ppo,4x4,medium,14,5040,-85.96874999999999,39,-73.5999999999999,-90.90000000000003,-74.9,-98.99999999999997,-81.39999999999999,-94.9,-90.79999999999995,-99.30000000000008,-94.79999999999997,-98.80000000000005,-92.19999999999999,-94.19999999999999,-72.00000000000004,-75.79999999999993,-68.09999999999998,-74.79999999999994
ppo,4x4,medium,15,5400,-85.1875,42,-75.09999999999988,-73.89999999999998,-96.5,-80.80000000000003,-68.19999999999996,-92.79999999999988,-96.99999999999996,-90.20000000000002,-88.29999999999997,-105.60000000000001,-88.50000000000003,-89.20000000000012,-64.69999999999995,-74.99999999999997,-93.50000000000003,-83.70000000000002
ppo,4x4,medium,16,5760,-85.29999999999998,45,-75.19999999999993,-71.8999999999999,-83.70000000000003,-83.10000000000004,-81.10000000000001,-99.40000000000002,-94.69999999999996,-98.29999999999998,-108.19999999999996,-87.19999999999999,-75.89999999999995,-96.20000000000005,-72.99999999999994,-69.79999999999994,-78.90000000000003,-88.19999999999995
ppo,4x4,medium,17,6120,-88.50000000000001,47,-74.00000000000006,-78.50000000000001,-91.89999999999996,-83.40000000000002,-75.39999999999996,-112.89999999999996,-85.30000000000001,-110.60000000000002,-80.80000000000001,-89.60000000000001,-104.00000000000003,-98.19999999999999,-73.10000000000004,-87.39999999999993,-85.60000000000007,-85.30000000000005
ppo,4x4,medium,18,6480,-89.45000000000002,50,-70.49999999999996,-71.09999999999992,-75.99999999999994,-77.90000000000003,-80.59999999999994,-102.19999999999992,-134.40000000000015,-96.40000000000008,-89.69999999999997,-105.40000000000005,-99.50000000000004,-97.00000000000003,-70.10000000000001,-94.90000000000003,-79.60000000000002,-85.9
ppo,4x4,medium,19,6840,-89.80625,53,-69.29999999999997,-87.00000000000007,-83.60000000000001,-110.90000000000005,-88.30000000000003,-115.19999999999997,-93.89999999999998,-98.90000000000008,-82.49999999999997,-94.40000000000005,-77.69999999999997,-97.40000000000002,-74.20000000000005,-78.00000000000003,-95.10000000000004,-90.50000000000006
ppo,4x4,medium,20,7200,-93.44375000000002,56,-80.80000000000003,-94.30000000000007,-82.89999999999999,-88.69999999999993,-87.89999999999996,-110.7000000000001,-98.79999999999997,-93.20000000000002,-110.60000000000002,-92.59999999999997,-93.40000000000003,-113.60000000000016,-67.89999999999995,-91.10000000000001,-102.99999999999999,-85.60000000000007
ppo,4x4,medium,21,7560,-84.875,59,-87.6,-76.29999999999994,-89.69999999999993,-84.80000000000018,-72.29999999999993,-96.79999999999998,-89.30000000000005,-103.60000000000007,-89.30000000000005,-70.10000000000002,-86.40000000000006,-92.09999999999995,-66.49999999999993,-74.99999999999997,-91.19999999999997,-87.00000000000006
ppo,4x4,medium,22,7920,-88.33124999999998,61,-82.70000000000002,-80.19999999999995,-74.69999999999997,-84.70000000000003,-97.50000000000003,-100.29999999999995,-107.00000000000001,-87.50000000000003,-89.40000000000003,-79.1999999999999,-97.1999999999999,-86.50000000000003,-72.69999999999999,-76.1,-99.10000000000001,-98.50000000000001
ppo,4x4,medium,23,8280,-88.93750000000001,64,-74.59999999999998,-89.20000000000014,-82.90000000000006,-83.20000000000002,-73.39999999999998,-99.29999999999991,-111.10000000000007,-102.69999999999999,-77.0,-98.10000000000007,-90.69999999999996,-98.70000000000002,-86.30000000000004,-84.2,-95.00000000000003,-76.59999999999995
ppo,4x4,medium,24,8640,-84.42499999999997,67,-69.09999999999992,-85.19999999999999,-60.89999999999991,-79.10000000000004,-80.59999999999998,-99.10000000000001,-107.99999999999994,-81.70000000000003,-83.10000000000001,-82.69999999999992,-84.19999999999995,-90.59999999999997,-81.79999999999995,-82.80000000000003,-102.9,-78.99999999999991
ppo,4x4,medium,25,9000,-85.35625,70,-66.39999999999993,-83.90000000000003,-78.60000000000004,-89.40000000000012,-92.60000000000007,-99.6,-103.69999999999999,-74.7,-89.9999999999999,-92.2,-81.40000000000006,-103.90000000000009,-71.29999999999995,-76.89999999999998,-78.59999999999997,-82.49999999999999
ppo,4x4,medium,26,9360,-88.42500000000001,73,-66.49999999999989,-75.59999999999991,-70.20000000000003,-78.70000000000002,-84.39999999999998,-93.60000000000004,-104.10000000000007,-87.7,-89.10000000000002,-118.50000000000006,-113.30000000000004,-80.10000000000004,-76.0,-91.8000000000001,-103.20000000000013,-82.0
ppo,4x4,medium,27,9720,-84.19999999999999,75,-86.00000000000009,-85.09999999999997,-69.19999999999995,-82.8,-86.80000000000003,-91.00000000000003,-90.5,-76.09999999999998,-87.30000000000001,-91.30000000000001,-80.19999999999999,-96.50000000000007,-77.59999999999998,-71.89999999999995,-101.69999999999996,-73.19999999999997
ppo,4x4,medium,28,10080,-84.20000000000002,78,-79.99999999999997,-81.69999999999995,-81.9,-75.89999999999996,-83.29999999999997,-93.50000000000004,-86.30000000000007,-93.60000000000002,-83.60000000000011,-92.50000000000011,-83.3,-91.70000000000006,-84.10000000000001,-79.89999999999998,-81.49999999999996,-74.39999999999998
ppo,4x4,medium,29,10440,-85.81250000000003,81,-69.29999999999997,-91.49999999999996,-74.79999999999998,-83.60000000000014,-81.10000000000004,-94.29999999999998,-85.3,-92.20000000000005,-85.20000000000007,-84.4,-78.09999999999998,-115.2000000000001,-93.50000000000003,-81.49999999999999,-84.20000000000005,-78.8
ppo,4x4,medium,30,10800,-87.51249999999999,84,-75.59999999999994,-106.7,-91.39999999999993,-81.00000000000009,-88.29999999999997,-100.19999999999993,-107.7,-88.19999999999996,-79.90000000000005,-90.09999999999995,-80.69999999999989,-101.90000000000008,-66.59999999999992,-74.39999999999999,-91.40000000000006,-76.09999999999998
ppo,4x4,medium,31,11160,-87.08750000000003,87,-90.30000000000003,-86.00000000000001,-85.50000000000003,-96.00000000000023,-83.09999999999992,-91.8,-93.99999999999997,-93.29999999999997,-75.99999999999999,-95.10000000000015,-95.60000000000002,-93.00000000000016,-62.59999999999996,-87.8,-87.59999999999998,-75.70000000000003
ppo,4x4,medium,32,11520,-88.4625,90,-68.69999999999995,-79.79999999999995,-80.2,-85.10000000000011,-78.50000000000007,-113.59999999999998,-92.89999999999992,-92.50000000000003,-92.00000000000003,-95.90000000000003,-88.6000000000001,-113.30000000000011,-75.49999999999994,-78.30000000000003,-97.89999999999996,-82.60000000000004
ppo,4x4,medium,33,11880,-81.13124999999998,92,-90.00000000000004,-99.60000000000002,-87.19999999999997,-77.9,-62.69999999999995,-97.39999999999996,-77.49999999999993,-75.49999999999999,-86.09999999999998,-81.89999999999993,-70.49999999999997,-92.70000000000006,-76.00000000000006,-79.9,-76.19999999999996,-66.99999999999987
ppo,4x4,medium,34,12240,-82.99999999999997,95,-74.49999999999996,-79.2999999999999,-68.90000000000003,-87.49999999999999,-75.19999999999996,-102.49999999999994,-105.99999999999994,-78.90000000000006,-81.50000000000006,-83.89999999999996,-77.99999999999987,-80.10000000000005,-79.30000000000001,-78.89999999999995,-97.39999999999993,-76.1
ppo,4x4,medium,35,12600,-85.28124999999997,98,-74.00000000000001,-75.39999999999989,-75.89999999999993,-67.19999999999992,-76.29999999999998,-87.10000000000002,-99.89999999999995,-88.50000000000001,-78.89999999999992,-103.0000000000001,-91.59999999999998,-114.09999999999998,-75.80000000000005,-83.39999999999998,-92.7000000000001,-80.69999999999993
ppo,4x4,medium,36,12960,-85.95625000000003,101,-77.10000000000005,-95.30000000000015,-77.00000000000003,-89.40000000000009,-79.89999999999998,-116.00000000000016,-102.90000000000008,-82.89999999999996,-67.29999999999994,-90.4,-88.89999999999999,-93.00000000000009,-69.99999999999997,-80.49999999999997,-89.69999999999995,-74.99999999999996
ppo,4x4,medium,37,13320,-85.775,104,-68.60000000000001,-83.79999999999994,-79.50000000000003,-96.90000000000005,-71.2,-97.70000000000003,-93.20000000000002,-95.70000000000002,-79.50000000000001,-95.50000000000004,-94.09999999999997,-93.69999999999999,-86.6,-76.29999999999998,-80.99999999999994,-79.09999999999997
ppo,4x4,medium,38,13680,-88.66875,106,-70.30000000000007,-89.89999999999996,-93.7,-84.20000000000007,-91.00000000000001,-89.90000000000002,-100.9,-89.1,-78.50000000000003,-90.39999999999998,-91.5,-95.30000000000004,-96.49999999999997,-87.59999999999992,-96.39999999999999,-73.49999999999999
ppo,4x4,medium,39,14040,-83.04999999999998,109,-67.69999999999999,-78.50000000000004,-68.69999999999995,-81.50000000000003,-81.79999999999998,-90.09999999999997,-77.4999999999999,-77.00000000000004,-85.29999999999997,-91.59999999999998,-92.10000000000007,-96.80000000000003,-78.60000000000002,-89.39999999999995,-98.89999999999996,-73.29999999999993
ppo,4x4,medium,40,14400,-93.90625,112,-71.59999999999998,-94.79999999999997,-80.29999999999998,-78.19999999999996,-71.89999999999999,-101.79999999999994,-139.10000000000008,-107.20000000000007,-82.1,-103.70000000000003,-99.20000000000005,-101.90000000000003,-81.79999999999997,-89.90000000000002,-106.39999999999998,-92.60000000000002
ppo,4x4,medium,41,14760,-86.21875000000003,115,-73.59999999999997,-82.9,-87.6000000000001,-101.20000000000012,-72.6,-88.19999999999997,-80.59999999999998,-103.30000000000005,-71.50000000000006,-84.20000000000005,-98.70000000000013,-105.80000000000001,-84.20000000000005,-84.80000000000001,-79.39999999999998,-80.89999999999995
ppo,4x4,medium,42,15120,-86.75,118,-73.3999999999999,-86.7,-92.69999999999996,-111.60000000000024,-87.60000000000004,-102.80000000000005,-99.20000000000002,-74.29999999999997,-84.30000000000001,-76.49999999999999,-86.6000000000001,-81.1,-74.89999999999989,-79.1,-103.9,-73.29999999999991
ppo,4x4,medium,43,15480,-89.76874999999998,120,-70.59999999999997,-73.49999999999996,-93.99999999999991,-87.4,-74.09999999999995,-99.89999999999993,-122.20000000000003,-83.70000000000005,-87.79999999999997,-100.40000000000002,-108.60000000000002,-108.39999999999996,-69.90000000000002,-72.10000000000001,-104.80000000000001,-78.9
ppo,4x4,medium,44,15840,-88.20000000000002,123,-73.30000000000001,-92.6,-95.00000000000003,-83.20000000000007,-68.20000000000003,-96.40000000000005,-105.10000000000001,-105.00000000000004,-87.40000000000002,-85.99999999999994,-95.49999999999996,-87.80000000000005,-73.00000000000001,-85.59999999999995,-84.2,-92.90000000000012
ppo,4x4,medium,45,16200,-89.07500000000002,126,-73.30000000000005,-100.30000000000001,-71.69999999999999,-91.90000000000025,-79.69999999999999,-103.90000000000008,-100.1000000000001,-92.0000000000001,-86.90000000000008,-81.99999999999986,-87.09999999999994,-95.80000000000003,-96.2,-84.89999999999996,-100.19999999999997,-79.19999999999996
ppo,4x4,medium,46,16560,-91.5125,129,-84.6,-109.70000000000005,-84.99999999999993,-88.59999999999985,-86.99999999999999,-101.20000000000002,-95.69999999999997,-93.90000000000008,-89.99999999999996,-88.89999999999998,-90.00000000000004,-102.50000000000007,-66.6999999999999,-84.20000000000003,-110.50000000000013,-85.7
ppo,4x4,medium,47,16920,-86.90625,132,-80.3,-102.80000000000004,-95.80000000000011,-87.90000000000013,-77.20000000000006,-94.59999999999994,-79.30000000000004,-97.20000000000005,-80.39999999999993,-86.09999999999997,-96.7,-93.99999999999996,-64.99999999999999,-80.10000000000004,-95.40000000000002,-77.69999999999995
ppo,4x4,medium,48,17280,-89.66250000000002,135,-72.79999999999997,-107.60000000000002,-84.3,-87.8,-89.20000000000006,-92.00000000000004,-94.30000000000003,-94.30000000000005,-100.10000000000001,-92.4000000000001,-87.3000000000001,-102.00000000000001,-80.00000000000004,-84.20000000000002,-84.29999999999995,-81.99999999999994
ppo,4x4,medium,49,17640,-89.01875000000001,137,-76.20000000000006,-76.39999999999995,-73.4999999999999,-68.99999999999999,-72.50000000000003,-113.69999999999997,-107.50000000000001,-98.70000000000005,-92.99999999999997,-101.99999999999997,-93.20000000000009,-109.2,-70.09999999999995,-105.10000000000002,-82.10000000000001,-82.1
ppo,4x4,medium,50,18000,-92.89375000000001,140,-67.59999999999995,-89.09999999999998,-80.39999999999996,-96.4,-80.00000000000001,-108.39999999999998,-102.89999999999996,-111.89999999999999,-81.60000000000007,-107.89999999999996,-97.0,-111.0,-81.90000000000002,-79.59999999999998,-94.90000000000016,-95.70000000000009
ppo,4x4,medium,51,18360,-88.025,143,-67.89999999999992,-92.6000000000001,-67.09999999999991,-81.80000000000001,-96.69999999999999,-109.60000000000007,-88.70000000000003,-89.40000000000009,-72.9,-101.9,-93.20000000000003,-89.79999999999998,-75.79999999999995,-99.99999999999994,-93.20000000000003,-87.80000000000004
ppo,4x4,medium,52,18720,-88.025,146,-70.49999999999991,-85.89999999999999,-77.30000000000005,-86.29999999999995,-83.40000000000003,-103.69999999999997,-103.90000000000003,-99.00000000000011,-82.69999999999995,-92.40000000000002,-87.9,-96.29999999999998,-84.80000000000004,-76.09999999999997,-95.7,-82.49999999999999
ppo,4x4,medium,53,19080,-85.33125000000001,149,-71.09999999999995,-104.79999999999998,-89.50000000000016,-82.19999999999993,-64.79999999999995,-82.00000000000004,-78.80000000000003,-83.70000000000005,-78.00000000000001,-107.90000000000006,-96.10000000000002,-99.40000000000003,-68.99999999999999,-81.79999999999998,-88.99999999999997,-87.2
ppo,4x4,medium,54,19440,-88.9375,151,-78.69999999999997,-82.49999999999997,-80.19999999999997,-74.80000000000005,-85.29999999999998,-103.7,-94.39999999999999,-101.40000000000002,-90.30000000000005,-106.00000000000001,-79.59999999999998,-102.4,-75.19999999999995,-86.80000000000001,-98.29999999999994,-83.4
ppo,4x4,medium,55,19800,-82.83124999999998,154,-72.09999999999995,-89.50000000000003,-79.80000000000003,-85.30000000000007,-72.89999999999995,-96.79999999999998,-69.89999999999995,-92.60000000000004,-81.70000000000002,-89.10000000000002,-89.19999999999993,-94.40000000000003,-71.00000000000004,-74.40000000000002,-82.39999999999999,-84.19999999999995
ppo,4x4,medium,56,20160,-85.99999999999999,157,-69.39999999999993,-82.99999999999999,-86.79999999999998,-80.89999999999995,-67.69999999999992,-76.30000000000001,-110.2000000000001,-102.79999999999995,-84.5,-90.60000000000002,-88.50000000000006,-104.79999999999995,-73.79999999999997,-89.69999999999987,-77.20000000000006,-89.80000000000004
ppo,4x4,medium,57,20520,-83.125,160,-75.00000000000001,-83.09999999999991,-83.00000000000007,-73.89999999999998,-91.20000000000003,-85.09999999999997,-99.00000000000003,-83.69999999999997,-73.80000000000001,-85.90000000000006,-83.69999999999995,-93.00000000000006,-70.3,-85.69999999999999,-89.50000000000003,-74.09999999999994
ppo,4x4,medium,58,20880,-90.81875,163,-74.69999999999999,-86.50000000000004,-85.9,-85.80000000000005,-83.20000000000003,-104.2,-111.19999999999997,-96.00000000000004,-88.1,-104.6,-90.0,-85.99999999999996,-83.50000000000003,-96.89999999999998,-97.69999999999999,-78.80000000000001
ppo,4x4,medium,59,21240,-84.44375,165,-72.6,-82.10000000000001,-80.19999999999995,-79.89999999999999,-77.49999999999999,-98.19999999999997,-84.39999999999996,-104.80000000000003,-73.19999999999997,-95.30000000000005,-80.09999999999995,-91.70000000000005,-79.5,-73.5,-85.3,-92.80000000000001
ppo,4x4,medium,60,21600,-84.56875,168,-76.00000000000006,-93.70000000000009,-81.89999999999998,-80.40000000000003,-73.09999999999994,-110.59999999999998,-107.00000000000006,-79.59999999999995,-91.19999999999997,-103.00000000000004,-82.0,-80.39999999999995,-79.80000000000001,-75.49999999999997,-67.79999999999995,-71.10000000000002
ppo,4x4,medium,61,21960,-85.05625,171,-75.59999999999998,-85.1,-87.19999999999999,-83.20000000000005,-80.29999999999995,-102.39999999999996,-104.50000000000003,-84.79999999999998,-87.90000000000005,-89.1,-80.50000000000004,-90.70000000000012,-68.60000000000002,-82.29999999999994,-76.60000000000001,-82.10000000000002
ppo,4x4,medium,62,22320,-86.3125,174,-72.39999999999992,-98.50000000000007,-76.50000000000004,-94.20000000000002,-76.50000000000004,-90.59999999999997,-95.19999999999995,-88.2,-85.50000000000004,-97.1,-91.79999999999997,-104.60000000000007,-66.1999999999999,-86.90000000000003,-78.80000000000003,-77.99999999999999
ppo,4x4,medium,63,22680,-88.00000000000001,177,-75.70000000000006,-97.70000000000006,-94.19999999999995,-77.99999999999999,-72.5999999999999,-93.99999999999996,-100.20000000000007,-81.59999999999998,-90.5,-102.69999999999996,-91.10000000000004,-94.10000000000016,-87.39999999999998,-84.50000000000009,-73.59999999999998,-90.10000000000004
ppo,4x4,medium,64,23040,-89.55625,180,-70.19999999999993,-85.40000000000003,-79.20000000000003,-84.60000000000004,-81.19999999999996,-108.29999999999995,-113.40000000000003,-82.00000000000001,-90.10000000000002,-105.19999999999999,-94.20000000000002,-101.70000000000006,-75.6,-88.30000000000007,-90.90000000000002,-82.59999999999994
ppo,4x4,medium,65,23400,-86.3,182,-74.49999999999997,-80.59999999999998,-73.69999999999996,-65.99999999999991,-80.40000000000005,-113.00000000000001,-90.6,-82.89999999999993,-83.89999999999998,-98.39999999999999,-84.39999999999993,-98.90000000000006,-88.50000000000001,-77.49999999999999,-98.70000000000009,-88.80000000000004
ppo,4x4,medium,66,23760,-84.63749999999999,185,-72.79999999999991,-82.0,-90.10000000000005,-83.59999999999997,-71.19999999999997,-112.60000000000002,-95.30000000000005,-70.69999999999992,-84.29999999999995,-91.89999999999993,-76.99999999999999,-87.90000000000009,-75.60000000000004,-80.59999999999997,-96.29999999999995,-82.29999999999994
ppo,4x4,medium,67,24120,-88.00625000000001,188,-77.70000000000002,-94.79999999999998,-57.499999999999915,-79.70000000000006,-73.8999999999999,-100.3,-94.89999999999999,-89.00000000000011,-103.70000000000002,-85.40000000000005,-98.20000000000002,-96.39999999999999,-86.20000000000002,-93.7,-92.3,-84.40000000000002
ppo,4x4,medium,68,24480,-88.89999999999998,191,-74.80000000000003,-95.9999999999999,-63.69999999999996,-91.70000000000005,-75.3,-106.90000000000008,-91.79999999999993,-89.00000000000001,-88.40000000000008,-98.59999999999995,-97.79999999999993,-103.40000000000003,-90.49999999999996,-84.69999999999995,-90.40000000000002,-79.39999999999998
ppo,4x4,medium,69,24840,-85.5375,194,-84.20000000000007,-81.69999999999992,-64.1999999999999,-76.79999999999998,-88.80000000000001,-101.90000000000002,-110.80000000000004,-81.79999999999995,-89.80000000000003,-82.8000000000001,-91.1,-91.20000000000003,-75.99999999999999,-75.89999999999995,-96.50000000000006,-75.09999999999997
ppo,4x4,medium,70,25200,-87.46875000000001,196,-76.09999999999998,-100.70000000000002,-100.19999999999993,-104.2000000000001,-85.70000000000009,-101.00000000000003,-85.80000000000004,-86.19999999999996,-72.89999999999996,-93.30000000000004,-79.20000000000007,-86.20000000000005,-70.59999999999998,-96.19999999999995,-85.20000000000002,-75.99999999999997
ppo,4x4,medium,71,25560,-82.2125,199,-65.99999999999999,-96.6,-72.09999999999995,-84.80000000000003,-67.99999999999997,-97.59999999999995,-85.20000000000002,-84.30000000000004,-81.80000000000005,-90.79999999999998,-76.5,-84.00000000000011,-85.5999999999999,-76.89999999999999,-86.10000000000005,-79.1
ppo,4x4,medium,72,25920,-90.57499999999999,202,-77.50000000000006,-104.5,-79.99999999999994,-97.49999999999996,-78.29999999999991,-106.90000000000008,-101.89999999999996,-94.99999999999999,-82.20000000000002,-93.39999999999995,-93.90000000000008,-76.30000000000003,-81.0,-92.39999999999993,-106.29999999999997,-82.10000000000002
ppo,4x4,medium,73,26280,-86.28125000000001,205,-80.80000000000007,-93.89999999999996,-97.20000000000003,-81.20000000000002,-80.20000000000009,-89.19999999999996,-86.60000000000002,-87.50000000000006,-93.59999999999995,-86.30000000000003,-79.19999999999987,-93.50000000000006,-74.09999999999995,-84.6,-90.80000000000005,-81.8
ppo,4x4,medium,74,26640,-89.05625,208,-72.99999999999994,-94.39999999999999,-82.60000000000007,-96.30000000000018,-79.59999999999997,-103.80000000000001,-116.99999999999993,-94.89999999999995,-87.00000000000001,-92.59999999999994,-79.99999999999997,-89.00000000000001,-72.10000000000001,-75.69999999999997,-86.80000000000003,-100.10000000000012
ppo,4x4,medium,75,27000,-88.76250000000002,210,-79.70000000000002,-91.60000000000007,-87.69999999999993,-98.20000000000017,-74.19999999999995,-106.10000000000002,-98.99999999999993,-90.00000000000003,-89.19999999999995,-95.7,-82.7,-98.60000000000001,-76.20000000000003,-69.70000000000002,-103.60000000000007,-77.99999999999997
ppo,4x4,medium,76,27360,-81.15,213,-84.30000000000011,-80.3,-73.49999999999997,-83.40000000000002,-70.8,-86.90000000000003,-77.59999999999997,-110.10000000000001,-82.39999999999996,-92.99999999999999,-82.39999999999996,-80.40000000000005,-75.60000000000004,-79.99999999999999,-69.4,-68.2999999999999
ppo,4x4,medium,77,27720,-89.88125000000001,216,-71.1,-80.89999999999992,-83.20000000000002,-88.20000000000007,-76.10000000000001,-98.20000000000009,-96.20000000000002,-89.69999999999996,-80.00000000000009,-114.2999999999999,-102.40000000000006,-90.39999999999999,-92.49999999999994,-96.30000000000004,-95.30000000000003,-83.30000000000007
ppo,4x4,medium,78,28080,-79.7125,219,-77.80000000000003,-85.7,-66.60000000000001,-80.59999999999994,-67.19999999999996,-75.69999999999997,-71.99999999999994,-84.10000000000002,-93.8,-97.50000000000004,-86.29999999999995,-84.30000000000004,-79.39999999999996,-68.40000000000002,-84.10000000000014,-71.89999999999996
ppo,4x4,medium,79,28440,-89.29999999999998,222,-74.80000000000001,-101.4,-85.19999999999997,-99.40000000000013,-82.20000000000003,-107.70000000000003,-75.39999999999993,-82.59999999999995,-85.79999999999997,-92.19999999999997,-96.20000000000002,-101.69999999999999,-84.9999999999999,-94.39999999999999,-83.60000000000004,-81.19999999999995
ppo,4x4,medium,80,28800,-86.55000000000001,225,-65.69999999999995,-94.20000000000009,-78.70000000000003,-87.40000000000005,-68.89999999999998,-90.99999999999996,-123.90000000000009,-93.7,-85.30000000000001,-85.0,-100.1000000000001,-80.29999999999997,-76.40000000000002,-73.30000000000004,-102.90000000000009,-78.0
ppo,4x4,medium,81,29160,-82.14999999999998,227,-67.39999999999989,-76.90000000000002,-74.39999999999995,-83.60000000000005,-81.49999999999989,-103.60000000000004,-83.49999999999994,-88.49999999999997,-77.19999999999996,-75.59999999999994,-79.9,-100.10000000000001,-86.20000000000002,-76.99999999999999,-86.49999999999994,-72.5
ppo,4x4,medium,82,29520,-87.73749999999998,230,-77.79999999999993,-93.0,-78.99999999999996,-82.69999999999999,-69.09999999999994,-96.1,-87.49999999999997,-81.40000000000005,-97.10000000000008,-104.3000000000001,-95.19999999999999,-100.00000000000004,-88.89999999999989,-93.79999999999995,-76.79999999999995,-81.09999999999998
ppo,4x4,medium,83,29880,-89.48125,233,-65.59999999999997,-86.09999999999994,-80.10000000000001,-82.19999999999997,-78.39999999999995,-100.10000000000004,-113.40000000000018,-95.49999999999997,-82.89999999999995,-130.79999999999995,-95.49999999999999,-86.40000000000003,-78.40000000000003,-78.90000000000003,-95.69999999999997,-81.69999999999993
ppo,4x4,medium,84,30240,-89.30000000000001,236,-73.10000000000002,-75.69999999999995,-80.99999999999999,-81.9,-80.50000000000003,-129.10000000000005,-115.80000000000005,-89.69999999999999,-99.10000000000005,-94.29999999999994,-103.30000000000014,-86.49999999999999,-72.99999999999999,-84.19999999999997,-85.99999999999999,-75.60000000000001
