,,avg_travel_time,avg_travel_time,avg_waiting_time,avg_waiting_time,completed_trips,completed_trips
,,mean,std,mean,std,mean,std
scenario,controller,,,,,,
dynamic,dqn,97.152,1.08111978984754,12.266,0.5902372404381135,1128.8,2.0493901531919168
dynamic,fixedtime,116.104,1.1886883527653513,28.948,0.7770907282936794,1116.2,2.2803508501982734
dynamic,ppo,100.8,1.2882740391702419,14.319999999999999,0.6041522986797291,1130.2,2.2803508501982734
high,dqn,278.87,19.663856437637033,162.224,16.36838202144612,400.0,29.266021253323796
high,fixedtime,273.54,10.39355329038151,162.002,9.748941993878107,403.2,42.593426722911126
high,ppo,303.43199999999996,19.897618450457845,187.13,18.161711097801327,345.6,21.19669785603409
low,dqn,83.36,0.9644428443407155,6.252,0.8114000246487548,572.6,1.341640786499862
low,fixedtime,97.42999999999999,0.6079062427710316,19.576,0.5855168656836445,569.6,2.073644135332775
low,ppo,83.086,0.6381849261773571,6.058,0.4060418697622198,572.4,1.6733200530681567
medium,dqn,99.01599999999999,1.0585508962728212,15.798000000000002,0.8349371233811567,1415.2,2.04939015319191
medium,fixedtime,122.224,2.5275442627182665,36.236000000000004,1.7079022220256035,1394.2,6.3796551630946094
medium,ppo,100.396,1.255639279411089,16.712,0.6783583123983963,1414.2,4.764451699828664
