controller,grid,scenario,seed,loaded_vehicles,departed_vehicles,completed_trips,completion_rate_pct,avg_travel_time,avg_waiting_time,avg_time_loss,mean_queue_length,max_queue_length,teleports_started,teleports_ended,mean_agent_predict_ms,p95_agent_predict_ms,mean_joint_decision_ms,p95_joint_decision_ms,peak_process_tree_ram_mb,model_size_total_mb,wall_runtime_s,status
ppo,2x2,medium,11,1500,1500,1417,94.46666666666667,99.81863091037403,16.605504587155963,37.31894142554693,2.428472222222222,12,0,0,0.06890030277777778,0.085042,0.27853251944444446,0.3004191,323.5625,0.53125,1.9951119580073282,PASS
ppo,2x2,medium,12,1500,1499,1406,93.73333333333333,102.81934566145092,17.926031294452347,40.09706258890469,2.595138888888889,12,0,0,0.07154269791666666,0.08913125,0.2892105555555556,0.33604760000000006,326.25,0.53125,2.0215613750042394,PASS
ppo,2x2,medium,13,1500,1499,1416,94.4,101.28319209039547,17.105225988700564,38.37706920903955,2.529861111111111,15,0,0,0.06754822569444445,0.08234135,0.2730189694444444,0.29470450000000004,328.546875,0.53125,2.001611875020899,PASS
ppo,2x2,medium,14,1500,1498,1408,93.86666666666666,100.73508522727273,16.975852272727273,38.14067471590909,2.4805555555555556,13,0,0,0.06986000347222222,0.08675,0.28233749722222223,0.31883930000000005,328.703125,0.53125,2.015081249992363,PASS
ppo,2x2,medium,15,1500,1498,1412,94.13333333333334,100.15014164305948,16.7485835694051,37.777946175637396,2.5194444444444444,12,0,0,0.0718569951388889,0.08976874999999998,0.29032746111111113,0.4027937500000001,329.484375,0.53125,2.037029125029221,PASS
