grid,agent_count,controller,n,completion_rate_pct_mean,completion_rate_pct_std,avg_travel_time_mean,avg_travel_time_std,avg_waiting_time_mean,avg_waiting_time_std,avg_time_loss_mean,avg_time_loss_std,mean_queue_length_mean,mean_queue_length_std,teleports_started_mean,teleports_started_std
2x2,4,original_fixed,5,92.94666666666667,0.42531034420630914,122.22517311561506,2.527156781231742,36.236103468952514,1.705650063034851,59.55892392299553,2.4480201611475767,6.513472222222222,0.33630855369294,0.0,0.0
2x2,4,webster_fixed,5,94.26666666666667,0.16996731711975818,98.89308885971268,0.3063502348034098,15.130012538553348,0.21185001714085766,36.280255477715656,0.3864733640214679,2.314583333333333,0.06651095820786525,0.0,0.0
2x2,4,actuated,5,94.42666666666666,0.3218004902972556,96.62223783890214,0.7276115054650847,14.853285967970324,0.49174358089626274,33.95222703472993,0.686185205184871,2.1277777777777778,0.06369800893742743,0.0,0.0
2x2,4,dqn_v2,5,94.13333333333333,0.13333333333333286,98.47818631429642,0.9615506039273436,15.488617219549512,0.8438610820297258,35.84803351383718,1.1011988146189047,2.191666666666667,0.1207974084527019,0.0,0.0
2x2,4,ppo_v2,5,94.12,0.32110918876779737,100.96127910651053,1.1801262482817485,17.072239542488248,0.5152508308021077,38.34233882300753,1.059104739856339,2.5106944444444443,0.06173255676557406,0.0,0.0
3x3,9,original_fixed,5,91.68888888888888,0.06334307917217863,135.93621541022316,2.6145283241148727,40.05981772606031,1.8671138175510087,63.8423529739366,2.5084805937954755,4.086419753086419,0.16343153617714967,0.0,0.0
3x3,9,webster_fixed,5,93.57777777777778,0.33701668640229215,111.51622912864173,0.7109023240043102,16.101118843569978,0.506435844662443,39.330084521989974,0.8141370612899109,1.5068518518518519,0.03659549042190357,0.0,0.0
3x3,9,actuated,5,93.73333333333333,0.17302679447108116,107.20440343208612,1.469252224502566,14.282768525020504,1.0412366464934097,35.009351003794826,1.432641099035448,1.3241975308641976,0.0880126565284259,0.0,0.0
3x3,9,dqn_v2,5,93.4888888888889,0.09938079899999348,110.98646447424112,1.3545326680051577,16.47704722558569,0.8876766918700536,38.8038773009823,1.357792792744908,1.4441975308641974,0.0800238471353948,0.0,0.0
3x3,9,ppo_v2,5,93.27777777777777,0.07856742013183582,115.63049079312283,1.2209660327999237,19.677055191617573,0.615026821277969,43.45423416031377,1.0634323177596479,1.7533333333333334,0.05562427163185151,0.0,0.0
4x4,16,original_fixed,5,91.57000000000001,0.20493901531919262,144.5475252834349,0.6179880696881016,40.097622277678916,0.5617350334779351,62.54151463791402,0.7404036966962995,2.6504861111111113,0.03546437758577321,0.0,0.0
4x4,16,webster_fixed,5,92.98,0.1680773631397165,121.26168163865341,0.47473020246285275,15.021950166702158,0.3330833808904741,39.13470687155889,0.4850549118611101,0.9090625,0.020685747496729655,0.0,0.0
4x4,16,actuated,5,93.12,0.24647515087732674,116.33993603845354,1.1661540657811273,12.851460417364903,0.5422392480254192,34.21848365034253,1.0175839556020185,0.7667013888888888,0.03220507168993748,0.0,0.0
4x4,16,dqn_v2,5,92.95,0.12747548783981794,120.53161446464412,0.7693500297130175,15.73062440717079,0.37587089470199686,38.408123910800484,0.5919545662964233,0.8615972222222222,0.02438522409427658,0.0,0.0
4x4,16,ppo_v2,5,92.47,0.057008771254953655,124.13439688119156,0.5502588177065081,18.281056838064636,0.20322923530439765,42.051125923064845,0.3272536788253784,1.0330208333333335,0.013775798258894191,0.0,0.0
5x5,25,original_fixed,5,91.26436781609195,0.22304277390259525,156.20512390227395,1.1206283129747867,43.13578272603956,0.7786810516460492,64.88805248196917,0.9145651470228168,1.483711111111111,0.023188518870497204,0.0,0.0
5x5,25,webster_fixed,5,92.36270753512133,0.153787925655076,132.2344158996597,0.2592961746970339,15.175836917375007,0.08694354757942056,40.865517068207495,0.22313603776610003,0.48375555555555555,0.0026192544410882485,0.0,0.0
5x5,25,actuated,5,92.80970625798213,0.2193558625455653,125.43284183504855,0.8091297189673519,12.072503502523736,0.5644576069055566,33.999082496785846,0.8708349715797387,0.38493333333333335,0.01756374633115569,0.0,0.0
5x5,25,dqn_v2,5,92.56704980842912,0.24566263169440097,129.49631571774768,0.8575556697220509,15.197144174500584,0.44838549479159917,38.10411495326472,0.6159877401943327,0.41744444444444445,0.01272913446380118,0.0,0.0
5x5,25,ppo_v2,5,92.47765006385696,0.053426566189916126,131.48557244562204,0.6720317829654036,16.642518693838937,0.2797793507760297,40.1095138219919,0.5153229139375721,0.4690888888888889,0.007558577826908444,0.0,0.0
