controller,grid,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
dqn,2x2,high,13,5,B1,0,0.0,0
dqn,2x2,high,13,5,B2,0,0.0,0
dqn,2x2,high,13,5,C1,0,0.0,0
dqn,2x2,high,13,5,C2,0,0.0,1
dqn,2x2,high,13,10,B1,0,0.0,1
dqn,2x2,high,13,10,B2,0,0.0,1
dqn,2x2,high,13,10,C1,0,0.0,2
dqn,2x2,high,13,10,C2,0,0.0,1
dqn,2x2,high,13,15,B1,0,0.0,3
dqn,2x2,high,13,15,B2,0,0.0,1
dqn,2x2,high,13,15,C1,0,0.0,3
dqn,2x2,high,13,15,C2,0,0.0,1
dqn,2x2,high,13,20,B1,0,0.0,4
dqn,2x2,high,13,20,B2,0,0.0,4
dqn,2x2,high,13,20,C1,0,0.0,5
dqn,2x2,high,13,20,C2,0,0.0,1
dqn,2x2,high,13,25,B1,0,0.0,6
dqn,2x2,high,13,25,B2,0,0.0,5
dqn,2x2,high,13,25,C1,0,0.0,6
dqn,2x2,high,13,25,C2,0,0.0,2
dqn,2x2,high,13,30,B1,0,0.0,5
dqn,2x2,high,13,30,B2,0,0.0,5
dqn,2x2,high,13,30,C1,1,2.0,6
dqn,2x2,high,13,30,C2,0,0.0,2
dqn,2x2,high,13,35,B1,1,5.0,5
dqn,2x2,high,13,35,B2,0,0.0,8
dqn,2x2,high,13,35,C1,1,7.0,8
dqn,2x2,high,13,35,C2,1,1.0,3
dqn,2x2,high,13,40,B1,2,12.0,6
dqn,2x2,high,13,40,B2,3,9.0,7
dqn,2x2,high,13,40,C1,3,20.0,7
dqn,2x2,high,13,40,C2,2,7.0,9
dqn,2x2,high,13,45,B1,0,0.0,7
dqn,2x2,high,13,45,B2,0,0.0,8
dqn,2x2,high,13,45,C1,0,0.0,6
dqn,2x2,high,13,45,C2,0,0.0,10
dqn,2x2,high,13,50,B1,0,0.0,9
dqn,2x2,high,13,50,B2,2,2.0,9
dqn,2x2,high,13,50,C1,1,2.0,7
dqn,2x2,high,13,50,C2,1,2.0,11
dqn,2x2,high,13,55,B1,0,0.0,12
dqn,2x2,high,13,55,B2,2,12.0,10
dqn,2x2,high,13,55,C1,3,11.0,8
dqn,2x2,high,13,55,C2,2,8.0,11
dqn,2x2,high,13,60,B1,0,0.0,13
dqn,2x2,high,13,60,B2,1,3.0,9
dqn,2x2,high,13,60,C1,0,0.0,9
dqn,2x2,high,13,60,C2,2,4.0,11
dqn,2x2,high,13,65,B1,4,12.0,16
dqn,2x2,high,13,65,B2,4,14.0,8
dqn,2x2,high,13,65,C1,0,0.0,10
dqn,2x2,high,13,65,C2,2,9.0,12
dqn,2x2,high,13,70,B1,5,34.0,17
dqn,2x2,high,13,70,B2,5,38.0,10
dqn,2x2,high,13,70,C1,1,3.0,8
dqn,2x2,high,13,70,C2,4,21.0,12
dqn,2x2,high,13,75,B1,2,18.0,18
dqn,2x2,high,13,75,B2,1,11.0,12
