controller,grid,scenario,seed,loaded_vehicles,departed_vehicles,completed_trips,completion_rate_pct,avg_travel_time,avg_waiting_time,avg_time_loss,mean_queue_length,max_queue_length,teleports_started,teleports_ended,mean_agent_predict_ms,p95_agent_predict_ms,mean_joint_decision_ms,p95_joint_decision_ms,peak_process_tree_ram_mb,model_size_total_mb,wall_runtime_s,status
ppo,2x2,dynamic,11,1200,1200,1116,93.0,104.22132616487455,16.14695340501792,38.418539426523296,2.1333333333333333,11,0,0,0.07221097638888889,0.0895021,0.29177858333333334,0.35910835,323.1875,0.53125,2.0223704159725457,PASS
ppo,2x2,dynamic,12,1200,1200,1121,93.41666666666667,102.37198929527207,15.215878679750222,36.541177520071365,2.0006944444444446,11,0,0,0.06788389513888889,0.0833372,0.2743929638888889,0.29562710000000003,326.1875,0.53125,1.9836176249664277,PASS
ppo,2x2,dynamic,13,1200,1200,1116,93.0,106.94623655913979,17.300179211469533,40.770967741935486,2.395138888888889,13,0,0,0.06795790486111111,0.08304825,0.274548275,0.30588125,327.46875,0.53125,1.9889828749001026,PASS
ppo,2x2,dynamic,14,1200,1200,1124,93.66666666666667,104.7135231316726,16.237544483985765,38.5513256227758,2.1666666666666665,11,0,0,0.06955860416666666,0.08454825,0.28110476666666667,0.30707915,327.703125,0.53125,1.9985030419193208,PASS
ppo,2x2,dynamic,15,1200,1200,1120,93.33333333333333,102.7625,15.55625,37.13963392857143,2.048611111111111,10,0,0,0.06807841944444444,0.08192115,0.27504619444444445,0.29213125,327.796875,0.53125,1.9850241660606116,PASS
