algorithm,grid,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
ppo,3x3,medium,31,11160,-122.21111111111115,-117.10000000000001,-123.49999999999996,-113.00000000000011,-127.79999999999997,-152.3,-102.8,-134.70000000000016,-104.80000000000001,-123.90000000000006
ppo,3x3,medium,32,11520,-120.76666666666675,-111.1000000000001,-102.30000000000011,-122.30000000000008,-151.40000000000018,-143.7000000000001,-122.60000000000001,-118.40000000000005,-88.59999999999998,-126.50000000000004
ppo,3x3,medium,33,11880,-121.03333333333337,-86.99999999999996,-124.69999999999996,-138.40000000000012,-106.10000000000001,-144.70000000000007,-134.90000000000003,-131.80000000000007,-108.70000000000002,-113.00000000000009
ppo,3x3,medium,34,12240,-133.04444444444448,-111.5000000000001,-137.10000000000005,-120.99999999999991,-154.3000000000001,-149.29999999999993,-137.10000000000002,-127.70000000000009,-128.50000000000003,-130.9000000000001
ppo,3x3,medium,35,12600,-126.60000000000001,-97.30000000000001,-123.59999999999998,-111.7,-119.10000000000004,-173.30000000000004,-151.40000000000012,-124.60000000000002,-133.89999999999995,-104.50000000000006
ppo,3x3,medium,36,12960,-119.55555555555559,-109.79999999999998,-105.60000000000002,-113.60000000000004,-120.30000000000003,-145.30000000000004,-114.90000000000009,-139.39999999999998,-124.7,-102.40000000000003
ppo,3x3,medium,37,13320,-122.35555555555555,-81.99999999999993,-110.8000000000001,-117.90000000000006,-128.9,-134.19999999999993,-145.90000000000003,-133.20000000000005,-127.59999999999998,-120.69999999999999
ppo,3x3,medium,38,13680,-128.2777777777778,-120.50000000000011,-118.79999999999994,-120.10000000000011,-172.40000000000003,-144.20000000000005,-142.59999999999997,-121.79999999999998,-105.79999999999991,-108.3000000000001
ppo,3x3,medium,39,14040,-121.5666666666667,-91.70000000000007,-114.50000000000001,-107.70000000000002,-122.10000000000007,-131.00000000000003,-148.89999999999995,-120.20000000000002,-117.1000000000001,-140.9000000000001
ppo,3x3,medium,40,14400,-113.10000000000001,-80.89999999999993,-112.69999999999997,-120.00000000000004,-132.20000000000007,-115.89999999999996,-132.30000000000004,-120.09999999999998,-95.60000000000004,-108.2
ppo,3x3,medium,41,14760,-123.2777777777778,-89.79999999999994,-88.60000000000004,-115.89999999999996,-119.39999999999999,-173.80000000000007,-142.7000000000001,-134.3,-141.00000000000009,-104.00000000000011
ppo,3x3,medium,42,15120,-120.00000000000003,-99.60000000000002,-98.00000000000006,-107.10000000000002,-127.90000000000002,-150.39999999999998,-141.29999999999998,-119.10000000000011,-119.99999999999999,-116.6000000000001
ppo,3x3,medium,43,15480,-123.6222222222222,-104.80000000000003,-116.39999999999993,-108.29999999999997,-129.10000000000014,-175.60000000000008,-142.1999999999999,-121.39999999999998,-114.29999999999998,-100.5
ppo,3x3,medium,44,15840,-119.72222222222223,-105.59999999999998,-110.00000000000013,-120.30000000000001,-123.19999999999996,-167.0999999999999,-108.99999999999994,-114.39999999999993,-107.99999999999996,-119.90000000000008
ppo,3x3,medium,45,16200,-122.52222222222225,-93.29999999999994,-129.90000000000012,-113.50000000000004,-147.70000000000005,-145.60000000000022,-127.29999999999988,-128.59999999999997,-101.10000000000004,-115.70000000000005
ppo,3x3,medium,46,16560,-134.86666666666667,-101.2,-115.39999999999995,-149.3000000000001,-151.1000000000002,-155.79999999999998,-149.29999999999995,-118.40000000000008,-142.59999999999994,-130.70000000000005
ppo,3x3,medium,47,16920,-125.74444444444443,-114.19999999999995,-124.10000000000008,-104.50000000000003,-132.1999999999999,-145.10000000000002,-133.7999999999999,-135.49999999999994,-121.50000000000013,-120.8
ppo,3x3,medium,48,17280,-121.14444444444445,-119.70000000000005,-117.80000000000001,-122.60000000000002,-129.99999999999994,-133.8,-133.3,-124.5,-96.30000000000001,-112.30000000000003
ppo,3x3,medium,49,17640,-121.3111111111111,-105.39999999999999,-125.20000000000002,-130.19999999999993,-133.69999999999985,-127.60000000000016,-119.69999999999999,-111.50000000000001,-119.80000000000001,-118.70000000000007
ppo,3x3,medium,50,18000,-126.41111111111117,-86.99999999999991,-117.60000000000001,-106.80000000000007,-134.9000000000001,-153.20000000000005,-158.00000000000009,-138.40000000000006,-118.30000000000003,-123.5000000000001
ppo,3x3,medium,51,18360,-124.73333333333338,-111.89999999999992,-116.9,-111.40000000000008,-116.60000000000002,-166.60000000000005,-123.80000000000004,-109.09999999999998,-151.50000000000014,-114.80000000000007
ppo,3x3,medium,52,18720,-125.08888888888893,-93.20000000000005,-125.60000000000004,-111.60000000000004,-120.19999999999997,-144.9000000000001,-142.70000000000007,-133.5999999999999,-110.90000000000006,-143.10000000000005
ppo,3x3,medium,53,19080,-121.13333333333337,-97.09999999999994,-127.50000000000004,-113.00000000000003,-135.0,-143.10000000000008,-123.20000000000005,-133.40000000000006,-119.59999999999995,-98.30000000000001
ppo,3x3,medium,54,19440,-120.9666666666667,-131.5,-118.40000000000002,-125.00000000000003,-129.10000000000005,-133.10000000000002,-124.20000000000005,-108.70000000000002,-90.80000000000003,-127.90000000000005
ppo,3x3,medium,55,19800,-125.92222222222227,-109.00000000000006,-121.60000000000007,-124.89999999999998,-133.9000000000001,-149.20000000000005,-146.20000000000007,-126.20000000000014,-103.20000000000003,-119.09999999999988
ppo,3x3,medium,56,20160,-122.40000000000002,-87.99999999999997,-111.00000000000004,-133.00000000000009,-137.5,-116.60000000000005,-139.89999999999998,-126.99999999999999,-138.7,-109.9
ppo,3x3,medium,57,20520,-115.73333333333338,-97.29999999999991,-110.30000000000014,-112.50000000000009,-133.10000000000008,-148.60000000000014,-113.39999999999999,-107.30000000000008,-115.6,-103.49999999999996
ppo,3x3,medium,58,20880,-119.70000000000005,-132.20000000000016,-126.00000000000003,-117.10000000000011,-140.60000000000005,-129.30000000000007,-116.39999999999996,-112.6,-99.19999999999996,-103.90000000000002
ppo,3x3,medium,59,21240,-127.50000000000003,-107.90000000000003,-134.3,-111.00000000000009,-142.4000000000001,-147.60000000000005,-136.09999999999994,-124.39999999999992,-126.49999999999999,-117.30000000000004
ppo,3x3,medium,60,21600,-121.61111111111114,-90.4,-115.79999999999998,-108.89999999999998,-123.20000000000007,-164.20000000000002,-141.2000000000001,-120.19999999999993,-120.90000000000008,-109.70000000000002
ppo,3x3,medium,61,21960,-129.2111111111111,-114.5000000000001,-122.69999999999992,-114.9,-142.4,-155.4000000000001,-120.39999999999986,-143.5000000000001,-131.89999999999992,-117.19999999999992
ppo,3x3,medium,62,22320,-122.10000000000001,-93.70000000000005,-118.60000000000001,-95.69999999999992,-138.2000000000001,-166.0,-122.90000000000009,-118.39999999999993,-114.39999999999999,-131.00000000000003
ppo,3x3,medium,63,22680,-123.45555555555559,-118.99999999999997,-119.00000000000001,-105.80000000000015,-139.80000000000004,-138.20000000000002,-141.10000000000016,-129.70000000000005,-101.50000000000001,-117.00000000000006
ppo,3x3,medium,64,23040,-124.2888888888889,-109.29999999999998,-115.00000000000007,-118.80000000000004,-132.39999999999995,-135.9,-115.29999999999997,-123.30000000000003,-128.39999999999995,-140.2000000000001
ppo,3x3,medium,65,23400,-123.53333333333336,-107.30000000000004,-127.99999999999999,-95.6,-146.10000000000002,-160.5000000000001,-123.20000000000009,-113.50000000000006,-117.99999999999996,-119.6
ppo,3x3,medium,66,23760,-127.23333333333338,-87.49999999999997,-130.59999999999997,-127.60000000000005,-145.60000000000014,-147.8,-118.4000000000001,-135.00000000000006,-112.3999999999999,-140.20000000000005
ppo,3x3,medium,67,24120,-125.31111111111116,-118.30000000000008,-118.90000000000005,-104.0000000000001,-150.00000000000003,-123.40000000000002,-129.00000000000003,-116.79999999999997,-130.10000000000005,-137.30000000000013
ppo,3x3,medium,68,24480,-363.10000000000025,-111.60000000000004,-128.59999999999997,-145.6000000000001,-237.8,-296.6999999999998,-116.39999999999996,-1032.6,-1095.8000000000027,-102.79999999999997
ppo,3x3,medium,69,24840,-121.44444444444444,-107.89999999999996,-115.50000000000011,-112.1000000000001,-138.69999999999996,-153.2,-138.29999999999993,-127.09999999999997,-100.30000000000003,-99.90000000000003
ppo,3x3,medium,70,25200,-121.9777777777778,-85.29999999999997,-133.90000000000003,-113.80000000000001,-139.50000000000017,-153.09999999999994,-120.80000000000015,-120.39999999999999,-126.99999999999999,-103.99999999999994
ppo,3x3,medium,71,25560,-129.48888888888894,-86.79999999999997,-127.00000000000003,-113.70000000000005,-130.50000000000006,-150.80000000000007,-159.90000000000012,-125.30000000000001,-150.4,-121.00000000000007
ppo,3x3,medium,72,25920,-126.17777777777776,-89.49999999999994,-136.60000000000002,-117.30000000000008,-149.30000000000004,-172.39999999999998,-130.8,-109.69999999999995,-111.99999999999996,-118.00000000000001
ppo,3x3,medium,73,26280,-128.78888888888892,-101.70000000000003,-126.90000000000005,-114.2,-115.20000000000002,-153.10000000000008,-155.00000000000003,-123.00000000000003,-144.19999999999996,-125.80000000000014
ppo,3x3,medium,74,26640,-117.7555555555556,-88.80000000000003,-118.50000000000009,-102.70000000000006,-120.70000000000007,-116.70000000000012,-166.4999999999999,-136.70000000000005,-101.49999999999999,-107.70000000000006
ppo,3x3,medium,75,27000,-117.95555555555559,-113.40000000000008,-104.30000000000001,-122.00000000000006,-127.90000000000009,-140.50000000000003,-134.60000000000008,-104.00000000000003,-94.10000000000005,-120.80000000000003
ppo,3x3,medium,76,27360,-122.75555555555555,-102.99999999999997,-130.0,-110.89999999999999,-141.29999999999998,-133.59999999999994,-127.70000000000003,-120.80000000000008,-129.60000000000008,-107.89999999999995
ppo,3x3,medium,77,27720,-120.63333333333337,-124.10000000000001,-106.80000000000005,-102.99999999999994,-133.20000000000007,-156.39999999999992,-127.49999999999999,-108.20000000000005,-103.20000000000005,-123.30000000000017
ppo,3x3,medium,78,28080,-121.71111111111112,-92.60000000000001,-110.79999999999991,-115.6000000000001,-133.2000000000001,-118.00000000000009,-124.4,-136.99999999999997,-123.49999999999999,-140.29999999999993
ppo,3x3,medium,79,28440,-126.80000000000005,-126.60000000000005,-125.10000000000004,-115.80000000000001,-155.8,-125.90000000000002,-138.8,-118.6,-120.80000000000003,-113.80000000000014
ppo,3x3,medium,80,28800,-117.2777777777778,-92.4,-136.1999999999999,-124.9000000000001,-104.80000000000004,-123.90000000000013,-124.99999999999999,-115.69999999999993,-115.30000000000001,-117.30000000000007
ppo,3x3,medium,81,29160,-121.08888888888893,-95.89999999999999,-101.70000000000002,-120.50000000000016,-139.00000000000009,-132.00000000000006,-124.00000000000001,-131.90000000000003,-117.40000000000006,-127.4
ppo,3x3,medium,82,29520,-124.33333333333339,-103.79999999999997,-113.60000000000005,-118.90000000000006,-137.49999999999997,-128.5000000000001,-131.10000000000005,-135.8,-119.50000000000004,-130.3000000000001
ppo,3x3,medium,83,29880,-117.60000000000007,-99.00000000000011,-102.30000000000001,-99.00000000000006,-143.4000000000001,-126.50000000000006,-136.40000000000006,-125.20000000000003,-119.40000000000015,-107.20000000000007
ppo,3x3,medium,84,30240,-127.91111111111117,-136.3,-104.10000000000012,-104.90000000000006,-153.20000000000002,-150.50000000000034,-143.7,-133.20000000000005,-124.79999999999995,-100.50000000000006
ppo,3x3,medium,85,30600,-117.83333333333333,-87.30000000000003,-118.80000000000003,-107.39999999999992,-136.80000000000004,-126.70000000000006,-125.49999999999999,-119.69999999999993,-107.89999999999989,-130.4000000000001
ppo,3x3,medium,86,30960,-119.25555555555553,-107.79999999999997,-99.80000000000003,-114.89999999999995,-154.8,-145.6999999999999,-110.40000000000008,-119.49999999999996,-113.7,-106.69999999999993
ppo,3x3,medium,87,31320,-112.22222222222223,-92.59999999999992,-104.80000000000003,-121.99999999999997,-126.10000000000007,-137.90000000000003,-107.20000000000006,-114.10000000000002,-111.8,-93.50000000000004
ppo,3x3,medium,88,31680,-117.47777777777777,-115.79999999999995,-99.8,-122.39999999999993,-107.49999999999997,-141.10000000000005,-126.00000000000004,-121.89999999999999,-102.89999999999993,-119.90000000000005
ppo,3x3,medium,89,32040,-114.38888888888891,-85.00000000000006,-113.80000000000003,-122.20000000000007,-110.7,-122.10000000000011,-129.70000000000007,-129.2999999999999,-109.49999999999999,-107.20000000000003
ppo,3x3,medium,90,32400,-121.9777777777778,-102.79999999999995,-92.70000000000009,-104.70000000000002,-142.30000000000013,-156.70000000000002,-136.09999999999994,-126.9,-108.59999999999997,-127.00000000000004
ppo,3x3,medium,91,32760,-120.20000000000002,-105.29999999999997,-127.50000000000001,-102.50000000000009,-115.89999999999996,-145.40000000000006,-125.79999999999987,-124.40000000000006,-114.30000000000005,-120.7
ppo,3x3,medium,92,33120,-118.31111111111113,-95.60000000000002,-111.40000000000008,-136.79999999999998,-129.9000000000001,-135.10000000000014,-122.99999999999993,-98.39999999999999,-130.29999999999995,-104.29999999999994
ppo,3x3,medium,93,33480,-127.45555555555558,-122.3,-114.30000000000001,-121.60000000000001,-153.0,-145.10000000000008,-141.50000000000003,-123.19999999999999,-98.2,-127.90000000000008
ppo,3x3,medium,94,33840,-115.91111111111117,-115.60000000000008,-122.20000000000003,-104.40000000000002,-126.00000000000007,-127.20000000000016,-112.40000000000002,-115.09999999999997,-95.1,-125.19999999999999
ppo,3x3,medium,95,34200,-126.18888888888894,-94.2,-124.79999999999997,-125.89999999999999,-152.1000000000001,-136.7000000000001,-135.2,-128.5000000000001,-113.80000000000008,-124.50000000000007
ppo,3x3,medium,96,34560,-123.9888888888889,-107.7,-116.00000000000006,-113.60000000000008,-129.2,-135.50000000000009,-149.49999999999986,-115.40000000000006,-130.09999999999997,-118.89999999999996
ppo,3x3,medium,97,34920,-121.76666666666668,-108.50000000000007,-118.5,-98.40000000000003,-146.50000000000003,-126.70000000000003,-158.29999999999998,-109.29999999999998,-119.29999999999994,-110.39999999999998
ppo,3x3,medium,98,35280,-118.67777777777785,-106.10000000000002,-113.10000000000011,-88.69999999999997,-116.5000000000001,-138.2,-141.2000000000001,-124.80000000000005,-120.80000000000007,-118.70000000000009
ppo,3x3,medium,99,35640,-118.92222222222225,-101.20000000000005,-121.40000000000003,-112.80000000000007,-138.40000000000018,-142.4999999999999,-128.4000000000001,-109.99999999999996,-99.40000000000003,-116.19999999999997
ppo,3x3,medium,100,36000,-112.23333333333338,-90.10000000000002,-116.70000000000014,-95.99999999999999,-122.50000000000001,-125.30000000000013,-125.8,-121.80000000000004,-108.60000000000004,-103.30000000000001
ppo,3x3,medium,101,36360,-114.47777777777777,-108.10000000000005,-107.89999999999995,-94.19999999999999,-118.79999999999994,-132.90000000000012,-117.29999999999993,-115.79999999999991,-114.49999999999997,-120.79999999999997
ppo,3x3,medium,102,36720,-124.60000000000007,-103.50000000000011,-113.69999999999992,-90.29999999999998,-138.20000000000016,-158.80000000000013,-124.50000000000007,-124.70000000000002,-150.80000000000013,-116.90000000000005
ppo,3x3,medium,103,37080,-121.64444444444445,-127.5,-114.00000000000001,-99.99999999999991,-155.9000000000001,-150.59999999999988,-119.10000000000011,-117.09999999999998,-98.59999999999995,-111.99999999999999
ppo,3x3,medium,104,37440,-119.36666666666666,-85.10000000000001,-115.9,-100.59999999999997,-122.20000000000003,-137.2,-133.5999999999999,-141.19999999999993,-121.60000000000001,-116.90000000000002
ppo,3x3,medium,105,37800,-125.94444444444444,-110.0,-125.59999999999995,-99.6,-142.99999999999994,-158.20000000000005,-129.19999999999996,-121.60000000000007,-127.6999999999999,-118.60000000000005
ppo,3x3,medium,106,38160,-119.68888888888893,-129.50000000000014,-106.30000000000004,-101.70000000000012,-104.50000000000009,-169.99999999999994,-130.4,-135.80000000000004,-95.49999999999993,-103.50000000000007
ppo,3x3,medium,107,38520,-118.26666666666671,-104.29999999999995,-108.30000000000004,-99.7000000000001,-136.99999999999997,-148.80000000000004,-108.60000000000004,-119.70000000000006,-125.00000000000001,-113.00000000000004
ppo,3x3,medium,108,38880,-115.60000000000001,-90.3,-140.10000000000002,-95.79999999999998,-129.99999999999997,-144.90000000000012,-115.69999999999995,-117.09999999999998,-89.99999999999999,-116.50000000000001
ppo,3x3,medium,109,39240,-130.20000000000002,-107.70000000000009,-124.60000000000007,-90.09999999999997,-142.10000000000014,-172.59999999999994,-144.50000000000017,-127.69999999999987,-152.5,-110.00000000000011
ppo,3x3,medium,110,39600,-123.69999999999999,-104.1,-118.90000000000003,-130.7,-161.5,-127.49999999999997,-132.00000000000006,-116.10000000000008,-110.3999999999999,-112.10000000000001
ppo,3x3,medium,111,39960,-120.9666666666667,-97.19999999999997,-124.1,-110.19999999999996,-120.80000000000008,-133.9,-143.50000000000009,-122.20000000000006,-115.60000000000015,-121.20000000000016
ppo,3x3,medium,112,40320,-108.62222222222222,-87.9,-104.30000000000005,-93.69999999999999,-103.39999999999993,-111.39999999999999,-133.3,-126.49999999999993,-111.50000000000006,-105.60000000000004
ppo,3x3,medium,113,40680,-132.91111111111115,-123.19999999999997,-116.10000000000008,-125.50000000000004,-146.99999999999997,-154.20000000000002,-154.40000000000015,-141.39999999999998,-121.10000000000007,-113.30000000000011
ppo,3x3,medium,114,41040,-124.95555555555562,-106.39999999999998,-116.70000000000003,-105.40000000000006,-144.8000000000001,-145.79999999999998,-149.30000000000015,-127.7000000000001,-115.00000000000007,-113.50000000000013
ppo,3x3,medium,115,41400,-119.83333333333333,-101.50000000000003,-92.60000000000008,-103.89999999999999,-114.59999999999997,-143.30000000000004,-143.3999999999999,-130.39999999999995,-135.09999999999994,-113.70000000000007
ppo,3x3,medium,116,41760,-280.78888888888895,-98.39999999999999,-113.99999999999996,-114.70000000000002,-137.8000000000001,-147.40000000000006,-1536.6000000000001,-120.9,-144.49999999999997,-112.8
ppo,3x3,medium,117,42120,-121.23333333333332,-112.99999999999999,-113.79999999999998,-99.29999999999998,-122.90000000000003,-128.39999999999992,-155.49999999999997,-123.40000000000003,-106.40000000000006,-128.4000000000001
ppo,3x3,medium,118,42480,-120.77777777777777,-91.69999999999992,-92.90000000000003,-100.60000000000004,-149.00000000000006,-128.89999999999992,-147.90000000000006,-133.3,-141.90000000000006,-100.79999999999994
ppo,3x3,medium,119,42840,-119.00000000000007,-96.29999999999997,-104.40000000000009,-93.8000000000001,-144.7000000000001,-130.00000000000006,-118.2,-129.3,-136.50000000000014,-117.80000000000017
ppo,3x3,medium,120,43200,-125.69999999999999,-82.4999999999999,-122.89999999999998,-112.0,-142.00000000000003,-135.1,-143.00000000000003,-126.90000000000009,-150.49999999999997,-116.39999999999995
ppo,3x3,medium,121,43560,-113.7666666666667,-100.99999999999996,-120.9,-90.40000000000003,-129.39999999999995,-132.0000000000001,-128.60000000000014,-118.70000000000002,-102.50000000000006,-100.39999999999993
ppo,3x3,medium,122,43920,-121.34444444444449,-103.00000000000003,-111.7,-109.9000000000001,-111.09999999999995,-152.90000000000012,-130.10000000000002,-117.60000000000002,-126.20000000000005,-129.60000000000005
ppo,3x3,medium,123,44280,-127.14444444444446,-113.2,-103.40000000000005,-129.80000000000007,-112.40000000000008,-149.10000000000002,-145.19999999999996,-126.20000000000005,-144.1,-120.90000000000008
ppo,3x3,medium,124,44640,-120.35555555555554,-99.69999999999995,-121.30000000000001,-127.8,-136.29999999999993,-140.5,-108.09999999999997,-117.00000000000006,-106.50000000000003,-126.00000000000004
ppo,3x3,medium,125,45000,-121.87777777777781,-101.40000000000003,-128.20000000000002,-118.10000000000004,-137.20000000000016,-141.10000000000008,-142.70000000000007,-133.90000000000003,-95.70000000000009,-98.59999999999987
ppo,3x3,medium,126,45360,-118.21111111111117,-115.59999999999998,-118.00000000000007,-112.40000000000008,-118.2000000000001,-133.50000000000003,-135.6000000000001,-109.1,-117.10000000000001,-104.40000000000006
ppo,3x3,medium,127,45720,-120.17777777777776,-95.10000000000011,-87.09999999999998,-90.7999999999999,-159.70000000000002,-161.89999999999995,-139.8000000000001,-124.70000000000006,-109.79999999999995,-112.69999999999993
ppo,3x3,medium,128,46080,-122.38888888888894,-95.30000000000005,-100.00000000000003,-105.90000000000003,-132.39999999999998,-124.69999999999992,-141.20000000000024,-132.60000000000008,-137.49999999999994,-131.90000000000006
ppo,3x3,medium,129,46440,-117.41111111111117,-86.60000000000005,-103.60000000000004,-96.49999999999999,-125.10000000000007,-135.3000000000001,-153.3000000000001,-118.10000000000005,-113.69999999999996,-124.50000000000001
ppo,3x3,medium,130,46800,-113.73333333333333,-81.6,-98.50000000000001,-100.5,-141.60000000000005,-139.20000000000005,-135.79999999999995,-118.40000000000003,-102.99999999999996,-105.00000000000003
ppo,3x3,medium,131,47160,-117.27777777777786,-109.70000000000006,-95.20000000000002,-109.90000000000006,-117.00000000000011,-147.80000000000018,-135.3000000000001,-113.3,-103.8,-123.50000000000003
ppo,3x3,medium,132,47520,-120.57777777777781,-101.09999999999998,-99.30000000000004,-102.89999999999999,-127.19999999999999,-135.70000000000002,-145.80000000000007,-139.90000000000006,-99.00000000000003,-134.3000000000001
ppo,3x3,medium,133,47880,-116.24444444444447,-100.30000000000003,-120.90000000000003,-111.30000000000003,-127.00000000000007,-131.2,-132.00000000000006,-106.29999999999995,-115.10000000000002,-102.10000000000002
ppo,3x3,medium,134,48240,-117.68888888888893,-76.70000000000005,-111.80000000000003,-112.60000000000001,-114.9000000000001,-143.20000000000007,-133.4000000000001,-137.60000000000002,-99.29999999999998,-129.70000000000002
