controller,grid,scenario,seed,loaded_vehicles,departed_vehicles,completed_trips,completion_rate_pct,avg_travel_time,avg_waiting_time,avg_time_loss,mean_queue_length,max_queue_length,teleports_started,teleports_ended,mean_agent_predict_ms,p95_agent_predict_ms,mean_joint_decision_ms,p95_joint_decision_ms,peak_process_tree_ram_mb,model_size_total_mb,wall_runtime_s,status
dqn,2x2,medium,11,1500,1500,1415,94.33333333333333,98.35971731448764,15.421201413427562,35.84082685512367,2.2472222222222222,13,0,0,0.05206255416666667,0.06079614999999999,0.21106263055555555,0.2792583,333.765625,0.3686408996582031,1.984707084018737,PASS
dqn,2x2,medium,12,1500,1498,1413,94.2,98.01273885350318,15.133050247699929,35.307338995046,2.066666666666667,11,0,0,0.055717454166666666,0.12707709999999994,0.22620893333333333,0.3924479,343.0625,0.3686408996582031,2.1316892500035465,PASS
dqn,2x2,medium,13,1500,1499,1411,94.06666666666666,97.22608079376329,14.309000708717221,34.32861091424522,2.0555555555555554,12,0,0,0.0448469,0.057334,0.18214846944444443,0.25234550000000006,347.046875,0.3686408996582031,1.9668564170133322,PASS
dqn,2x2,medium,14,1500,1498,1411,94.06666666666666,99.72360028348689,16.434443656980864,37.11896527285613,2.2958333333333334,12,0,0,0.04616422847222222,0.06328124999999997,0.18757489166666666,0.27099825000000016,348.875,0.3686408996582031,2.015134915942326,PASS
dqn,2x2,medium,15,1500,1499,1410,94.0,99.06879432624113,16.145390070921987,36.64442553191489,2.2930555555555556,11,0,0,0.04485489930555556,0.055590249999999994,0.18205795277777778,0.2424128000000001,358.828125,0.3686408996582031,1.9823094171006233,PASS
